20201223,宝山,大华,全明南北通， 低于市场价十万，安静位置  随时看房必看好房,349万,2室1厅 | 71.39平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZHl9NNwn8_1.jpg.296x216.jpg
20201223,宝山,大华,电梯顶复11复12带13楼阁楼 带露台23平米 中间位置必看好房,1080万,4室3厅 | 179.86平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_73WOQNhMk_1.jpg.296x216.jpg
20201223,宝山,大华,五复六复七复式 有车位 大露台 有钥匙业主诚意出售必看好房,1048万,4室2厅 | 208.07平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6uy2shlOv_1.jpg.296x216.jpg
20201223,宝山,大华,眺望东方明珠，飞机户型电梯房.带公园必看好房,986万,4室3厅 | 174.79平米 | 南 北 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fwZna3te6_1.jpg.296x216.jpg
20201223,宝山,大华,此房满五唯一，采光无遮挡，近小花园，视野开阔必看好房,435万,2室2厅 | 76.94平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hKnDS6tVc_1.jpg.296x216.jpg
20201223,宝山,大华,房东诚意出售 满五唯一 采光佳 楼层佳必看好房,680万,3室2厅 | 114.98平米 | 南 西 北 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uDlI0TuPc_1.jpg.296x216.jpg
20201223,宝山,大华,钥匙房！近地铁，中环内，满五唯一，诚心出售必看好房,263万,1室1厅 | 47.75平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lRzp7jdk8_1.jpg.296x216.jpg
20201223,宝山,大华,中高区，业主精装修，满五年，近地铁必看好房,658万,3室2厅 | 116.53平米 | 西南 南 北 | 精装 | 中楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tYw4BFd5d_1.jpg.296x216.jpg
20201223,宝山,大华,总价低  地铁近 采光好  看房随时，诚心出售必看好房,269万,2室1厅 | 50.13平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UfjJpJ88a_1.jpg.296x216.jpg
20201223,宝山,大华,中环旁，次新房，精装修电梯高区，采光好，视野佳必看好房,730万,3室2厅 | 111.58平米 | 南 北 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9GcYGDpm0_1.jpg.296x216.jpg
20201223,宝山,大华,品质小区，高区小一房，视野景观好必看好房,348万,1室1厅 | 55.24平米 | 南 北 | 毛坯 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kr13uyjWZ_1.jpg.296x216.jpg
20201223,宝山,大华,中间楼层，居家装修，近地铁，钥匙房,随时可看必看好房,247万,1室1厅 | 46.55平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vp7LSiaGI_1.jpg.296x216.jpg
20201223,宝山,大华,南北通格局  全明户型  视野开阔 采光好 地铁站旁边必看好房,315万,1室1厅 | 54.63平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FVPOhptCC_1.jpg.296x216.jpg
20201223,宝山,大华,户型方正，总价低，价格可谈，诚意出售，3楼，精装必看好房,339万,2室1厅 | 62.4平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GCvFpZ7nT_1.jpg.296x216.jpg
20201223,宝山,大华,房子满五年唯一，税费低，户型南北通透，格局好。必看好房,675万,3室2厅 | 99.12平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PBeSJ5QEu_1.jpg.296x216.jpg
20201223,宝山,大华,南北通透，带花园，间距大，采光无遮挡必看好房,509万,2室2厅 | 81.59平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OWGrBNCYI_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，精装双南两居室，带大阳光房，近地铁必看好房,470万,2室2厅 | 86.73平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HDR4HjQyY_1.jpg.296x216.jpg
20201223,宝山,大华,满五年唯一，南北通全明户型，精装修，位置佳，采光好必看好房,690万,3室1厅 | 106.92平米 | 南 西 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lHov926f7_1.jpg.296x216.jpg
20201223,宝山,大华,户型通透，采光好，诚意出售，中间楼层，看房方便必看好房,475万,2室2厅 | 94.71平米 | 南 北 | 简装 | 中楼层(共7层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QGFMFN9r2_1.jpg.296x216.jpg
20201223,宝山,大华,中环次新小区，精装修全南两房，满五唯一必看好房,500万,2室2厅 | 81.05平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MiX2YTMYN_1.jpg.296x216.jpg
20201223,宝山,大华,南北户型 透风采光好 +满五唯一+得房率高+有产权车位必看好房,860万,3室2厅 | 132.34平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wyhKrgzGE_1.jpg.296x216.jpg
20201223,宝山,大华,品质小区新出高区四房，精装修、满五唯一必看好房,825万,4室2厅 | 124.69平米 | 南 北 | 精装 | 高楼层(共16层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZwFPluxAo_1.jpg.296x216.jpg
20201223,宝山,大华,多层南北通两房，精装修，带产权车位，诚意出售，税少必看好房,525万,2室2厅 | 85.19平米 | 南 北 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JuUzPsyya_1.jpg.296x216.jpg
20201223,宝山,大华,电梯内复式 税费少 看房方便 诚意出售 价格可谈必看好房,515万,2室2厅 | 89.41平米 | 南 北 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PJHKjhuhb_1.jpg.296x216.jpg
20201223,宝山,大华,精装双南全明两房，中间楼层采光全天，欢迎实地体验必看好房,365万,2室1厅 | 61.93平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hGFQRGWyH_1.jpg.296x216.jpg
20201223,宝山,大华,中间更舒服楼层，全明户型，位置安静，看房方便必看好房,269万,1室1厅 | 45.8平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iTKeRgVjw_1.jpg.296x216.jpg
20201223,宝山,大华,看房方便，低楼层两房，全明户型，位置好必看好房,410万,2室2厅 | 71.66平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yVDkRr93i_1.jpg.296x216.jpg
20201223,宝山,大华,品质小区，自带后花园，版式南北通大三房必看好房,742万,3室2厅 | 128.25平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c4b2ac39-42c0-442d-8265-5ada9c21b520.jpg.296x216.jpg
20201223,宝山,大华,精致两房，视野佳，进地铁出行方便必看好房,332万,2室1厅 | 64.64平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_otYlbFFIO_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村  精装修一房  小区位置佳必看好房,259万,1室1厅 | 49.91平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zsz3zV9Bl_1.jpg.296x216.jpg
20201223,宝山,大华,文华苑精装修大三房，带书房和花园，近地铁品质小区必看好房,630万,3室2厅 | 105.1平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z3SttOzZD_1.jpg.296x216.jpg
20201223,宝山,大华,中环一号一期 大两房，全南户型，精装自住，随时可看必看好房,536万,2室1厅 | 94.06平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_WAtUsfHlc_1.jpg.296x216.jpg
20201223,宝山,大华,近地铁 自带天井 楼层低 配套设施齐全必看好房,338万,2室1厅 | 64.11平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b3xUd9QnZ_1.jpg.296x216.jpg
20201223,宝山,大华,边套全明三房，南北通透，户型方正，位置安静必看好房,585万,3室2厅 | 97.08平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lDtzQc3rx_1.jpg.296x216.jpg
20201223,宝山,大华,电梯大三房，可三代同堂，适宜居住，业主诚意出售新上,730万,3室2厅 | 128.37平米 | 东南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XoSrCUTsu_1.jpg.296x216.jpg
20201223,宝山,大华,大华公园世家康华苑 4室2厅 南 北新上,720万,4室2厅 | 136.11平米 | 南 北 | 其他 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RLiwzEsDB_1.jpg.296x216.jpg
20201223,宝山,大华,康泰新城 3室2厅 南新上,640万,3室2厅 | 128.55平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iJY6Ctdme_1.jpg.296x216.jpg
20201223,宝山,大华,满五年，南北通小三房，户型方正新上,662万,3室2厅 | 100.36平米 | 南 | 简装 | 高楼层(共9层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V9ZNOmFP3_1.jpg.296x216.jpg
20201223,宝山,大华,大华公园世家康华苑 中环内 小区环境好 多层顶楼复式,635万,4室2厅 | 124.29平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Uj73Uxlkg_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，小区中 心位置，看房随时方便，中楼层,510万,2室1厅 | 82.75平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RMrbjkvip_1.jpg.296x216.jpg
20201223,宝山,大华,带入户花园+客厅带超大阳台+税费少+采光视野好房主自荐,1150万,3室2厅 | 132.94平米 | 南 北 | 简装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bL2rV92ut_1.jpg.296x216.jpg
20201223,宝山,大华,电梯花园洋房 满五唯一  近地铁7号线 使用率高房主自荐,860万,4室3厅 | 169.51平米 | 南 | 简装 | 低楼层(共8层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qK83OU39H_1.jpg.296x216.jpg
20201223,宝山,大华,地铁口，顶楼复式，南北直通，视野开阔,850万,4室2厅 | 174平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yfF3ObQzY_1.jpg.296x216.jpg
20201223,宝山,大华,精装修大平层，二手买进，满五年税费少房主自荐,890万,4室2厅 | 148.88平米 | 东 西 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fcD2flYip_1.jpg.296x216.jpg
20201223,宝山,大华,此房满五年唯一，精装修四房两卫,850万,4室2厅 | 148.88平米 | 东 西 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9agxfeRA1_1.jpg.296x216.jpg
20201223,宝山,大华,户型方正大四房，采光、通风好，使用面积多。,860万,4室2厅 | 149.19平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xBSyOYEiC_1.jpg.296x216.jpg
20201223,宝山,大华,康华苑一期，带花园，南北通，税费少,550万,2室1厅 | 82.1平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KhnyQaK4x_1.jpg.296x216.jpg
20201223,宝山,大华,2个层面复式结构 精装修 看房方便房主自荐,599万,4室2厅 | 134平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hBpGugtmh_2.jpg.296x216.jpg
20201223,宝山,大华,真心接受大华万里电梯两房对换三房·只等有缘的你,775万,3室2厅 | 131.98平米 | 南 北 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a2b6018d-f320-418d-a064-0c8484a23bfb.jpg.296x216.jpg
20201223,宝山,大华,大华公园世家康华苑 5室3厅 南 北新上,880万,5室3厅 | 174.98平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TD5GnHWq4_1.jpg.296x216.jpg
20201223,宝山,大华,流樽尚品 小三室 南北格局 得房率高 使用面积大,610万,3室2厅 | 91.18平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j4PzVnKGF_1.jpg.296x216.jpg
