20201223,宝山,高境,三开间朝南两房,电梯商品房,小区花园位置,采光无遮挡必看好房,565万,2室2厅 | 105.03平米 | 南 | 简装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vX4FBOF9_1.jpg.296x216.jpg
20201223,宝山,高境,3号线18号线，满五唯一，非顶楼厅房同宽厨卫朝北户型必看好房,225万,1室1厅 | 48.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g9Tk7fJiU_1.jpg.296x216.jpg
20201223,宝山,高境,小两房 新装修  双休看房  价格含家具家电  视野开阔必看好房,470万,2室1厅 | 61.47平米 | 南 | 精装 | 高楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3otvCRTNU.jpg.296x216.jpg
20201223,宝山,高境,满五唯一装修不错，全明一房+书房，近地铁适合小两口必看好房,249.8万,1室1厅 | 54.56平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ljcJd1Mpb_1.jpg.296x216.jpg
20201223,宝山,高境,精装修保养好！拎包入住！两梯四户，得房率高！必看好房,618万,2室1厅 | 96.92平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X8BU3ADFh_1.jpg.296x216.jpg
20201223,宝山,高境,近地铁 通风采光好 装修好 位置好必看好房,190万,1室1厅 | 45.52平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GOKbs1SwI_1.jpg.296x216.jpg
20201223,宝山,高境,一楼带花园 采光好 满五唯一 精装两房 出入方便必看好房,500万,2室2厅 | 89.34平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ZZng3Qyu_1.jpg.296x216.jpg
20201223,宝山,高境,此房不满五年唯一 南北格局 通风好 交通便利必看好房,265万,2室1厅 | 59.38平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ljJiyKqcW_1.jpg.296x216.jpg
20201223,宝山,高境,精品南北户型，采光通风视野俱佳！必看好房,500万,2室1厅 | 85.61平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MfUJT2jDJ_1.jpg.296x216.jpg
20201223,宝山,高境,小区花园位置  视野开阔 精装修 满五年 房型正气必看好房,430万,2室1厅 | 80.07平米 | 南 | 简装 | 中楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1QExEEDNL_1.jpg.296x216.jpg
20201223,宝山,高境,次新房小区，电梯中间楼层，精装修，带有产权车位必看好房,420万,1室2厅 | 67.44平米 | 南 | 精装 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O6HIP0d3q_1.jpg.296x216.jpg
