20201223,宝山,共富,全明户型，带双天井，产权清晰，业主诚售必看好房,280万,2室1厅 | 67.42平米 | 南 | 毛坯 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0U26H3W4J_1.jpg.296x216.jpg
20201223,宝山,共富,高品质小区大三房，户型方正，南北通必看好房,500万,3室2厅 | 122.25平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s6D89R68a_1.jpg.296x216.jpg
20201223,宝山,共富,房子低楼层，南北户型，位置好，采光好必看好房,315万,2室1厅 | 74.98平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cxbwpurpo_1.jpg.296x216.jpg
20201223,宝山,共富,中间楼层，正规南北两房，采光和通风好必看好房,318万,2室1厅 | 79平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BAXRmo2ke_1.jpg.296x216.jpg
20201223,宝山,共富,前后无遮挡+户型正气+近地铁1号线+固定车位必看好房,340万,3室1厅 | 89.17平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JPzQnlUNg_1.jpg.296x216.jpg
20201223,宝山,共富,花园旁~楼层低~出行方便~税费少~户型通透~06新房龄必看好房,359万,3室2厅 | 91.42平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OOaiPIQCJ_1.jpg.296x216.jpg
20201223,宝山,共富,房本满五+户型正气+采光充足视野好+交通便利必看好房,262万,2室1厅 | 59.7平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wh4LgTgwB_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁+婚房装修拎包入住+得房率高采光好+价格可谈必看好房,199万,1室1厅 | 51.37平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dGTHQqqya_1.jpg.296x216.jpg
20201223,宝山,共富,三天井使用面积大，满五年唯一没有个税，价格可谈必看好房,378万,3室1厅 | 87.44平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2hqBPq9VQ_1.jpg.296x216.jpg
20201223,宝山,共富,热乎精装三房（近一号线）满五年+非顶楼+贝壳专属房源必看好房,336万,3室1厅 | 81.72平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b30b5jOHR_1.jpg.296x216.jpg
20201223,宝山,共富,99年房龄+南北两房+满五唯一+业主着急出售+近地铁必看好房,298万,2室1厅 | 77.4平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iMfdfxeXK_1.jpg.296x216.jpg
