20201223,宝山,共康,新上房源：南北通透，位置佳，业主诚意出售必看好房,570万,2室2厅 | 99.2平米 | 南 北 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fHMGbglUg_1.jpg.296x216.jpg
20201223,宝山,共康,全明户型，高区边套，静安门户，得房率高小三房必看好房,425万,3室1厅 | 91.09平米 | 东 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1sBOy01hK.jpg.296x216.jpg
20201223,宝山,共康,共康前六村南北两房+大客厅+视野好+看房方便诚意出售必看好房,374万,2室2厅 | 81.52平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xlezuKAYD.jpg.296x216.jpg
20201223,宝山,共康,近地铁，视野开阔，精装修，采光充足。必看好房,625万,3室2厅 | 89.46平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/175c7f22-c59c-4012-b42f-4f02cb3bbaaf_1000.jpg.296x216.jpg
20201223,宝山,共康,南北通格局，2年婚装，原值高税少，近东门出入方便必看好房,575万,2室2厅 | 98.31平米 | 南 | 精装 | 中楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vskJeoy7b.jpg.296x216.jpg
20201223,宝山,共康,满五唯一，精装修，产权清晰，业主诚意出售，随时可签必看好房,684万,4室2厅 | 121.2平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5ebec846-ed31-4de1-8991-f65fe6e6266d_1000.jpg.296x216.jpg
20201223,宝山,共康,万达商圈+共康路地铁站+视野开阔+诚意出售必看好房,279万,2室1厅 | 57.53平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/90bbb44e-4ee4-43e1-afd0-704088d563c9_1000.jpg.296x216.jpg
20201223,宝山,共康,带大花园采光无遮挡+满五唯一省个税+精装修拎包入住必看好房,605万,2室2厅 | 105.14平米 | 南 | 精装 | 低楼层(共8层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62216bce-2d46-43dc-9203-44d350768ed1_1000.jpg.296x216.jpg
20201223,宝山,共康,南北通透大两房 满五唯一  楼层位置好 保养新必看好房,498万,2室2厅 | 99.95平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62ccf0b0-d8a7-45b0-a9fc-2696dad6d172_1000.jpg.296x216.jpg
20201223,宝山,共康,普通住宅，2015年人车分流品质小区，高层,二阳台必看好房,409万,2室1厅 | 64.48平米 | 南 | 精装 | 高楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zzcv1w7tA.jpg.296x216.jpg
20201223,宝山,共康,阁楼大空间+高区景观+二手卖进税费少+中式园林住宅必看好房,635万,2室2厅 | 89.32平米 | 南 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d77d47af-5e18-4b5c-b5ce-4a9d7625f1bf_1000.jpg.296x216.jpg
20201223,宝山,共康,满五不唯一，南北直通，采光视野无遮挡，绿化充足！必看好房,435万,2室2厅 | 82.61平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l16FHFjB2_1.jpg.296x216.jpg
20201223,宝山,共康,地铁口精装两房，通明全景。采光充足必看好房,600万,2室2厅 | 96.71平米 | 南 | 简装 | 低楼层(共22层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ba5af42f-19cd-4b5c-a2d5-3260e52a7e25_1000.jpg.296x216.jpg
20201223,宝山,共康,三开间朝南 近地铁 精装修 万达商圈必看好房,338万,2室1厅 | 72.12平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IgJc1mArP_1.jpg.296x216.jpg
20201223,宝山,共康,中间楼层 南北通户型 全明格局  一梯两户必看好房,425万,2室1厅 | 86.36平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ce0zUXEG9_1.jpg.296x216.jpg
20201223,宝山,共康,1号线 满五唯一 万达家乐福 全明户型 婚房精装必看好房,399万,3室1厅 | 75.97平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9fa905ab-2960-4dc7-83ff-bcdccad10360_1000.jpg.296x216.jpg
20201223,宝山,共康,低单价，低总价，大三房，两卫三阳台，附带大院子必看好房,635万,3室2厅 | 121.41平米 | 南 | 简装 | 低楼层(共22层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bHCvZGoDr_1.jpg.296x216.jpg
20201223,宝山,共康,电梯房优质楼层+带车位+视野宽阔+无增值税+独立阳台必看好房,375万,2室1厅 | 68.6平米 | 南 | 精装 | 中楼层(共10层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/447497a4-3f02-4956-be34-a567c8cb8373_1000.jpg.296x216.jpg
