20201223,宝山,顾村,钥匙在我手，看房跟我走，叶语前排景观房87%得房率！必看好房,690万,4室2厅 | 118.63平米 | 南 西南 北 | 毛坯 | 低楼层(共21层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ia5EJ6r6Y_1.jpg.296x216.jpg
20201223,宝山,顾村,保利精装2房 中高层 满五唯一 公园景观 近地铁 医院必看好房,555万,2室1厅 | 90.12平米 | 南 | 精装 | 高楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xEQSlmPlp_1.jpg.296x216.jpg
20201223,宝山,顾村,南北通格局，精装修，可观东方明珠，品质楼盘必看好房,720万,4室2厅 | 125.13平米 | 南 | 精装 | 高楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8v2HEaOwT_1.jpg.296x216.jpg
20201223,宝山,顾村,近地铁 一手动迁  古北陆翔苑  精装大三房 拎包入住必看好房,455万,3室2厅 | 101.59平米 | 南 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C5ZM9kbSx_1.jpg.296x216.jpg
20201223,宝山,顾村,此房格局好 交通便利 诚心出售 接受置换 税费少必看好房,428万,3室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lT25iGScx_1.jpg.296x216.jpg
20201223,宝山,顾村,此房动迁 格局好 交通便利 诚心出售 接受置换 税费少必看好房,280万,2室1厅 | 70.59平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pohrno0yY_1.jpg.296x216.jpg
20201223,宝山,顾村,电梯景观房，精装修 拎包入住   满5唯一必看好房,375万,2室2厅 | 94.88平米 | 南 北 | 精装 | 高楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ji79H4tBF_1.jpg.296x216.jpg
20201223,宝山,顾村,一手动迁、税费低、小区位置好、南北 通、采光好必看好房,290万,2室1厅 | 75.25平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VUePhMTHe_1.jpg.296x216.jpg
20201223,宝山,顾村,户型正气，格局很好，诚意出售，总价低，做平税少必看好房,308万,2室2厅 | 78.66平米 | 南 | 精装 | 低楼层(共16层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YeNhFmCiB_1.jpg.296x216.jpg
20201223,宝山,顾村,满五唯一、位置好、户型正气、诚意出售必看好房,440万,3室2厅 | 124.58平米 | 南 | 毛坯 | 低楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aWjcuqCgy_1.jpg.296x216.jpg
20201223,宝山,顾村,此房南北通，一梯三户，房型正气，采光好，视野开阔必看好房,345万,2室1厅 | 76.16平米 | 南 北 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8S1roqtLp_1.jpg.296x216.jpg
20201223,宝山,顾村,双轨交，央企保利，高层景观房，自住精装修，拎包入住必看好房,399万,2室2厅 | 81.64平米 | 南 | 精装 | 中楼层(共28层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hfzo3Nt6E_1.jpg.296x216.jpg
20201223,宝山,顾村,带产权车位户型正气。全南采光好。精装修。拎包入住必看好房,318万,2室2厅 | 79.86平米 | 南 | 精装 | 低楼层(共15层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRSHThWVz_1.jpg.296x216.jpg
20201223,宝山,顾村,全明户型，通风采光好，诚意出售，A级好房必看好房,235万,2室1厅 | 67.27平米 | 南 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S1ezqaQaN_1.jpg.296x216.jpg
20201223,宝山,顾村,视野开阔，精装自住，近地铁，出行方便必看好房,512万,2室2厅 | 89.37平米 | 南 | 精装 | 低楼层(共22层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EVFyK6R8D_1.jpg.296x216.jpg
20201223,宝山,顾村,经典户型纯毛坯朝南，一首动迁两房两厅，采光视野佳必看好房,290万,2室2厅 | 77.34平米 | 南 | 毛坯 | 低楼层(共24层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kptnSoW4k_1.jpg.296x216.jpg
20201223,宝山,顾村,七号线潘广路 精致一房总价低  满五唯一税费少必看好房,215万,1室1厅 | 56.06平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k5qzNUGJq_1.jpg.296x216.jpg
20201223,宝山,顾村,南北格局，业主诚心出售，看房随时可看必看好房,235万,1室1厅 | 55.52平米 | 南 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZFdwnX4Ct_1.jpg.296x216.jpg
20201223,宝山,顾村,前排景观房，大门在菊盛路上面，出去就是便利店必看好房,308万,2室2厅 | 73.05平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i37x1v6kF_1.jpg.296x216.jpg
20201223,宝山,顾村,总价低，南北通透格局，采光充足必看好房,308万,2室1厅 | 72.35平米 | 南 北 | 精装 | 低楼层(共8层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UzzX7KAVt_1.jpg.296x216.jpg
20201223,宝山,顾村,顾村公园地铁双轨交 精装南北两房 看房有钥匙必看好房,337.5万,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FIHDCGaJO_1.jpg.296x216.jpg
20201223,宝山,顾村,安静小区，户型正气，类似花园洋房。必看好房,315万,2室2厅 | 82.26平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XSMyfwQOD_1.jpg.296x216.jpg
20201223,宝山,顾村,满5年税少  装修很好 随时可看 南北通 阳光足必看好房,265万,2室1厅 | 72.87平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VXRGt3AYf_1.jpg.296x216.jpg
20201223,宝山,顾村,7号线刘行站龙湖北城天街旁 一手动动迁税费少必看好房,382万,3室2厅 | 96.18平米 | 南 北 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kRY8zsmLl_1.jpg.296x216.jpg
20201223,宝山,顾村,满五年唯一，南北格局，采光充足，配套成熟必看好房,410万,3室2厅 | 90.39平米 | 南 北 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YGdqPgEPZ_1.jpg.296x216.jpg
20201223,宝山,顾村,满五唯一，高楼层，精装修，诚心出售，看房随时必看好房,435万,3室2厅 | 83.8平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KA0A85JJw_1.jpg.296x216.jpg
20201223,宝山,顾村,南北户型 总价低  近顾村公园站 诚意出售 看房方便！必看好房,320万,3室2厅 | 95.71平米 | 南 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5cfb24JRh_1.jpg.296x216.jpg
20201223,宝山,顾村,房型好，次顶楼，视野宽阔，采光充足，居住舒适必看好房,329万,2室2厅 | 79.78平米 | 南 | 精装 | 高楼层(共15层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pTp77pZNF_1.jpg.296x216.jpg
20201223,宝山,顾村,此房满五唯一，花园位置，近地铁1号线，户型正必看好房,475万,3室2厅 | 122.41平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rpLCyukpH_1.jpg.296x216.jpg
20201223,宝山,顾村,精装三房 近地铁商场 生活交通便捷必看好房,418万,3室2厅 | 96.18平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CO0oImY8A_1.jpg.296x216.jpg
20201223,宝山,顾村,精装两房，中间楼层采光好，店长推荐，满两年必看好房,329万,2室2厅 | 79.78平米 | 南 | 精装 | 中楼层(共15层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ckJate0Xq_1.jpg.296x216.jpg
20201223,宝山,顾村,双轨地铁，满五 唯 一 高层四房，公园景观，户型方正必看好房,695万,4室2厅 | 115.2平米 | 南 | 精装 | 高楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T9aQUC9hc_1.jpg.296x216.jpg
20201223,宝山,顾村,带车位，精装修+中控空调，看房方便，诚意出售，满五必看好房,395万,2室2厅 | 80.3平米 | 南 | 精装 | 高楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RdHxwTkzA_1.jpg.296x216.jpg
20201223,宝山,顾村,顾村公园 保利品质小区满五唯一税费少中楼层的两房必看好房,379万,2室1厅 | 79.82平米 | 南 | 毛坯 | 低楼层(共24层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mQ3pFnwmh_1.jpg.296x216.jpg
20201223,宝山,顾村,中高层不靠马路，河景大三房，南北户型，诚意出售必看好房,485万,3室2厅 | 126.2平米 | 南 北 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yUxPOpf9I_1.jpg.296x216.jpg
20201223,宝山,顾村,南北通，1梯2户，业主诚心出售，看房方便必看好房,275万,2室2厅 | 74.01平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RzGcqJ56q_1.jpg.296x216.jpg
20201223,宝山,顾村,近地铁++满五唯一++拎包入住++诚心售++随时可看++可谈必看好房,469万,3室2厅 | 130.97平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xjOMCQqw6_1.jpg.296x216.jpg
20201223,宝山,顾村,满五唯一 电梯品质 好房怎么都等你来必看好房,360万,2室2厅 | 86.93平米 | 南 北 | 简装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8McTcCUzp_1.jpg.296x216.jpg
20201223,宝山,顾村,#白玉兰奖户型#+南北通透+一梯三户+满五年税费少必看好房,308万,2室2厅 | 74.72平米 | 南 北 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZU41yGRVu_1.jpg.296x216.jpg
