20201223,宝山,上大,上大居家两室户 店长推荐 交通配套齐全必看好房,246万,2室1厅 | 58.48平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_urNADmGTW_1.jpg.296x216.jpg
20201223,宝山,上大,南北小两房，示范小区，准电梯房，近地铁必看好房,255万,2室1厅 | 55.35平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zFmfkoXKa_1.jpg.296x216.jpg
20201223,宝山,上大,中高楼层 +采光好+7号线地铁+配套齐全必看好房,550万,2室2厅 | 98.57平米 | 南 北 | 简装 | 高楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WtWJ4Djfz_1.jpg.296x216.jpg
20201223,宝山,上大,3/4满五唯一，双阳台，楼层好，视野开阔必看好房,620万,3室2厅 | 141.98平米 | 南 | 精装 | 中楼层(共20层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hhlmYsUmg_1.jpg.296x216.jpg
20201223,宝山,上大,次新小区 近地铁，可自由装修，难道不香吗必看好房,530万,2室2厅 | 84.26平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7nZeeV1aY_1.jpg.296x216.jpg
20201223,宝山,上大,16年次新小区  全明户型 无增值税必看好房,350万,2室1厅 | 70平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RfZBTDx2a_1.jpg.296x216.jpg
20201223,宝山,上大,09年次新房小区+相邻南大CBD+正气户型南北通透必看好房,505万,3室2厅 | 118.76平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_73UBocvI2_1.jpg.296x216.jpg
20201223,宝山,上大,房子二手买进，自住保养，楼层高，采光好，视野宽阔必看好房,300万,2室2厅 | 71.91平米 | 南 北 | 精装 | 高楼层(共33层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rxtC7eAsC_1.jpg.296x216.jpg
20201223,宝山,上大,顶楼复式小3房 总价低随时看房配套成熟必看好房,439万,3室2厅 | 102.12平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fkI32DtfF_1.jpg.296x216.jpg
20201223,宝山,上大,全明户型，中间位置，业主诚意出售必看好房,310万,2室1厅 | 62.55平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XfqoIUutr_1.jpg.296x216.jpg
20201223,宝山,上大,三开间朝南 中楼层大三房 小区罕见户型必看好房,715万,3室2厅 | 129.08平米 | 南 北 | 简装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DZQ7po0ln_1.jpg.296x216.jpg
20201223,宝山,上大,地铁400米户型方正，双轨交通，2007年商品房满五唯一必看好房,550万,3室1厅 | 128.76平米 | 南 北 | 毛坯 | 低楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k6HZVNIut_1.jpg.296x216.jpg
20201223,宝山,上大,电梯房，业主诚心出售，双轨交，7号线和15号线必看好房,335万,2室2厅 | 70.17平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wA6ApgDkb_1.jpg.296x216.jpg
20201223,宝山,上大,地铁口 中间楼层 拎包入住 税费低必看好房,420万,2室2厅 | 86.36平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0NVVJgt97_1.jpg.296x216.jpg
20201223,宝山,上大,一手动迁，南北通透，户型方正，得房率高。必看好房,435万,3室2厅 | 115.53平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1mtUxiSsM_1.jpg.296x216.jpg
20201223,宝山,上大,双轨交通，唯一，阳光房精装修，长租车位，地段热闹必看好房,323万,3室2厅 | 67.09平米 | 南 北 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iRSgUqeB4_1.jpg.296x216.jpg
20201223,宝山,上大,花园式小区满五年高楼层，保养好拎包入住必看好房,425万,3室2厅 | 92.23平米 | 南 北 | 精装 | 中楼层(共33层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Si1Nf271r_1.jpg.296x216.jpg
20201223,宝山,上大,三期精装一房+中间楼层视野好+满五唯一+近地铁必看好房,445万,1室1厅 | 64.04平米 | 南 北 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TV9yPXE1b_1.jpg.296x216.jpg
20201223,宝山,上大,一手动迁，双地铁成熟配套，出入方便，房东诚意卖必看好房,215万,1室1厅 | 44.94平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Ee4QZAtc_1.jpg.296x216.jpg
20201223,宝山,上大,经纬一期小户型，满5年唯一，中间楼层，中等装修必看好房,390万,1室2厅 | 59.55平米 | 南 | 简装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GtW9WDgWF_1.jpg.296x216.jpg
20201223,宝山,上大,满五唯一 双南两房 近地铁 中间楼层 采光好必看好房,318万,2室1厅 | 65.24平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qU2d3CNyU_1.jpg.296x216.jpg
20201223,宝山,上大,近地铁 双南双阳台户型方正 中高区景观房 看房方便必看好房,355万,2室1厅 | 69.91平米 | 南 | 简装 | 高楼层(共18层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8JLmTm6Ik_1.jpg.296x216.jpg
20201223,宝山,上大,带私家112平天台、景观房、近地铁、得房率高、税费低必看好房,520万,3室2厅 | 112.08平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sam7U0DwU_1.jpg.296x216.jpg
20201223,宝山,上大,地铁700米，两房两位，南北通透，满五年精装修必看好房,488万,2室1厅 | 107.19平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kni1oTQdB_1.jpg.296x216.jpg
20201223,宝山,上大,欧式婚房精装修 视野开阔  拎包入住 景观小区必看好房,538万,2室2厅 | 99.72平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zaNEjFWM_1.jpg.296x216.jpg
20201223,宝山,上大,此房为南北通的户型，通透，满五唯一必看好房,470万,2室2厅 | 93.38平米 | 南 | 精装 | 高楼层(共10层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9oImGORow_1.jpg.296x216.jpg
20201223,宝山,上大,精装小三房，户型正，采光明亮，位置佳，业主诚售必看好房,410万,3室2厅 | 92.23平米 | 南 北 | 精装 | 低楼层(共33层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xORYQ2DJx_1.jpg.296x216.jpg
20201223,宝山,上大,错层宽敞两居室，动静分离，采光充足，精装修拎包入住必看好房,490万,2室2厅 | 94.72平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1fX3z2bYK_1.jpg.296x216.jpg
20201223,宝山,上大,双地铁小三房 保利物业 精装带地暖 诚意急售 看房便利必看好房,638万,3室2厅 | 102.84平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3Ub8pUbmV_1.jpg.296x216.jpg
20201223,宝山,上大,一手动迁，税费少，精装修，拎包入住必看好房,490万,3室2厅 | 119.6平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VtT88VI3f_1.jpg.296x216.jpg
20201223,宝山,上大,业主诚意出售，大花园，房子保养的很好，拎包入住必看好房,425万,2室1厅 | 87.77平米 | 南 北 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XQPz7TJkt_1.jpg.296x216.jpg
20201223,宝山,上大,上大入室花园户型 满五唯一 二手买进 南北直通户型必看好房,479万,2室2厅 | 87.77平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NI9HYMNKv_1.jpg.296x216.jpg
20201223,宝山,上大,（安静）（税费少）（南北直通）（精装修）（采光佳）必看好房,529万,2室2厅 | 99.22平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UHix77DjE_1.jpg.296x216.jpg
20201223,宝山,上大,业主诚意出售，高品质社区，精心装修，税费少哦必看好房,436万,1室1厅 | 63.99平米 | 北 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yChpvOeW3_1.jpg.296x216.jpg
20201223,宝山,上大,中间楼层，低总价，全明户型，配套齐全必看好房,260万,1室1厅 | 58.71平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mFuircbAd_1.jpg.296x216.jpg
20201223,宝山,上大,高楼层 电梯房 采光好 近地铁 满五必看好房,440万,2室2厅 | 87.04平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Buva8GIiw_1.jpg.296x216.jpg
20201223,宝山,上大,满五年，双轨交通，中间楼层，采光好，不靠马路必看好房,228万,1室1厅 | 43.82平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XShhMm0rh_1.jpg.296x216.jpg
20201223,宝山,上大,别墅区的多层，居住舒适，绿意盎然必看好房,482万,2室1厅 | 102.93平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ISS7AJuPU_1.jpg.296x216.jpg
20201223,宝山,上大,七号线 南陈路站 17年次新房 南北直通 精装修必看好房,495万,2室2厅 | 88.95平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hDjInZI2a_1.jpg.296x216.jpg
20201223,宝山,上大,自带25平院子 双南两房 7、15号线双地铁 配套设施齐全必看好房,339万,2室1厅 | 68.17平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4IDqwhJgG_1.jpg.296x216.jpg
20201223,宝山,上大,满五唯一，南北通格局好，精装采光佳，带车位必看好房,640万,3室2厅 | 102.84平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HhuDhwQBz_1.jpg.296x216.jpg
20201223,宝山,上大,经典南北通两房，居家装修，业主诚意出售必看好房,365万,2室1厅 | 78.44平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uAD3Lg6vI_1.jpg.296x216.jpg
20201223,宝山,上大,上大聚丰园，好房急售，满五唯一户型好，位置好必看好房,415万,2室2厅 | 92.6平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jR7PEKRDo_1.jpg.296x216.jpg
20201223,宝山,上大,满五年，楼层好，通风采光好，居住舒适必看好房,295万,2室2厅 | 84.76平米 | 南 | 毛坯 | 中楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ycZzmjkAb_1.jpg.296x216.jpg
20201223,宝山,上大,满2唯一，近地铁，交通便利，中间楼层，南北通全明户必看好房,300万,2室1厅 | 62.4平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dhNACKmN6_1.jpg.296x216.jpg
20201223,宝山,上大,近地铁，南北通透视野宽广采光充足，交通便利配套齐全必看好房,388万,2室1厅 | 79.33平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4B4dIN35I_1.jpg.296x216.jpg
