20201223,宝山,淞宝,地铁3号线 宝龙广场宝乐汇旁 售后公房 诚意售房必看好房,330万,2室1厅 | 63.49平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mfKdB5B0U_1.jpg.296x216.jpg
20201223,宝山,淞宝,南北全明两房 满五唯一 楼层好必看好房,325万,2室1厅 | 46.37平米 | 南 北 | 简装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ix4UIE3Q1.jpg.296x216.jpg
20201223,宝山,淞宝,一梯2户 南北两房格局 视野开阔 交通方便 配套齐全必看好房,336万,2室1厅 | 75.41平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7hbzIbVy7_1.jpg.296x216.jpg
20201223,宝山,淞宝,宝林二村 全明户型 双南朝向 满五唯一 采光好  视野好必看好房,273万,2室1厅 | 60.21平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qzDVHeHQb.jpg.296x216.jpg
20201223,宝山,淞宝,满五年 简单装修 干净整洁 全明户型 采光好 随时看房必看好房,158万,1室1厅 | 41.42平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dLRzndlV8.jpg.296x216.jpg
20201223,宝山,淞宝,宝山三村经典户型采光好 主卧朝南必看好房,168万,1室1厅 | 40.62平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GvdIslSjx.jpg.296x216.jpg
20201223,宝山,淞宝,宝山三村 中间楼层 双南户型 户型正气必看好房,372万,2室1厅 | 79.8平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZD38pvDG4.jpg.296x216.jpg
20201223,宝山,淞宝,低总价一楼带天井，交通方便近地铁必看好房,135万,1室1厅 | 38.36平米 | 南 | 毛坯 | 低楼层(共4层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l4RNlNDRi_1.jpg.296x216.jpg
20201223,宝山,淞宝,海滨二村 近地铁 售后公房 业主变现 诚心出售必看好房,177万,2室1厅 | 50.03平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jL4wKOVwE.jpg.296x216.jpg
20201223,宝山,淞宝,海江二村 中间楼层 南北两房 诚意出售必看好房,219万,2室1厅 | 51.69平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jll9A6blk_1.jpg.296x216.jpg
20201223,宝山,淞宝,离地铁站，房屋的采光比较好，带装修必看好房,155万,1室1厅 | 38.9平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zfpDEq9B2.jpg.296x216.jpg
