20201223,宝山,淞南,婚房装修  厅房同宽  拎包入住  采光充足必看好房,192万,1室1厅 | 42.55平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7cxWHccAq_1.jpg.296x216.jpg
20201223,宝山,淞南,链家专属+南北通+电梯高区+双公园+双地铁+生活方便必看好房,490万,2室2厅 | 82.38平米 | 北 南 | 简装 | 高楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OR5MnmrA2_1.jpg.296x216.jpg
20201223,宝山,淞南,满五唯一 税费少 1梯2户 南北户型 全明 采光通风好必看好房,309万,1室1厅 | 61.9平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_schTJJCVd_1.jpg.296x216.jpg
20201223,宝山,淞南,淞南十村 全明一房 采光好 视野开阔 满五税少必看好房,185万,1室1厅 | 44.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/131a75dd-a605-459f-85da-72fa0c92f20d_1000.jpg.296x216.jpg
20201223,宝山,淞南,笋盘急售 带大花园采光好 次新小区 三房改肆房必看好房,618万,3室2厅 | 127.49平米 | 南 | 简装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ow2Tgssu3_1.jpg.296x216.jpg
20201223,宝山,淞南,淞南小八村 楼层佳 采光无遮挡 看房提前预约必看好房,198万,1室1厅 | 49.61平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IOeJCiI4B_1.jpg.296x216.jpg
20201223,宝山,淞南,满五年唯一 二手买进 税费少 南北通 精装自住必看好房,485万,2室2厅 | 102.13平米 | 南 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NSzYj0abn_1.jpg.296x216.jpg
20201223,宝山,淞南,三号线轨交交通一梯两户得房率高满五年唯一税费少必看好房,345万,2室2厅 | 75.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yauuqUXja_1.jpg.296x216.jpg
20201223,宝山,淞南,近三号线18号线长江南路站 满五年唯一 精装修 4楼必看好房,398万,3室1厅 | 105.29平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eVxxNBpEV_1.jpg.296x216.jpg
20201223,宝山,淞南,厅房同宽 精装修交付 采光充足 可拎包入住必看好房,210万,1室1厅 | 49.61平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jLP6ksFoT_1.jpg.296x216.jpg
20201223,宝山,淞南,上架低楼层 一房  房型正气总价低 业主诚心卖必看好房,205万,1室1厅 | 42.07平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JAdqJKW1Q_1.jpg.296x216.jpg
20201223,宝山,淞南,99年商品房 户型正气 交通便利 配套齐全 采光无挡必看好房,298万,3室1厅 | 74.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sb0g7LTK2_1.jpg.296x216.jpg
20201223,宝山,淞南,新上架精装修两房/ 房东置换 诚心急卖。必看好房,330万,2室1厅 | 72.48平米 | 南 北 | 精装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sB4mwfEcN_1.jpg.296x216.jpg
20201223,宝山,淞南,一楼带院子，位置好采光好，户型正气，诚意出售必看好房,576万,3室1厅 | 117.65平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1ff4b6ce-949d-460d-9737-aa20fed631c6.jpg.296x216.jpg
20201223,宝山,淞南,全明户型大两房 高楼层采光通风佳 满五唯一必看好房,280万,2室1厅 | 72.34平米 | 南 | 毛坯 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QqJaGSZEE_1.jpg.296x216.jpg
20201223,宝山,淞南,淞南七村精装 视野开阔 采光充足配套设施齐全交通便利必看好房,188万,1室1厅 | 47.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DI0uoRgRM_1.jpg.296x216.jpg
20201223,宝山,淞南,电梯南北三房，采光视野开阔，满五有疑问可联系维护人必看好房,618万,3室2厅 | 121.53平米 | 南 北 | 简装 | 中楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/1b904fa1-b6d6-4148-8e64-610720d5eb33.jpg.296x216.jpg
20201223,宝山,淞南,三湘海尚城(公寓) 2室2厅 南新上,585万,2室2厅 | 87.95平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iRQfusRph_1.jpg.296x216.jpg
20201223,宝山,淞南,满五唯一，好楼层，一梯两户，正气三房，诚意出售！,430万,3室1厅 | 82.14平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1v3WuJgiG_1.jpg.296x216.jpg
20201223,宝山,淞南,淞南九村  总价低小两房   视野开阔  采光充足 诚心卖新上,210万,2室1厅 | 46.82平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0aXIDOsTV_1.jpg.296x216.jpg
20201223,宝山,淞南,满五唯一，电梯房，户型正气，小面积总价低，交通便利新上,475万,2室2厅 | 86平米 | 南 北 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mEMucBqlT_1.jpg.296x216.jpg
20201223,宝山,淞南,精装修保养好，户型正气，一梯两户，配套成熟出行方便新上,530万,2室2厅 | 97.74平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_14QOsI0fm_1.jpg.296x216.jpg
20201223,宝山,淞南,精装三年，南北通透，户型正气，诚心出售房主自荐,640万,3室2厅 | 122.17平米 | 南 北 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xalrdacE7_1.jpg.296x216.jpg
20201223,宝山,淞南,鹏程花苑 5室3厅 南新上,850万,5室3厅 | 199.2平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bacq5T1GK_1.jpg.296x216.jpg
20201223,宝山,淞南,小三居+链家专属+南北通+双公园+双地铁+生活交通方便,485万,2室1厅 | 82.39平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rgA8yYxqi_1.jpg.296x216.jpg
20201223,宝山,淞南,超大楼间距 看房方便 小区环境好 通风性好 诚意出售,450万,2室1厅 | 87.25平米 | 南 | 简装 | 高楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rnBuEfGBo_1.jpg.296x216.jpg
20201223,宝山,淞南,店长推荐，房东诚意上门挂牌，低楼层低总价房主自荐,225万,1室1厅 | 49.65平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eZCkKgcqY_1.jpg.296x216.jpg
20201223,宝山,淞南,满五唯一，倒复式，总价低单价低，小区环境好房主自荐,525万,3室2厅 | 129.25平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fVVB44dsm_1.jpg.296x216.jpg
20201223,宝山,淞南,带大花园+满五唯一+产权清晰+配套设施齐全房主自荐,570万,3室2厅 | 117平米 | 南 北 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZbivntGna_1.jpg.296x216.jpg
20201223,宝山,淞南,大三房全南全明复式，近地铁三号线淞发路站房主自荐,665万,3室2厅 | 153.15平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hEVo8VUpk_1.jpg.296x216.jpg
20201223,宝山,淞南,13年小区  精装修地暖  大三房  景观  18hao房主自荐,708万,3室2厅 | 118.03平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Guw3EGmW7_1.jpg.296x216.jpg
