20201223,宝山,通河,目前房子是1房1厅 楼层1楼带天井，还是不错的必看好房,195万,1室1厅 | 42.26平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f2f8ad3c-058d-442f-8d5c-f0e42a77fdf6_1000.jpg.296x216.jpg
20201223,宝山,通河,边套全明户型，从地图看下区位，很方便必看好房,215万,1室1厅 | 43.93平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f8ead972-ecf0-4d2f-841e-5cee104c488e_1000.jpg.296x216.jpg
20201223,宝山,通河,精装修 双南双天井 一梯两户 随时可看 诚意出售必看好房,320万,2室1厅 | 62.04平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b857b4d7-043b-4ec1-896c-141f22ec81c3_1000.jpg.296x216.jpg
20201223,宝山,通河,链家优选：一梯俩户+全明格局+产权清晰+价格可谈必看好房,315万,2室1厅 | 70.17平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a95aba3d-dafc-4560-bbf7-26adcbfb3bd4_1000.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，双南两房带一个阳台。必看好房,287万,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/94933558-984b-4577-8aed-6495f3cdedd3_1000.jpg.296x216.jpg
20201223,宝山,通河,通河四村低楼层 出行方便 地铁一号线 诚意出售必看好房,198万,1室1厅 | 42.73平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XEtYXZ3Qo.jpg.296x216.jpg
20201223,宝山,通河,通河二村 一房一厅采光好 视野开阔 生活配套齐全必看好房,190万,1室1厅 | 44.34平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sHvMtCgxv.jpg.296x216.jpg
20201223,宝山,通河,楼层好，近轨交，满五唯一，正气通透必看好房,245万,1室1厅 | 48.36平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/68f53a44-1ea0-4099-92ef-7ac231f9cb8f_1000.jpg.296x216.jpg
20201223,宝山,通河,小区位置好，楼层佳，诚意出售，全明户型必看好房,188万,1室1厅 | 42.19平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4792f1e6-2598-4a52-b657-02f13b0ad6d7_1000.jpg.296x216.jpg
20201223,宝山,通河,精装修 +通河新村+有露台+ 满五唯一必看好房,350万,2室1厅 | 65.45平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VCcmCeBDv_1.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，朝南宜居小户型，业主诚意出售必看好房,172万,1室1厅 | 36.66平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cec97076-9547-4a50-b6e0-000b1c61d034_1000.jpg.296x216.jpg
20201223,宝山,通河,满五年唯一 中间楼层 一梯两户 双南两房新上,390万,2室2厅 | 79.31平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IOQMpkVfl_1.jpg.296x216.jpg
20201223,宝山,通河,此房满五唯一，装修可以拎包入住。新上,290万,2室1厅 | 61.07平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PFPQzKlYQ_1.jpg.296x216.jpg
20201223,宝山,通河,链家优选+小户型+精装修+诚心出售+近万达跟家乐福新上,175万,1室1厅 | 37.12平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0pmrFssk1_1.jpg.296x216.jpg
20201223,宝山,通河,满五年不唯一 小区中间位置 非顶楼新上,200万,1室1厅 | 45.74平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zwy9XtwC4_1.jpg.296x216.jpg
20201223,宝山,通河,边套全明 小区位置佳 诚意出售 看房方房主自荐,188万,1室1厅 | 42.43平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h4l1PM7HK_1.jpg.296x216.jpg
20201223,宝山,通河,好楼层！近地铁！看房方便！宜居一房！房主自荐,202万,1室1厅 | 42.73平米 | 南 | 简装 | 中楼层(共4层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZocOgPCjs_1.jpg.296x216.jpg
20201223,宝山,通河,电梯房，大三房，近万达广场，有钥匙随时可看房房主自荐,770万,3室2厅 | 120.45平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e691a3a-1246-4246-b844-111488d6703a_1000.jpg.296x216.jpg
20201223,宝山,通河,步行至地铁站仅需200米，户型好，中间楼层，万达商圈房主自荐,435万,2室2厅 | 84.77平米 | 南 北 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SwX6glOyB_1.jpg.296x216.jpg
20201223,宝山,通河,临万达广场，南北直通，电梯房，近地铁房主自荐,535万,2室2厅 | 90.46平米 | 南 | 毛坯 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f4004956-bb75-4565-b722-78325bbf11b5_1000.jpg.296x216.jpg
20201223,宝山,通河,通河八村 1室1厅 南 北,183万,1室1厅 | 36.19平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tBVKzpCzn_1.jpg.296x216.jpg
20201223,宝山,通河,错层四复，房子正气格局好，精致装修，拎包入住房主自荐,810万,5室2厅 | 163.4平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-41ac761d-e95f-4e56-87ba-7a17ebc381d0.jpg.296x216.jpg
20201223,宝山,通河,近地铁一号线税费少户型方正没有浪费，而且是边套诚售,180万,1室1厅 | 39平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1ySgR9Ikp_1.jpg.296x216.jpg
20201223,宝山,通河,通河四村，正气一房一厅，边套全明，总价单价低。房主自荐,182万,1室1厅 | 40.53平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rJPcmlYQJ_1.jpg.296x216.jpg
20201223,宝山,通河,采光充足，业主诚意，配套齐全，交通便利房主自荐,328万,2室1厅 | 73.48平米 | 北 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wvv1ntUrS_1.jpg.296x216.jpg
20201223,宝山,通河,非顶楼 户型方正 总价低 采光视野好房主自荐,230万,1室1厅 | 52.01平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iPgT83aIY_1.jpg.296x216.jpg
20201223,宝山,通河,通河八村 3室1厅 南房主自荐,353万,3室1厅 | 76.84平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_g1VPJqY84_1.jpg.296x216.jpg
20201223,宝山,通河,万达旁，满五唯一，配套齐全，户型正气，诚意出售房主自荐,760万,4室2厅 | 142.27平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_35UHLxagv_1.jpg.296x216.jpg
20201223,宝山,通河,一梯两户，顶楼复式，全明户型，近宝山万达,750万,4室2厅 | 152.22平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/010b3be8-0c59-4067-b7c9-66f889c80b1f_1000.jpg.296x216.jpg
20201223,宝山,通河,万达商圈+1号线通河新村站+满五年唯一+产权清晰,245万,2室1厅 | 59.7平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pm1HpMDEJ_1.jpg.296x216.jpg
20201223,宝山,通河,全明户型，拎包入住，环境优美，买一得二（使用面积）房主自荐,798万,4室2厅 | 163.2平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5f273dc0-4aac-49da-a400-7e53ecfc5100_1000.jpg.296x216.jpg
20201223,宝山,通河,全明户型，采光视野佳，单价低，业主诚心卖房主自荐,240万,2室1厅 | 56.58平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_17dUfFPDA.jpg.296x216.jpg
20201223,宝山,通河,通河六村 2室2厅 南 北,390万,2室2厅 | 77.16平米 | 南 北 | 毛坯 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MqNN7Ffoj_1.jpg.296x216.jpg
20201223,宝山,通河,近地铁，低楼层，户型方正，配套完善房主自荐,362万,2室1厅 | 67.61平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H2lDLoFia_1.jpg.296x216.jpg
20201223,宝山,通河,精装修大一房，高楼层采光好视野宽广新上,215万,1室1厅 | 47.45平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/02ff7873-82b8-45ac-bcb3-5716da31509e_1000.jpg.296x216.jpg
20201223,宝山,通河,福利分房，没有增值税，没有个税，加天井。房主自荐,285万,2室1厅 | 59.16平米 | 南 | 简装 | 低楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/550d7636-9e2b-4318-a911-92697faab1b8_1000.jpg.296x216.jpg
20201223,宝山,通河,链家优选  双南全明，精装修 ，采光好，诚心出售！,253万,2室1厅 | 54.66平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eCZmtSG9d_1.jpg.296x216.jpg
20201223,宝山,通河,万达旁，配套齐全，顶楼复式，户型正气，诚意出售房主自荐,630万,3室2厅 | 129.7平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nejn8CAmx.jpg.296x216.jpg
20201223,宝山,通河,非顶楼，南北全明的房型，通风好，户型佳；满五唯一。房主自荐,186万,1室1厅 | 42.3平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad982acd-56b0-4858-900d-9379d365ca97_1000.jpg.296x216.jpg
20201223,宝山,通河,一梯两户，双南房型，商品房性质，家乐福，万达，环抱房主自荐,475万,2室2厅 | 81.1平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KfjCFyR9e_2.jpg.296x216.jpg
20201223,宝山,通河,商.业圈里面的房子，中间楼层。等您甄选,420万,2室1厅 | 75.57平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0O0QSBT6l_1.jpg.296x216.jpg
20201223,宝山,通河,一梯两户精装修，非顶楼，税费少，采光好，全明户型房主自荐,263万,1室1厅 | 58.77平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8cdd3b64-e5f2-4f7e-8b60-d9d892bc6f32_1000.jpg.296x216.jpg
20201223,宝山,通河,通河六村南北通两房  满五唯一  近出口 非顶层！房主自荐,328万,2室2厅 | 72.7平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TzuBaEX0n.jpg.296x216.jpg
20201223,宝山,通河,链家优选：满五唯一+精装修、拎包住+楼层好、视野佳房主自荐,215万,1室1厅 | 45.16平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kOETxNQ4Z.jpg.296x216.jpg
20201223,宝山,通河,精装修两房，全明户，近地铁多路公交车，生活交通便利,398万,2室1厅 | 84.59平米 | 西南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ce8d0114-4ed4-4702-b9e1-cba8a07ae186_1000.jpg.296x216.jpg
20201223,宝山,通河,通河新四村 高楼层 满五年唯一 业主诚心出售房主自荐,310万,2室1厅 | 59.32平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/80db4f18-5e9a-4435-8179-54f5b8651a85_1000.jpg.296x216.jpg
20201223,宝山,通河,98年的商品房，一梯两户，房型正气，诚意卖房主自荐,350万,2室1厅 | 69.43平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b85367c9-ee81-41d6-bc93-bd06fef50a1d_1000.jpg.296x216.jpg
20201223,宝山,通河,满五年唯一  中间楼层  婚房精装修 拎包入住房主自荐,288万,2室1厅 | 59.54平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cbbaec60-3cca-4ed8-a3f7-3a6aa7aaef71_1000.jpg.296x216.jpg
20201223,宝山,通河,电梯示范先行小区，满五唯一，近地铁，小户型一房房主自荐,215万,1室1厅 | 45.16平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4HNpyUvqw_1.jpg.296x216.jpg
