20201223,宝山,月浦,刚需一居室 诚心出售  随时可看 非顶楼必看好房,135万,1室1厅 | 41.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Yzk3i7LX_1.jpg.296x216.jpg
20201223,宝山,月浦,次新小区 精装3年 电梯房 业主诚意出售 景观楼层必看好房,218万,2室1厅 | 73.92平米 | 南 | 精装 | 中楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1MY1pFJMv.jpg.296x216.jpg
20201223,宝山,月浦,乐业经典三房，满五年唯一，视野宽阔，看房方便必看好房,220万,3室1厅 | 72.61平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KS1fg50j1_1.jpg.296x216.jpg
20201223,宝山,月浦,临地铁 景观楼层 前后无遮挡 双南方厅 全明户型必看好房,282万,2室1厅 | 76.23平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kLytej9vk_1.jpg.296x216.jpg
20201223,宝山,月浦,电梯房 地铁站步行500米 两室 南北两阳台必看好房,360万,2室1厅 | 95.44平米 | 南 北 | 精装 | 低楼层(共10层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PMTBpoIOm.jpg.296x216.jpg
20201223,宝山,月浦,三房，精装修，总计低，2014年小区，电梯房必看好房,240万,3室1厅 | 84.7平米 | 南 | 简装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R2QZjqYsr_1.jpg.296x216.jpg
20201223,宝山,月浦,双南大厅，中楼层精装修，满五唯一，无遮挡，采光好必看好房,210万,2室1厅 | 60.08平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8oGT7d2jq.jpg.296x216.jpg
20201223,宝山,月浦,月浦三村，设施配套齐全，中间楼层，采光好，拎包入住必看好房,149万,2室0厅 | 48.74平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iqGbsz692.jpg.296x216.jpg
20201223,宝山,月浦,婚房装修，中间楼层，全明户型，前后无遮挡，看房方便必看好房,135万,1室1厅 | 41.47平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a1b7pKLaT.jpg.296x216.jpg
20201223,宝山,月浦,全明户型，通风采光好，不靠马路必看好房,143万,2室1厅 | 49.95平米 | 东南 | 毛坯 | 中楼层(共6层) | 1982年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3RS540jlj_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，顶楼带大露台，小区中间位置必看好房,131万,2室1厅 | 39.38平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8nV7jpyzP.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一 诚心出售 产权清晰必看好房,175万,2室1厅 | 56.55平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9pU8PTPqZ_1.jpg.296x216.jpg
20201223,宝山,月浦,乐业五村4楼毛坯，双南户型，满5年业主一套住房必看好房,187万,2室1厅 | 56.1平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZJsABB0hW.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 ，业主很诚心出售！！必看好房,170万,2室1厅 | 60.52平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8NBQY3eF1.jpg.296x216.jpg
20201223,宝山,月浦,一房一厅 品质小区 中等装修 拎包入住必看好房,115万,1室1厅 | 40.61平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_REVDzn0vG.jpg.296x216.jpg
20201223,宝山,月浦,双南方厅，低楼层带天井  厨卫全明必看好房,205万,2室1厅 | 58.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b9AEpXxna.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一 精装非顶楼 位置好 诚心出售 小区已改造必看好房,180万,2室1厅 | 56.83平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zU3e3db4z.jpg.296x216.jpg
20201223,宝山,月浦,河景房，楼层好，通风采光好，看房方便新上,245万,3室1厅 | 69.16平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YNz7nZ3HL.jpg.296x216.jpg
20201223,宝山,月浦,红房子2003年 大三房 近江杨北路站房主自荐,400万,3室1厅 | 107.41平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0cSRKgfrl.jpg.296x216.jpg
20201223,宝山,月浦,月浦三村，高楼层，视野好，繁华地段，总价低的电梯房新上,210万,3室1厅 | 79.3平米 | 南 北 | 毛坯 | 高楼层(共14层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ZZPKs68mz.jpg.296x216.jpg
20201223,宝山,月浦,乐业五村 2室1厅 南 北新上,190万,2室1厅 | 56.18平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mEBGafHVP_1.jpg.296x216.jpg
20201223,宝山,月浦,品质小区 两房两厅 南北通 中间楼层,226万,2室2厅 | 65.08平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sdg9DTIET_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 双南一厅 江杨北路地铁站房主自荐,180万,2室1厅 | 53.56平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZC3MaizWx.jpg.296x216.jpg
20201223,宝山,月浦,月浦新城 花园洋房  自住看房方便房主自荐,270万,3室2厅 | 76.35平米 | 南 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_czQDQIQSS.jpg.296x216.jpg
20201223,宝山,月浦,近地铁3号线 双南方厅 双天井 全明格局房主自荐,285万,2室1厅 | 73.32平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lpQS6Xw8f_1.jpg.296x216.jpg
20201223,宝山,月浦,精装两房 自住保养好！诚意出售看房方便!房主自荐,240万,2室1厅 | 73.83平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r1hKqgeIA_1.jpg.296x216.jpg
20201223,宝山,月浦,改善户型 3房1厅2卫 景观楼层 +地铁3号线房主自荐,390万,3室1厅 | 112.96平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0rdp44DEI_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，居家装修，拎包入住，经典三房，看房方便。房主自荐,380万,3室2厅 | 101.38平米 | 南 | 简装 | 高楼层(共24层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JtJ3GhpRx_1.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林低楼层好户型随时看房的房子房主自荐,235万,2室2厅 | 87.85平米 | 南 | 毛坯 | 低楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DmXPvuLNl.jpg.296x216.jpg
20201223,宝山,月浦,月浦正气三房，三开间朝南方厅，精装满五唯一,260万,3室1厅 | 88.48平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hOeSDMMlx.jpg.296x216.jpg
20201223,宝山,月浦,高层电梯房 采光好 栋距宽 视野开阔 正气大两房房主自荐,250万,2室2厅 | 86.98平米 | 南 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RKCEbKBwl.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 精致装修 中间楼层 采光无遮挡房主自荐,378万,3室2厅 | 125.2平米 | 南 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Oss2wvvJG.jpg.296x216.jpg
20201223,宝山,月浦,婚房装修方便看房 配套齐全采光好,370万,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IyxSJS4Ee.jpg.296x216.jpg
