20201223,宝山,张庙,满五唯一，电梯房，楼层好，通风采光好，近万达近地铁必看好房,639万,2室2厅 | 123.08平米 | 南 | 精装 | 高楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/897b7239-41cf-425a-ae60-5f3c367771e2_1000.jpg.296x216.jpg
20201223,宝山,张庙,全明户型 诚意出售 满五唯一 交通便利必看好房,336万,2室1厅 | 65.72平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_irZ7ki6Fg_1.jpg.296x216.jpg
20201223,宝山,张庙,近地铁 精装修南北两房 沙发厅 明厨明卫必看好房,295万,2室1厅 | 62.48平米 | 南 北 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6Cllzl55r.jpg.296x216.jpg
20201223,宝山,张庙,电梯商品房 南北直通大两房两厅必看好房,455万,2室2厅 | 100.48平米 | 南 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bbudRFut8_1.jpg.296x216.jpg
20201223,宝山,张庙,中间楼层精装修，看房方便出行便利，看房联系小吴。必看好房,260万,2室1厅 | 56.84平米 | 西南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xdUHdpnjo_1.jpg.296x216.jpg
20201223,宝山,张庙,呼玛三村 一梯两户  沙发厅 楼层好 小区中间位必看好房,310万,2室1厅 | 58.56平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7994bd9a-7df1-44c7-b3c9-0678cad7562e_1000.jpg.296x216.jpg
20201223,宝山,张庙,税费少满五唯一 精装修拎包入住 交通便利紧靠地铁必看好房,268万,2室1厅 | 58.24平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_woRw4u1DB.jpg.296x216.jpg
20201223,宝山,张庙,南北两房，全明户型，通风采光佳必看好房,220万,2室0厅 | 50.04平米 | 南 北 | 简装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_336AZ7m8E_1.jpg.296x216.jpg
20201223,宝山,张庙,南北三居室，小区位置好，光照充足，交通便利，急售！必看好房,468万,3室2厅 | 99.55平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NNgdHN7NA_1.jpg.296x216.jpg
20201223,宝山,张庙,中楼层电梯房，无遮挡，采光佳，视野开阔，业主诚售！必看好房,450万,2室2厅 | 91.34平米 | 南 | 精装 | 中楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ae6HsgB26_1.jpg.296x216.jpg
20201223,宝山,张庙,vip房源，双南俩房采光好，总价低，红星未用，诚心卖必看好房,198万,2室1厅 | 48.59平米 | 南 | 毛坯 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/308bdb6a-9af2-4fec-a1a6-05ae0829d395_1000.jpg.296x216.jpg
20201223,宝山,张庙,泗塘二村 2室0厅 南必看好房,210万,2室0厅 | 50.85平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fQpGqrdSL_1.jpg.296x216.jpg
20201223,宝山,张庙,近地铁  南北两房 采光好全明户型必看好房,262万,2室1厅 | 58.73平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A3SILKBrA.jpg.296x216.jpg
20201223,宝山,张庙,呼玛一村，南北两房，位置好，诚售必看好房,250万,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/db691825-1dc4-444b-ad0f-6cf42d424b95_1000.jpg.296x216.jpg
20201223,宝山,张庙,双南两房，全明户型，近地铁步行300米，诚意出售，必看好房,372万,2室1厅 | 68.65平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SQVKc6Pk2_1.jpg.296x216.jpg
20201223,宝山,张庙,店长推荐好房 中间楼层  户型正气 看房方便 诚意出售必看好房,200万,1室1厅 | 45.61平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WeThRbKGI_1.jpg.296x216.jpg
20201223,宝山,张庙,此房满五年，采光好，总价低，业主诚意出售必看好房,143万,1室0厅 | 33.11平米 | 南 | 简装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/27478511-034b-43cd-a1cf-6403c0528811_1000.jpg.296x216.jpg
20201223,宝山,张庙,南北户型，楼层好视野广 采光充足 配套齐全交通必看好房,316万,2室1厅 | 68平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0b2a143e-2dbd-4e1d-be7b-041637388845_1000.jpg.296x216.jpg
20201223,宝山,张庙,呼玛三村  中间楼层  产权清晰  诚意出售 方便看房必看好房,273万,2室1厅 | 54.06平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/adf54f40-73f9-4e59-9415-e8b423fdc730_1000.jpg.296x216.jpg
20201223,宝山,张庙,通河一村 中间楼层一房 满五年 学  没有用过必看好房,255万,1室1厅 | 42.03平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0f15b611-dee1-49f9-9b7d-a76cd1ff2288_1000.jpg.296x216.jpg
20201223,宝山,张庙,总价低，视野开阔，刚需好房，业主诚心出售，必看好房,204万,2室1厅 | 45.5平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_98PlQ9MBD.jpg.296x216.jpg
20201223,宝山,张庙,楼层佳视野好  满五唯一  交通便利  配套齐全必看好房,255万,2室1厅 | 52.86平米 | 南 北 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U73ZC4D9j.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一!小区改建电梯优先！总价单价低！拎包入住必看好房,170万,1室1厅 | 42.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TwM5wInfp_1.jpg.296x216.jpg
20201223,宝山,张庙,小户型 低总价 中间楼层 采光通风佳  配套成熟必看好房,155万,1室0厅 | 29.5平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af718158-98c3-442b-b22a-f832bd4275a7_1000.jpg.296x216.jpg
20201223,宝山,张庙,满五年唯一，双南全明户型，上下楼方便，看房方便。必看好房,250万,2室1厅 | 55.65平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-f090b9cb-1e0f-4ba5-8d0b-6ddc980942c4.png.296x216.jpg
20201223,宝山,张庙,全年龄段人群都适合的好房子，房东诚意出售！！！必看好房,180万,1室1厅 | 41.32平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8w2ReRlwL.jpg.296x216.jpg
