20201223,长宁,古北,古北国际社区精装2房，位置安静，价格美丽必看好房,698万,3室2厅 | 94.5平米 | 南 北 | 精装 | 中楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rq33rlNgE_1.jpg.296x216.jpg
20201223,长宁,古北,1梯1户+刷卡入户+空置诚售+无贷款必看好房,1200万,2室1厅 | 124.19平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0DlRq9hmK_1.jpg.296x216.jpg
20201223,长宁,古北,户型方正 高区视野好 景观好 满五唯一税费少必看好房,1440万,3室2厅 | 144.34平米 | 南 | 精装 | 18层 | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rF3mBVDp9_1.jpg.296x216.jpg
20201223,长宁,古北,御翠总价吸引客户一房，带15000租约，业主诚意出售必看好房,860万,1室2厅 | 71.05平米 | 南 | 精装 | 低楼层(共32层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7b6LrR9PT_1.jpg.296x216.jpg
20201223,长宁,古北,中高区精装住宅loft，双轨交通出行便利，生活配套齐全必看好房,690万,1室2厅 | 52.93平米 | 南 | 精装 | 中楼层(共23层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7hf9asItq_1.jpg.296x216.jpg
20201223,长宁,古北,带车位，满五年唯一，三加一房，户型整齐采光没影响。必看好房,1820万,3室2厅 | 168.89平米 | 南 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iWxD1P5Fx_1.jpg.296x216.jpg
20201223,长宁,古北,南北两房，大开间，采光通风俱佳，诚意出售必看好房,325万,2室1厅 | 53.16平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ibMrLc3lC_1.jpg.296x216.jpg
20201223,长宁,古北,售后公房，采光充足，配套齐全，看房方便，业主诚售必看好房,308万,2室1厅 | 52.86平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N7mJNEoiJ_1.jpg.296x216.jpg
20201223,长宁,古北,房东诚意出售，置换大房诚意出售，有钥匙必看好房,1290万,2室1厅 | 117.23平米 | 南 | 简装 | 中楼层(共19层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fb3e3355-bf48-47fb-94fc-3706a43e03f6.jpg.296x216.jpg
20201223,长宁,古北,古北优质三房+带保姆间+有产权车位必看好房,1930万,3室2厅 | 171.54平米 | 南 | 精装 | 高楼层(共27层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0a7fe259-ee0f-4053-857a-f5ca5e079fb6.png.296x216.jpg
20201223,长宁,古北,嘉年华庭空置3房，随时可看，随时可看房主自荐,1560万,3室2厅 | 150.83平米 | 南 | 精装 | 17层 | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-482c230c-beb6-4057-a35a-8fc5301830cd.png.296x216.jpg
20201223,长宁,古北,小区中间位置，南北通透，诚意出售，看房方便房主自荐,1050万,3室2厅 | 199.99平米 | 南 北 | 简装 | 低楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z57gZ1p1N_1.jpg.296x216.jpg
20201223,长宁,古北,古北国际花园，满五唯一，业主诚售房主自荐,1688万,3室2厅 | 146.26平米 | 南 | 精装 | 低楼层(共31层) | 2006年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5P5CQu7sV_1.jpg.296x216.jpg
20201223,长宁,古北,古北二期少有的南北通大三房，诚意急售，多多推荐房主自荐,1599万,3室2厅 | 173.3平米 | 南 | 精装 | 12层 | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H4bdY8lZ2_1.jpg.296x216.jpg
20201223,长宁,古北,精装修，满五不唯一，格局好、户型好的三房、视野好,950万,3室2厅 | 144.75平米 | 东 西 北 | 精装 | 中楼层(共18层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h4RKzUj5n_1.jpg.296x216.jpg
20201223,长宁,古北,飞机户型，高区新装修，带车位，买入价高，税费少,1445万,3室2厅 | 160.05平米 | 南 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6AowjQGgy_1.jpg.296x216.jpg
20201223,长宁,古北,金色贝拉维 2室2厅 南 北,1330万,2室2厅 | 117.23平米 | 南 北 | 精装 | 高楼层(共19层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_htFBEhRfU_1.jpg.296x216.jpg
20201223,长宁,古北,华丽家族古北花园 2室2厅 南新上,1800万,2室2厅 | 153.39平米 | 南 | 精装 | 中楼层(共21层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j1eLSKByB_1.jpg.296x216.jpg
20201223,长宁,古北,带车位，高区大三房，百万装修，诚意出售,1300万,3室2厅 | 187.43平米 | 南 北 | 精装 | 高楼层(共18层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tRJIukLAS_1.jpg.296x216.jpg
20201223,长宁,古北,古北一期难得大三房，朝向户型好带有16.9平米的大阳台,1230万,3室2厅 | 189.69平米 | 西南 | 精装 | 低楼层(共13层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wg8a3wjhk_1.jpg.296x216.jpg
20201223,长宁,古北,业主常年定居海外，诚意出售国内房产，三套房屋功能房主自荐,1479万,5室3厅 | 230.34平米 | 南 北 | 精装 | 中楼层(共22层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BziReEEai_1.jpg.296x216.jpg
20201223,长宁,古北,自带32平私家露台，满五唯一，拎包入住,850万,3室2厅 | 126.86平米 | 东 南 西 | 精装 | 低楼层(共20层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8tXcwkJcI_1.jpg.296x216.jpg
20201223,长宁,古北,古北华丽 全屋层高4.5米 税费各付 带产权车位房主自荐,1850万,3室2厅 | 210.27平米 | 南 | 精装 | 低楼层(共21层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QhnSGwqrj_1.jpg.296x216.jpg
20201223,长宁,古北,顶楼复式，带楼台，满五年，业主诚售，带阁楼，有露台,2490万,5室3厅 | 255.43平米 | 南 北 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zj5nyHW3K_1.jpg.296x216.jpg
20201223,长宁,古北,满五唯一0个税，总价含产权车位，大平层高区视野极美房主自荐,2650万,3室2厅 | 227.29平米 | 南 西南 | 精装 | 低楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fSde8hcNn_1.jpg.296x216.jpg
20201223,长宁,古北,业主精装保养好，高区落地玻璃，采光视野俱佳,1960万,3室2厅 | 223.65平米 | 南 | 精装 | 高楼层(共36层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fhoOtXR4H_1.jpg.296x216.jpg
20201223,长宁,古北,二手买进，满五唯一税费少，带一个平台，可种花房主自荐,1380万,3室2厅 | 184.25平米 | 西南 | 精装 | 低楼层(共22层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fg0e2JYNo_1.jpg.296x216.jpg
20201223,长宁,古北,一梯一户  南北通风  环境优美  满五唯一  配套成熟房主自荐,1550万,3室2厅 | 143.92平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YQVgP9ole_1.jpg.296x216.jpg
20201223,长宁,古北,古北二期高品质小区，南北通，独立保姆间，一梯一户房主自荐,2049万,3室2厅 | 190.26平米 | 南 | 精装 | 低楼层(共22层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZOHjujftr_1.jpg.296x216.jpg
20201223,长宁,古北,古北瑞仕花园超大平层，3年内才出来一套，自住优选,4350万,4室2厅 | 444.79平米 | 南 | 精装 | 低楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K7fkjWzXU_1.jpg.296x216.jpg
20201223,长宁,古北,17年50万精装自住出租都合适，稀有淋浴房明，得房率高,895万,2室2厅 | 119.19平米 | 南 | 精装 | 中楼层(共13层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y7K633ur0_1.jpg.296x216.jpg
20201223,长宁,古北,国际社区 两梯一户 大平层  业主诚意出售  随时可看房主自荐,2300万,4室3厅 | 287.03平米 | 南 | 精装 | 低楼层(共26层) | 2007年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7jufFliR9_1.jpg.296x216.jpg
20201223,长宁,古北,一楼带地下室 板式户型 房型放正 看房方便房主自荐,1150万,3室2厅 | 203平米 | 南 北 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UTWMlEnsf_1.jpg.296x216.jpg
20201223,长宁,古北,古北二期独栋别墅 北进门 南花园450平地段好空间大,6000万,5室2厅 | 379.14平米 | 南 | 精装 | 3层 | 2000年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_7RqEwpf9t_1.jpg.296x216.jpg
20201223,长宁,古北,税费各付，一楼垫高带花园，私密性好,700万,2室2厅 | 89.56平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X1Tg9ncNU_1.jpg.296x216.jpg
20201223,长宁,古北,古北一楼带28平花园》居住好环境+无个税+看房提前约房主自荐,906万,3室2厅 | 98.47平米 | 南 北 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4anT7PiYH_1.jpg.296x216.jpg
20201223,长宁,古北,小区唯一在售4房2南2北户型+厅南北通+税费比较少房主自荐,1430万,4室2厅 | 152.84平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E60rHv5mc_1.jpg.296x216.jpg
20201223,长宁,古北,满五唯一税费低，高区楼层视野景观好，业主诚意出售房主自荐,1350万,4室2厅 | 182.26平米 | 南 | 精装 | 中楼层(共23层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rlG5Foene_1.jpg.296x216.jpg
20201223,长宁,古北,古北高区景观 瞰臻园别墅 古北壹号全景 看房提前约,1799万,3室2厅 | 159.09平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mKVpYNBeW_1.jpg.296x216.jpg
20201223,长宁,古北,古北顶楼复式，266平，位置好，配套齐全，看房方便房主自荐,1220万,5室2厅 | 266.66平米 | 东南 | 简装 | 高楼层(共19层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_RScGsneC5_1.jpg.296x216.jpg
20201223,长宁,古北,高区采光好，视野佳，一梯一户，满五唯一，三房朝南,2050万,3室2厅 | 195.89平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UX0aeHMRr_1.jpg.296x216.jpg
20201223,长宁,古北,古北单价6万大平层，超大舒适客厅，满5唯一免个税房主自荐,1595万,3室2厅 | 267.91平米 | 南 | 精装 | 低楼层(共28层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MAi5nHVWY_1.jpg.296x216.jpg
20201223,长宁,古北,古北大3房单价低+户型方正格局好+精装修看房方便,940万,3室2厅 | 154.02平米 | 南 北 | 精装 | 中楼层(共8层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lLjcxGKHV_1.jpg.296x216.jpg
20201223,长宁,古北,满五唯一免个税，带产权车位，小区人车分流,830万,2室2厅 | 128.47平米 | 西北 | 简装 | 低楼层(共13层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f8819435-8f77-4562-b58e-86d7e9bef106.jpg.296x216.jpg
20201223,长宁,古北,精装修，全朝南户型，此户型出来少，钥匙房随时看房,900万,2室2厅 | 112.73平米 | 南 | 精装 | 中楼层(共10层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V3llkCYQk_1.jpg.296x216.jpg
20201223,长宁,古北,长宁古北单价低+高区视野采光好+户型可塑性强,888万,3室2厅 | 201.91平米 | 南 东 | 精装 | 低楼层(共21层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bGlJOvzr1_1.jpg.296x216.jpg
20201223,长宁,古北,精装全屋地暖+中@央空调，小三房税费少，随时看房,770万,3室2厅 | 102.03平米 | 南 | 精装 | 中楼层(共8层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8YSi2qwox_1.jpg.296x216.jpg
20201223,长宁,古北,全屋空调带全屋地暖，满二，税费少，有车位、南北户型,950万,3室2厅 | 144.33平米 | 南 | 精装 | 低楼层(共18层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7g8QzkHve_1.jpg.296x216.jpg
20201223,长宁,古北,古北二期步行街景观房 西边套 看房方便 业主诚售,1848万,3室2厅 | 168.46平米 | 南 | 精装 | 中楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l6BKfjFoq_1.jpg.296x216.jpg
