20201223,长宁,天山,地铁口、二手买进满五少税，楼层好，采光足户型通透必看好房,1295万,3室2厅 | 142.15平米 | 南 北 | 精装 | 中楼层(共24层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZSVtC10N7_1.jpg.296x216.jpg
20201223,长宁,天山,此栋三年不出一套 朝南带花园  层高3.25米 带产权车位必看好房,1750万,4室2厅 | 169.16平米 | 南 | 精装 | 低楼层(共31层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_iAKfKfleB_1.jpg.296x216.jpg
20201223,长宁,天山,店长推荐：近地铁南北通三房，业主信任链家必看好房,920万,3室2厅 | 111.51平米 | 南 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_atQj3ITJF_1.jpg.296x216.jpg
20201223,长宁,天山,三开间朝南一梯两户，视野宽阔交通便利，产权车位另算必看好房,1100万,3室2厅 | 124.37平米 | 南 | 简装 | 中楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OgKKcKuC8_1.jpg.296x216.jpg
20201223,长宁,天山,小区房龄新 地铁2号线 缤谷广场 南北通透 采光视野佳必看好房,890万,2室2厅 | 98.64平米 | 南 北 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AXuPL93hF_1.jpg.296x216.jpg
20201223,长宁,天山,小区景观位置，朝正南视野开阔，栋距200米必看好房,2280万,4室2厅 | 246.69平米 | 南 | 精装 | 低楼层(共31层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kUZwqLVgj_1.jpg.296x216.jpg
20201223,长宁,天山,业主自住 花重金精心打造 诚寻有缘人必看好房,930万,2室2厅 | 85.96平米 | 南 | 精装 | 低楼层(共26层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4dOWFZRRb_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，动迁出售，小区里面位置，配套成熟必看好房,570万,1室1厅 | 61.19平米 | 南 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WzzTctF2A_1.jpg.296x216.jpg
20201223,长宁,天山,房子办公产权，双南两房。民水民电通燃气，各付各税。必看好房,399万,2室1厅 | 101.52平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_khziRSQjo_1.jpg.296x216.jpg
20201223,长宁,天山,天山新苑 3室1厅 南必看好房,720万,3室1厅 | 105.19平米 | 南 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TlzQV62bt_1.jpg.296x216.jpg
20201223,长宁,天山,仁恒二期精致三房，满五唯一，景观房，外籍业主诚售必看好房,1300万,3室2厅 | 123.42平米 | 北 | 精装 | 中楼层(共27层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DBi6nVq4p_1.jpg.296x216.jpg
