20201223,长宁,仙霞,地铁高区大一房，采光好，优质户型,一梯两户必看好房,340万,1室1厅 | 55.67平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3XuV9KazR_1.jpg.296x216.jpg
20201223,长宁,仙霞,一楼带80平花园，自住装修，拎包入住，只给链家卖必看好房,1799万,3室2厅 | 132.14平米 | 南 | 精装 | 低楼层(共10层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dns5RgDhq_1.jpg.296x216.jpg
20201223,长宁,仙霞,水仙苑 2室1厅 西南必看好房,392万,2室1厅 | 68.77平米 | 西南 | 精装 | 低楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nQz8cveFq_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，随时看房，楼层高，视野采光好，诚意卖必看好房,575万,2室1厅 | 93.7平米 | 东南 | 精装 | 高楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_stu2Z61Tj_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明户型+采光好+近地铁+配套成熟交通便利必看好房,195万,1室1厅 | 38.72平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UJKXJ1rNp_1.jpg.296x216.jpg
20201223,长宁,仙霞,此房满五，边套户型，中间楼层，南北通透户型必看好房,298万,2室1厅 | 51.68平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fPj6iYYL9_1.jpg.296x216.jpg
20201223,长宁,仙霞,中间楼层 总价低 配套全 双轨交必看好房,205万,1室0厅 | 29.22平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hxtJPKEOY_1.jpg.296x216.jpg
20201223,长宁,仙霞,低总价+三轨交通+税少+看房随时+诚意出售必看好房,179万,1室1厅 | 32.74平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EACoNRhLP_1.jpg.296x216.jpg
20201223,长宁,仙霞,厨卫有窗朝过道，经典朝南一房，中间楼层必看好房,212万,1室1厅 | 36.61平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pzl2GKLsc_1.jpg.296x216.jpg
20201223,长宁,仙霞,业主自住，精装修，户型方正，采光充足必看好房,458万,2室1厅 | 70平米 | 西南 | 精装 | 低楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_KAv82RnxM_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明户型，房型方正，近地铁精装修，单价低，税费各付必看好房,375万,2室1厅 | 74.8平米 | 东南 | 精装 | 低楼层(共24层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zkRV3A374_1.jpg.296x216.jpg
20201223,长宁,仙霞,一房两厅售后公房/精品小区/诚意出售/小区在加装电梯新上,220万,1室2厅 | 35.76平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BYP9UiDd9_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一  高区视野开阔  看房方便  业主诚意,480万,2室1厅 | 71.2平米 | 东南 | 简装 | 高楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ebzpqSEqN_1.jpg.296x216.jpg
20201223,长宁,仙霞,采光好，全明户型，位置安静，自住舒适度高，诚意出售,480万,2室1厅 | 71.2平米 | 西南 | 精装 | 中楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-bced73f3-be04-466e-a665-dfff517d2160.png.296x216.jpg
20201223,长宁,仙霞,仙逸小区 1室1厅 南新上,255万,1室1厅 | 39.78平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yObOnPiu2_1.jpg.296x216.jpg
20201223,长宁,仙霞,距离地铁近，小区环境好，售后公房税费少，视野开阔新上,380万,2室1厅 | 59.31平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mxvH1y6Nr_1.jpg.296x216.jpg
