20201223,奉贤,南桥,育秀一区，中间好楼层，边套清爽装修，交通便利必看好房,195万,3室1厅 | 89.52平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sZXUmL5hJ_1.jpg.296x216.jpg
20201223,奉贤,南桥,育秀八区+中间位置+中间楼层+正三房客厅带窗+看房方便必看好房,212万,3室1厅 | 87.13平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EiN0asGiV_1.jpg.296x216.jpg
20201223,奉贤,南桥,中间位置 两房朝南 五年精装修 有车位必看好房,210万,2室2厅 | 87.8平米 | 南 | 精装 | 低楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JYsDqfrXU_1.jpg.296x216.jpg
20201223,奉贤,南桥,南桥老街大三房  两个固定车位可转租 楼层位置俱佳必看好房,465万,3室2厅 | 136.63平米 | 南 | 精装 | 高楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4ee2657b-3db5-4d5e-8475-abb860652fb1_1000.jpg.296x216.jpg
20201223,奉贤,南桥,地铁5/育秀九区 中间楼层 满五唯一 业主诚心出售必看好房,179万,2室1厅 | 81.77平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ODf9fWCCP_1.jpg.296x216.jpg
20201223,奉贤,南桥,地铁5号线，配套成熟，看房方便。必看好房,110万,2室1厅 | 56.01平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ybbTApUx8.jpg.296x216.jpg
20201223,奉贤,南桥,地铁5号线，业主诚心出售，看房方便。必看好房,110万,2室1厅 | 53.33平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X0elXR2c4_1.jpg.296x216.jpg
20201223,奉贤,南桥,店长推荐  户型方正 产权清晰  看房方便必看好房,257万,2室2厅 | 89.69平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JtsrB6xf1_1.jpg.296x216.jpg
20201223,奉贤,南桥,奉贤新城 近临港自贸区  诚心出售  看房方便必看好房,200万,3室2厅 | 102.96平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f4c4cd6-b3a0-4b1a-aa5b-ec8f153d4c70_1000.jpg.296x216.jpg
20201223,奉贤,南桥,一楼带门面，实用面积大，业主诚心出售，随时可看。必看好房,150万,3室1厅 | 88.55平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bac3a40b-8897-457d-a061-b9b52a3c1e70_1000.jpg.296x216.jpg
20201223,奉贤,南桥,地铁口两房，总价低，商圈配套齐全。必看好房,225万,2室1厅 | 88.06平米 | 南 北 | 简装 | 低楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/36ef254b-8899-4304-b5c5-5f96debeacbd_1000.jpg.296x216.jpg
20201223,奉贤,南桥,顶楼复式精装修 客厅层高3米多 位置安静 带两个车位。必看好房,309万,4室3厅 | 132.7平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BpLDtyhtU_1.jpg.296x216.jpg
20201223,奉贤,南桥,新小区 百米商场地铁 刚需精装两居室必看好房,385万,2室2厅 | 90.47平米 | 南 北 | 精装 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vLtTKfYoF_1.jpg.296x216.jpg
20201223,奉贤,南桥,贝港小区：简单装修，东边套，好房等你来看。必看好房,170万,3室1厅 | 84.47平米 | 南 | 简装 | 中楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uH8RJtaH8_1.jpg.296x216.jpg
20201223,奉贤,南桥,江海二村(奉贤) 2室2厅 南必看好房,155万,2室2厅 | 101.38平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X6Mh7wwhV_1.jpg.296x216.jpg
20201223,奉贤,南桥,此房格局好，视野宽阔，采光良好，近地铁必看好房,135万,3室1厅 | 84.57平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yB0yDng2Z_1.jpg.296x216.jpg
20201223,奉贤,南桥,正阳新出飞机户型，南北通满五年，大熊猫户型奉贤CBD必看好房,316万,3室2厅 | 101.36平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3Dq7QSB0w_1.jpg.296x216.jpg
20201223,奉贤,南桥,近5号线育秀11区  边套双阳台二卫 有露台 随时看房必看好房,218万,3室2厅 | 93.48平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_245YQXHuC_1.jpg.296x216.jpg
