20201223,虹口,凉城,秀苑-桂园公寓 南北直通 极少出的电梯房 业主特诚意必看好房,660万,2室2厅 | 111.08平米 | 南 | 精装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5zD6rKssy_1.jpg.296x216.jpg
20201223,虹口,凉城,省出二十多万去装修 售后公房 全明带院子 正气两房必看好房,440万,2室1厅 | 74.01平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lIyqYaeRt_1.jpg.296x216.jpg
20201223,虹口,凉城,满五税费少，南北通户型，楼层好必看好房,550万,2室2厅 | 88.6平米 | 西南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4EHm5n9dO_1.jpg.296x216.jpg
20201223,虹口,凉城,三房带花园、不临街位置安静，vip房源，钥匙房随时看必看好房,560万,3室2厅 | 88.28平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pB2rmVKa6_1.jpg.296x216.jpg
20201223,虹口,凉城,《满五唯一》《看房方便》《拎包入住》《美丽家园》必看好房,360万,2室1厅 | 57.24平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aZJXprNty_1.jpg.296x216.jpg
20201223,虹口,凉城,《满五唯一》《一梯两户》《美丽家园》《店长推荐》必看好房,240万,1室1厅 | 41.37平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a7ksykvTU_1.jpg.296x216.jpg
20201223,虹口,凉城,售后公房满5年不唯一，东边套全明，房东置换诚意必看好房,325万,1室1厅 | 51.54平米 | 南 | 精装 | 高楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_v7UqMg6Ci_1.jpg.296x216.jpg
20201223,虹口,凉城,售后公房，东边套全明，楼层好，价格实惠，看中可谈必看好房,430万,3室1厅 | 72.02平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ccDzIRmLd_1.jpg.296x216.jpg
20201223,虹口,凉城,3号线地铁 带阁楼 南北两房一厅  实惠好房 诚意出售必看好房,250万,2室1厅 | 49.76平米 | 南 北 | 简装 | 高楼层(共5层) | 1964年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iojj7tN9Y_1.jpg.296x216.jpg
20201223,虹口,凉城,灵新小区+新出正规两房+婚房装修+拎包入住+看房方便必看好房,303万,2室1厅 | 53.65平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v2wZwO98u_1.jpg.296x216.jpg
20201223,虹口,凉城,闹中取静生活便利，商品房品质小区，南北通带大客厅！必看好房,403万,2室1厅 | 75.27平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0LFAfIxCx_1.jpg.296x216.jpg
20201223,虹口,凉城,高区景观房+04年次新小区+全明户型+一梯两户必看好房,745万,3室2厅 | 119.98平米 | 南 | 精装 | 高楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OaGVYPU7H_1.jpg.296x216.jpg
20201223,虹口,凉城,近地铁交通便利，单价低，总价低，配套成熟必看好房,155万,1室0厅 | 35.42平米 | 北 | 毛坯 | 低楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4d8EZztIt_1.jpg.296x216.jpg
20201223,虹口,凉城,光照充足，居家舒适，采光好，进公园+近菜场必看好房,288万,2室1厅 | 50.67平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lWfReTwjO_1.jpg.296x216.jpg
20201223,虹口,凉城,朝南一室，全明户型，采光无遮挡必看好房,183万,1室1厅 | 36.08平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1YdTzwtB7_1.jpg.296x216.jpg
20201223,虹口,凉城,精装一室一厅西边套，中间楼层，业主置换诚意出售必看好房,203万,1室1厅 | 36.22平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XIFjJRhPB_1.jpg.296x216.jpg
20201223,虹口,凉城,3/8号线虹口足球场边上+双轨交通+视野开阔+看房方便！必看好房,176万,1室0厅 | 33.44平米 | 南 | 简装 | 高楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-23f91211-62f6-446c-a12a-1ef323303775.jpg.296x216.jpg
20201223,虹口,凉城,小区中间，采光好，视野好，边套全明，精装必看好房,360万,2室1厅 | 54.77平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EsrOba4Gw_1.jpg.296x216.jpg
