20201223,虹口,临平路,铂金地段，地铁线交汇，品质南北通3房，有地下车位必看好房,1420万,3室2厅 | 136.03平米 | 南 | 精装 | 低楼层(共30层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fkg56D1kH_1.jpg.296x216.jpg
20201223,虹口,临平路,视野开阔，面朝小区花园，交通便利必看好房,995万,2室2厅 | 122.71平米 | 东南 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pLBTZLOxi_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹新城  户型正全明带大阳台 自带双语幼儿园+会所必看好房,828万,2室2厅 | 88.05平米 | 南 | 精装 | 低楼层(共39层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5FFwaa7zn_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹10期旁 - 满5年唯一双南户型 - 4号8号10号地铁必看好房,713万,2室2厅 | 110.44平米 | 南 | 简装 | 中楼层(共23层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jMGYRPCPp_1.jpg.296x216.jpg
20201223,虹口,临平路,建二公寓 1室1厅 南必看好房,318万,1室1厅 | 42.46平米 | 南 | 精装 | 中楼层(共18层) | 1986年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_EHil46oIR_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹二期新上房源，满五唯一，诚意出售必看好房,990万,2室2厅 | 93.5平米 | 南 | 简装 | 低楼层(共37层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fab9icDAM_1.jpg.296x216.jpg
20201223,虹口,临平路,浦江名邸 3室2厅 南必看好房,1249万,3室2厅 | 158.85平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9GKDkji95_1.jpg.296x216.jpg
20201223,虹口,临平路,得房率82.4%的您见过几套？+看私家花园+居家touzi双选必看好房,730万,2室2厅 | 95.13平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qfk4PDT2G_1.jpg.296x216.jpg
20201223,虹口,临平路,你没看错！低于市场价，虹口内环内的高区四房，急售必看好房,890万,4室2厅 | 215.04平米 | 东 南 西 北 | 毛坯 | 高楼层(共23层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q7CykMijg_1.jpg.296x216.jpg
20201223,虹口,临平路,虹口合心地段 近北外滩 复式 税费少 产权车位50万必看好房,1370万,5室2厅 | 161.24平米 | 南 | 精装 | 中楼层(共35层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ra4M7kWu2_1.jpg.296x216.jpg
20201223,虹口,临平路,采光无遮挡 全明户型 房东诚心出售 闹中取静 近地铁必看好房,800万,2室2厅 | 90.43平米 | 南 | 简装 | 低楼层(共20层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/700390ba-0c45-4fa7-97f5-64715e625d00_1000.jpg.296x216.jpg
20201223,虹口,临平路,两房两卫，精装修，地铁口边，可以看到公园必看好房,849万,2室2厅 | 115.76平米 | 南 | 精装 | 低楼层(共27层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mWGge6COj_1.jpg.296x216.jpg
20201223,虹口,临平路,高区视野开阔，有产权车位，全明两房，柚木精装修。必看好房,839万,2室2厅 | 120.8平米 | 南 北 | 精装 | 高楼层(共25层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ZRw7EiMWG_1.jpg.296x216.jpg
20201223,虹口,临平路,二手买进税费少，精装修拎包入住，电梯两房楼层好必看好房,505万,2室1厅 | 70.42平米 | 西 | 精装 | 高楼层(共18层) | 1986年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MJDeblcLK_1.jpg.296x216.jpg
20201223,虹口,临平路,虹口外滩代表，高区南北通视野无遮挡必看好房,1198万,3室2厅 | 136.24平米 | 南 | 简装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rcXGfIW49_1.jpg.296x216.jpg
20201223,虹口,临平路,品质小区+南北通三房 带十几平露台 刷卡入户 有车位必看好房,1300万,3室2厅 | 140.26平米 | 南 | 简装 | 低楼层(共31层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-69744907-7298-4d20-a8ed-b3d4dad575a5.jpg.296x216.jpg
20201223,虹口,临平路,新好房，满五年唯一，自住装修，看房方便，欢迎咨询必看好房,427万,2室1厅 | 60.24平米 | 西南 | 精装 | 低楼层(共25层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_mcunWszud_1.jpg.296x216.jpg
20201223,虹口,临平路,高区采光好-出门就是地铁口-无抵押无贷款必看好房,1050万,3室1厅 | 129.05平米 | 南 | 精装 | 高楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_cwoaTUmGm_1.jpg.296x216.jpg
20201223,虹口,临平路,次新小区、三开间朝南、精装交付必看好房,1279万,2室2厅 | 103.59平米 | 南 | 精装 | 低楼层(共27层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TqtRNB8Iq_1.jpg.296x216.jpg
20201223,虹口,临平路,抢鲜！惊喜！南北通户型楼层好，后排中间，拎包入住必看好房,1750万,3室2厅 | 149.31平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170426/731dbc02-c7aa-466f-a51e-13959db0f2a1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹一期自带双语幼儿园 ，采光不挡，满五年！房主自荐,1200万,4室2厅 | 130.94平米 | 南 | 精装 | 低楼层(共32层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_LFcIQf6le_1.jpg.296x216.jpg
20201223,虹口,临平路,上班族的福利，地铁中区景观房，全明户型新上,1480万,3室2厅 | 135.23平米 | 南 | 精装 | 中楼层(共20层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OuriNNZyF_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹新城板块难得的小户型，2016年新装修，拎包入住,446万,2室1厅 | 59.69平米 | 西南 | 精装 | 低楼层(共30层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_mSORjTC3e_1.jpg.296x216.jpg
20201223,虹口,临平路,精装高区三房，从未住过人，税费各付。,2400万,3室2厅 | 170.74平米 | 南 | 精装 | 高楼层(共18层) | 2020年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dTAzj88s1_1.jpg.296x216.jpg
20201223,虹口,临平路,虹口典范 4室3厅 南 北,1580万,4室3厅 | 216.57平米 | 南 北 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_06xsGjQv8_1.jpg.296x216.jpg
20201223,虹口,临平路,次新房，高duan社区， 刷卡入户，双阳台，唯一,1167万,2室2厅 | 95.27平米 | 西南 | 精装 | 高楼层(共27层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_22NS2ro6r_1.jpg.296x216.jpg
20201223,虹口,临平路,此房满五唯一，南北通格局，交通便利,1400万,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1ksJrBIYy_1.jpg.296x216.jpg
20201223,虹口,临平路,二手买入价高，税费少；2011年品质小区，刷卡到户,980万,2室2厅 | 89.05平米 | 东 北 | 简装 | 中楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AxifK1cYV_1.jpg.296x216.jpg
20201223,虹口,临平路,单价7.7万 带40平大花园 客厅挑高7米层高 每天都能看房主自荐,1950万,4室2厅 | 251.15平米 | 南 | 简装 | 低楼层(共39层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2KtjXVfCi_1.jpg.296x216.jpg
20201223,虹口,临平路,小区位置好，房型正气，日照充足，居住舒适房主自荐,773万,3室2厅 | 117.3平米 | 西南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_WXRYCzca4_1.jpg.296x216.jpg
20201223,虹口,临平路,复式vip+高区景观房+尊享瑞虹商圈+满五唯一！！,1630万,4室2厅 | 188.98平米 | 南 | 精装 | 中楼层(共35层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6yqtzM28G_1.jpg.296x216.jpg
20201223,虹口,临平路,享瑞虹商圈 高区全南两房 双轨交汇,620万,2室1厅 | 74.42平米 | 南 | 其他 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Aey8G3c9c_1.jpg.296x216.jpg
20201223,虹口,临平路,业主200万精装+大平层+带大露台+两梯一户+车位,1750万,4室2厅 | 190.01平米 | 南 | 精装 | 高楼层(共30层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ed2c8332-17c8-4cc7-8099-df0e712e3ed3.jpg.296x216.jpg
20201223,虹口,临平路,小区唯一在售一室户，此户型少，年轻人的品质选择,715万,1室2厅 | 94.89平米 | 南 | 简装 | 低楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7SrfiE87o.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹商圈+虹口第壹壕宅+瑞虹中位置+诚意卖,2229万,3室2厅 | 171平米 | 南 北 | 精装 | 高楼层(共30层) | 2017年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-8ad57eb0-b526-4b96-8b30-999f1aee65a5.png.296x216.jpg
20201223,虹口,临平路,宏伦大厦 1室2厅 南,578万,1室2厅 | 67.75平米 | 南 | 精装 | 高楼层(共14层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_9SioKvUhG_1.jpg.296x216.jpg
20201223,虹口,临平路,高楼层，180度看黄浦江全景和老外滩，江景永不遮挡。房主自荐,2297万,4室2厅 | 288.18平米 | 南 | 简装 | 高楼层(共29层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b8d47492-c075-4157-b559-4d1b9872c2c2_1000.jpg.296x216.jpg
20201223,虹口,临平路,此房满五唯一，全明两房户型带25平大露台！,790万,2室2厅 | 111.96平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W2ARBcpm6_1.jpg.296x216.jpg
20201223,虹口,临平路,98年花园洋房，户型方正，满五唯一，近地铁，双轨交汇房主自荐,1280万,4室2厅 | 170.7平米 | 南 | 简装 | 低楼层(共9层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jm6uMTy1A_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹新城璟庭 4室2厅 南,2120万,4室2厅 | 174平米 | 南 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IcY3pfuWZ_1.jpg.296x216.jpg
20201223,虹口,临平路,诚意出售，4号线地铁小三房。。房主自荐,940万,3室2厅 | 135.61平米 | 西南 | 精装 | 高楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-e6a3f086-ee55-4185-bf6c-862f31fc7e25.png.296x216.jpg
20201223,虹口,临平路,近地铁、二手买进，边套全明户型、房型方正、,368万,1室1厅 | 44.58平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DkZeyy7Gy_1.jpg.296x216.jpg
20201223,虹口,临平路,瑞虹新城璟庭 新出大四房 一梯一户精装 业主诚意出售房主自荐,2220万,4室2厅 | 193.33平米 | 南 北 | 精装 | 低楼层(共31层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a9d59eb0-e9bf-49f1-920f-10cda717f0ea_1000.jpg.296x216.jpg
20201223,虹口,临平路,高品质小区刷卡到户采光好无遮挡,1365万,3室2厅 | 158.47平米 | 南 | 精装 | 中楼层(共31层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1R7cDFWiz_1.jpg.296x216.jpg
