20201223,虹口,鲁迅公园,虹口花苑+边套全明一室+配套成熟+一梯两户+商品房必看好房,249万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq0hNQU3z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五年+精装修一梯三户+鲁迅公园龙之梦+3/8号线地铁必看好房,197万,1室1厅 | 33.55平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UJaTycsv1_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,高区景观+精装修+出门虹口公园+双轨交汇+全明户型必看好房,778万,3室2厅 | 138平米 | 西南 | 精装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_xBd3dodtJ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,边套全明，中间楼层，房龄新小区中间位置，诚意出售必看好房,210万,1室1厅 | 38.93平米 | 南 | 简装 | 中楼层(共4层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QUWEy6n9p_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,店长推荐，双阳光房，10号线4号线，双轨交汇必看好房,480万,2室2厅 | 64.7平米 | 南 | 精装 | 低楼层(共21层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_RzZXC5vy4_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,何家宅南北两房 中间楼层 位置佳 简单装修 可拎包入住必看好房,311万,2室0厅 | 45.77平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_68YM1wVaP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,本房西边套全明户型，非顶层，交通便利！闹中取静！必看好房,338万,2室1厅 | 49.14平米 | 南 | 简装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t8BChBxP7_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场 低总价小户型  双轨交通 龙之梦必看好房,140万,1室1厅 | 25.31平米 | 西北 | 简装 | 高楼层(共4层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3mRe6r3Zt_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,3号8号虹口足球场站 一室户 龙之梦商场 生活设施齐全新上,245万,1室0厅 | 37.45平米 | 东 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JuHq8WlA2_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,美丽家园，楼层好，满五唯一，靠地铁，诚意出售新上,355万,2室1厅 | 49.78平米 | 南 | 毛坯 | 中楼层(共6层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ckRXl6CZn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,有产权车位，板式三房两厅，全明户型，诚意出售,1100万,4室1厅 | 146.21平米 | 南 | 简装 | 低楼层(共28层) | 2001年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_u43NPDWnM_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,全明户型+3/8地铁站+满五唯一+鲁迅公园新上,600万,2室2厅 | 89.59平米 | 西南 | 简装 | 低楼层(共26层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FH5wi5fhC_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内，双轨地铁。鲁迅公园旁，全明户型！电梯房,870万,3室2厅 | 148.84平米 | 南 | 简装 | 中楼层(共18层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SBchbkt18_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧阳名邸 3室2厅 南房主自荐,1180万,3室2厅 | 128平米 | 南 | 简装 | 低楼层(共29层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dh4P3PntQ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,板式楼房，小区中间，闹中取静，近地铁。,1680万,4室2厅 | 258.9平米 | 南 | 简装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2c31f5f3-d7eb-4cb4-afe0-777ad8d3b5ca.png.296x216.jpg
20201223,虹口,鲁迅公园,山阴路44弄 5室4厅 南,1580万,5室4厅 | 118.83平米 | 南 | 精装 | 低楼层(共3层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bz33vG3jJ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,急售！地铁朝南一房一厅，新装修，中楼层，全明户型。,315万,1室1厅 | 46.42平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ef00812f-f9cc-4031-bfb0-6477a81537c6_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,龙之梦边上+西边套全明+视野开阔+诚意出售！！房主自荐,192万,1室0厅 | 32.26平米 | 南 西 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VLbJ4yb4w_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,经典复式尽显大家之气，58年精品房源阐述富贵之声房主自荐,708万,3室3厅 | 145.03平米 | 南 | 精装 | 高楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VBVMqJ7iR_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,07次新小区，车位充足，未住过人，房型正气，交通便利房主自荐,1350万,3室2厅 | 143.92平米 | 南 | 精装 | 低楼层(共33层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LCCsDNXZn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,复式户型，采光视野好，单价低，户型好，诚售。,1200万,4室2厅 | 204.17平米 | 南 北 | 毛坯 | 高楼层(共26层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_iNyQIlD1m_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,钥匙房源、朝南一门关、楼层好、近轻轨、出行方便！,191万,1室0厅 | 31.9平米 | 南 | 毛坯 | 中楼层(共4层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ac2477d8-d77d-4839-8dfd-0e3a0a500278.png.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，房龄新，8+10地铁双轨，视野宽阔，采光好房主自荐,366万,2室1厅 | 61.1平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z63Fmczzk_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近虹口足球场，双轨交通，鲁迅公园，边套全明一房一厅,290万,1室1厅 | 43.12平米 | 南 | 毛坯 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O7GwKR6KI_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,低楼层一居室，朝南精装别致小一房，居住舒适出行方便房主自荐,238万,1室0厅 | 37.93平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3JkpwxHbJ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,全明户型，70年商品房！北郊,8号地铁口，得房率70%！房主自荐,488万,2室1厅 | 73.82平米 | 东 西 北 | 精装 | 中楼层(共19层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UYbpWX4fl_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,全南户型，户型方正，视野开阔无遮挡，业主诚意出售,760万,3室1厅 | 114.18平米 | 南 | 精装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FN8zShVWR_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,户型方正南北，近地铁带车位，落地窗，视野采光好,1000万,2室2厅 | 133.27平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,http://image1.ljcdn.com/110000-inspection/3f032784-21b0-48de-a24a-47887be2bd5a_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园 94年 中楼层 朝南一室一厅 满五唯一税费少房主自荐,265万,1室1厅 | 39.19平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tOvPaYy64_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,高区景观房！采光视野无遮挡！品质小区！连体大阳台,940万,2室1厅 | 109平米 | 南 北 | 精装 | 高楼层(共29层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8YRDwHolw_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环电梯小高层,税费各付！！可省40多万，大三房,690万,3室2厅 | 125.8平米 | 南 | 毛坯 | 低楼层(共11层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_G7ZgC0kjs_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园，龙之梦边上，地铁两房，诚意出售房主自荐,370万,2室1厅 | 54.76平米 | 南 | 简装 | 中楼层(共7层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3oi47Jl0h_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,海伦路双轨交汇+品质小区+边套全明+生活配套齐全房主自荐,670万,3室1厅 | 88平米 | 南 | 简装 | 低楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_q00A9ShQz_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，无个税，采光优秀，诚意出售房主自荐,588万,2室2厅 | 90.55平米 | 南 | 简装 | 中楼层(共11层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_azYfB9izn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装修 双南户型  楼层佳 采光好,395万,2室1厅 | 50.6平米 | 南 | 精装 | 低楼层(共7层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bzWcGvnpE_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,恒业公寓电梯小高层两房，板式户型南北通，税费低,677万,2室1厅 | 96.42平米 | 南 | 精装 | 中楼层(共11层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DziqEU6C3_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,婚房精装修+8号线地铁+采光视野无遮挡,593万,2室1厅 | 68平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M5Ek3QrVo_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精致两房一厅 全南 精装修 位置安静 南北通 总价低,310万,2室1厅 | 44.61平米 | 南 | 简装 | 高楼层(共5层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HhuNOO3kh_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，精装修，拎包入住，电梯房,650万,2室2厅 | 108.82平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NZURj0bkh_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,全明户型 精装修  8/10双轨地铁 拎包入住 税少,595万,2室1厅 | 89.09平米 | 西 | 精装 | 24层 | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_S5GcmPmk4_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园，婚房精装1室户，中间楼层，生活便利新上,190万,1室0厅 | 30.88平米 | 东 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l94cFi1hW_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,售后公房没有增值税，全南三房，高区视野开阔诚意出售房主自荐,950万,3室2厅 | 109.89平米 | 南 | 简装 | 24层 | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_g3Mo6AqA1_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,何家宅新出一室户中间楼层，价格诱人可谈等您品鉴,255万,1室0厅 | 35.58平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l8Qoys0VP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内，复式大三房+带露台+近3号线西藏北路地铁站房主自荐,1240万,3室2厅 | 165.9平米 | 南 | 精装 | 高楼层(共11层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pW1Vaq5PA_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,外销房，阳光好，三间朝南卧室，地铁4，10号线！,1500万,4室3厅 | 213.28平米 | 南 | 简装 | 高楼层(共21层) | 1990年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_jH8QxW9gn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,品质小区 双轨交汇 满五唯一  板式户型 精装修房主自荐,900万,2室2厅 | 110.99平米 | 南 | 精装 | 低楼层(共15层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/00e0d4f9-497b-4b69-ac60-04fa4ff2a7a2_1000.jpg.296x216.jpg
