20201223,虹口,曲阳,巴林小区+中间楼层+精装修全明两房+小区中间位置必看好房,430万,2室1厅 | 57平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b2398DzkA_1.jpg.296x216.jpg
20201223,虹口,曲阳,内环双南全明精装修，双地铁（8号和10号），中间楼层必看好房,328万,2室1厅 | 43.94平米 | 南 | 精装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uKQmrY25m_1.jpg.296x216.jpg
20201223,虹口,曲阳,双朝南，带阳台，精装修，拎包入住必看好房,385万,2室1厅 | 63.61平米 | 南 | 精装 | 高楼层(共6层) | 1973年建 | 板楼,http://image1.ljcdn.com/110000-inspection/500a90cb-5816-4032-a078-8c1da9721177_1000.jpg.296x216.jpg
20201223,虹口,曲阳,大连西路100号 3室0厅 南必看好房,535万,3室0厅 | 67.27平米 | 南 | 简装 | 高楼层(共12层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/95cb8401-3f6d-405b-a13e-36536c47f509_1000.jpg.296x216.jpg
20201223,虹口,曲阳,满五唯一，精装修一室户，美丽家园小区，品质小区必看好房,200万,1室1厅 | 36.52平米 | 南 | 简装 | 高楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LAreL77tv_1.jpg.296x216.jpg
20201223,虹口,曲阳,地铁口，双南精装2房，不靠马路，全天采光，诚意出售必看好房,335万,2室1厅 | 43.94平米 | 南 | 精装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Y3qCEGWL_1.jpg.296x216.jpg
20201223,虹口,曲阳,曲阳百联旁，双南两室 闹中取静 美丽家园 近3/8地铁必看好房,320万,2室0厅 | 47.57平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_izYWHvXfP_1.jpg.296x216.jpg
20201223,虹口,曲阳,售后公房  位置安静  诚意出售 店长推荐  全明户型必看好房,570万,2室1厅 | 68.08平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DcPK8ih0n_1.jpg.296x216.jpg
20201223,虹口,曲阳,底价呈现，满五唯一，近地铁，鲁迅公园旁，婚房装修必看好房,213万,1室1厅 | 35.88平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/000cbd4f-b31a-44c8-a8b3-efce9eba9340_1000.jpg.296x216.jpg
20201223,虹口,曲阳,全明户型，精装修，南面家乐福商圈，北面百联商城。必看好房,358万,2室1厅 | 51.84平米 | 东 | 精装 | 低楼层(共3层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QE6bcaOxh_1.jpg.296x216.jpg
