20201223,虹口,四川北路,3/8号线地铁，品质小区一梯两户，全新装修满五唯一必看好房,1258万,3室2厅 | 155.41平米 | 南 | 精装 | 中楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DRqI6g3G4_1.jpg.296x216.jpg
20201223,虹口,四川北路,精装修＋闹中取静＋业主诚意出售必看好房,860万,2室2厅 | 116.73平米 | 南 | 精装 | 中楼层(共30层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_pOSDI66Ak_1.jpg.296x216.jpg
20201223,虹口,四川北路,近海伦路站双地铁 户型好 朝南带露台5平方 阳光充足必看好房,915万,3室2厅 | 151.69平米 | 南 | 简装 | 低楼层(共30层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Jkx12Eknp_1.jpg.296x216.jpg
20201223,虹口,四川北路,满五唯一，一梯两户，边套全明，近东宝兴路3号线。必看好房,718万,3室2厅 | 125.25平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YKOZG7GoV_1.jpg.296x216.jpg
20201223,虹口,四川北路,沙逊公和洋行出品，带大阳台31平，原始业主售后公房必看好房,1180万,3室1厅 | 151.85平米 | 东北 | 简装 | 低楼层(共11层) | 1936年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2IhSUwLlR_1.jpg.296x216.jpg
20201223,虹口,四川北路,小高层一梯两户，3房南北通，4，10线海伦路双轨双公园必看好房,1130万,3室2厅 | 125.93平米 | 南 | 精装 | 中楼层(共8层) | 2001年建 | 板楼,
20201223,虹口,四川北路,3号线地铁200米+满五唯一+精装房+产权清晰新上,400万,2室1厅 | 53.91平米 | 南 北 | 精装 | 高楼层(共18层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9RhUZRHnp_1.jpg.296x216.jpg
20201223,虹口,四川北路,一手新房出售，买价高, 税费低，内环双公园，随时看新上,1950万,4室2厅 | 163.21平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rpkJdnMq7_1.jpg.296x216.jpg
20201223,虹口,四川北路,楼层好，视野好，满五年，业主诚意出售房主自荐,1060万,3室2厅 | 152.81平米 | 南 | 精装 | 中楼层(共30层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qA41tqFO4_1.jpg.296x216.jpg
20201223,虹口,四川北路,4/10双轨地铁100距离+三代同堂双卧朝南户型,1060万,3室2厅 | 152.81平米 | 南 北 | 简装 | 中楼层(共30层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_gxfrKK5bf_1.jpg.296x216.jpg
