20201223,黄浦,打浦桥,高品质小区+满五唯一+闹中取静+人车分流+阳光全天必看好房,1159万,2室2厅 | 113.34平米 | 南 | 精装 | 低楼层(共33层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7wompJ2lo_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,思南路/泰康路口 出门田子坊/日月光 海华 卢湾必看好房,948万,3室2厅 | 119.33平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8H2PoBArD_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,小区03年竣工，满五年，园林式小区，有地下固定车位必看好房,1380万,3室2厅 | 137.02平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IFYYmlsqU_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,海华卢湾+1999年建外销房+小高层1梯两户+固定租赁车位必看好房,1500万,2室1厅 | 122.92平米 | 南 | 精装 | 低楼层(共10层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_si9Myem9R_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,售后公房，两房三阳台，海华+卢湾，得房率高必看好房,705万,2室1厅 | 75.5平米 | 南 | 精装 | 低楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gRuQbGyt9_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,此房业主诚意出售，配套设施齐全，双轨交汇必看好房,900万,2室2厅 | 89.91平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oZin6rTnj_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,单价低，总价低，装修好，全明户型，有租赁车位必看好房,858万,2室1厅 | 106.35平米 | 西南 | 精装 | 低楼层(共25层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/bc66e3e2-6e23-4d13-a997-0717186cf600_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,瞿中小区 1室1厅 南必看好房,340万,1室1厅 | 40.71平米 | 南 | 毛坯 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A9MKuvOPr_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,04年品质小区，近地铁公园，主卧朝南带阳台必看好房,855万,2室2厅 | 104.4平米 | 南 | 精装 | 高楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/0b7c173e-0b27-4be7-bc9b-984b928bdcf2_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,东边套+南北通透+地铁口+全明必看好房,410万,2室1厅 | 51.71平米 | 南 北 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a1W2f1Jvz_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,边套全明，南北通，满五唯一，两室必看好房,392万,2室0厅 | 52.54平米 | 南 | 简装 | 低楼层(共20层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_UKncgD0oB_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,瑞金二路410精装修，南北2房1厅，全明户型，采光好必看好房,515万,2室1厅 | 59.77平米 | 南 北 | 精装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-3eff8b90-0713-4565-8673-a477856080f3.png.296x216.jpg
20201223,黄浦,打浦桥,烫金地段低总价电梯两房，房型方正，位置安静必看好房,584万,2室1厅 | 75.34平米 | 西南 | 精装 | 低楼层(共29层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wsNlZ5ZQ0_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,打浦桥板块难得电梯两房  西边套 海华 卢湾必看好房,988万,2室2厅 | 102.43平米 | 南 | 简装 | 低楼层(共33层) | 1999年建 | 塔楼,
20201223,黄浦,打浦桥,打浦桥品质住宅 俯瞰小区花园，绿城物业，精装大3房,2050万,3室2厅 | 201.2平米 | 南 北 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/dbb8b530-7e7c-4c27-ad2c-7716bbb2b559_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,永业建造 99年房龄 满五唯一 全明户型  8.7平大天井,375万,1室1厅 | 45.86平米 | 南 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aSSL3k504_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,停车方便 花园小区 安静舒适 2梯2户 南北通透,1099万,2室2厅 | 104.26平米 | 南 北 | 简装 | 低楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dce94c22-b29d-4ed4-a4ce-59c2e5521f96_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,海丽花园双阳台+厨卫都有窗户+业主自住装修,1249万,3室2厅 | 124.43平米 | 南 | 精装 | 中楼层(共33层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_ESSlxnQm0_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,精装修2房，内环内，配套完善，交通便利，可拎包入住新上,860万,2室2厅 | 98.89平米 | 南 | 精装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jNJGLfKza_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,大同花园 顶楼复式 有露台 有产权车位 装修好 有地暖,2000万,4室2厅 | 229.08平米 | 东南 | 精装 | 高楼层(共37层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/8c50c788-94fe-4d5f-a02a-beb29ecb61b2_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,高区江景房 人车分流 花园小区 品质物业 拎包入住,1580万,3室2厅 | 133.42平米 | 南 北 | 精装 | 高楼层(共39层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WdVpNUkjX_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,管理品质好丨邻日月光，田子坊，地铁打浦桥站,999万,2室2厅 | 111.53平米 | 南 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_abCbMBv3D_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,大面积，低总价，中间楼层，采光无遮挡，视野开阔,730万,2室2厅 | 120.46平米 | 南 西南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aWXPI5eLr_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,品质小区，人车分流，稀有楼层，诚意出售,1330万,3室2厅 | 125.04平米 | 南 东 北 | 精装 | 高楼层(共26层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O2H5HrCoz_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,精装修 拎包入住 总价低 户型方正 热门小区 诚意出售新上,350万,1室0厅 | 27.8平米 | 北 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ixlBdTbJh_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,打浦桥品质三房 地段优越，全明户型,1028万,3室2厅 | 129.52平米 | 南 西 北 | 简装 | 低楼层(共22层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ANU3wGjTw_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,打浦桥品质高区三房 满五唯一 精装修 诚意出售,1350万,3室2厅 | 147.81平米 | 西 北 南 | 精装 | 20层 | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_xPC5z4KTM_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,两房朝南 厅朝东带阳台 全明户型 业主诚意 看房方便,1500万,3室2厅 | 138.27平米 | 南 | 精装 | 低楼层(共15层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iv13qmyma_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,满五年唯一，品质社区，业主诚意，随时面谈，随时签约房主自荐,1187万,2室2厅 | 114.65平米 | 南 | 精装 | 低楼层(共33层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/bdeb7c02-4284-48c6-a0bd-6dbf5f7d3588_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,小区人车分流 两房朝南 2梯2户南北双阳台 飞机户型,1900万,3室2厅 | 155.09平米 | 南 北 | 精装 | 中楼层(共39层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/122ca7b3-d937-4a7e-aee8-443aacdf3cc3_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,永泰公寓 3室1厅 南新上,890万,3室1厅 | 120.86平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xHGteBumN_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,邻近打浦桥日月光商圈+正气两房朝南房主自荐,565万,2室1厅 | 61.44平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fYd0cY8ot_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,泰康路思南路+南北房+厨卫全明+楼层佳+诚意售,650万,2室1厅 | 65.1平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cHX3RvCfc_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,售后公房税少，电梯三房总价低，配套齐全，交通便利房主自荐,730万,3室1厅 | 103.54平米 | 东南 | 简装 | 中楼层(共29层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_pD7Bl97sh_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,内环内总价低单价低三房，满五年，住宅产权！,750万,3室2厅 | 132.66平米 | 东南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_TAnb7JkJa_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,日月光旁边有地铁9号线 大户型视野好配套齐全地段优越,1050万,3室2厅 | 152.26平米 | 东南 | 简装 | 中楼层(共30层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yHBVPPiSy_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,南北房型 近日月光田子坊打浦桥地铁 交通便利看房周六房主自荐,636万,2室1厅 | 72.61平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_djUUokP5G_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,卢湾刚需三房  低总价低单价 地铁口楼层好,480万,3室1厅 | 72.72平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R6mYm2JP7_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,：售后公房，满五唯一，交通便利，出门就是地铁口,420万,2室1厅 | 51.78平米 | 南 北 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a2e510ee-bc06-4557-a704-7cad80f4d06d.jpg.296x216.jpg
20201223,黄浦,打浦桥,泰康路上，近田子坊，日月光小三房，94年7楼无电梯,760万,3室1厅 | 84.94平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1f677921-6b41-49a8-a864-b1927da6bc41.jpg.296x216.jpg
20201223,黄浦,打浦桥,满五税费少，1997年竣工双朝南，9号线打浦桥海华卢湾,745万,2室2厅 | 80.38平米 | 南 东 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IZGySehaH_2.jpg.296x216.jpg
20201223,黄浦,打浦桥,不临路满五唯一，上复式阳光充足，改动增加使用面积大,2300万,4室2厅 | 165.86平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QpImZvga6_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,00年电梯大四房+近思南路+满五9号线打浦桥站,1280万,4室2厅 | 127.41平米 | 南 北 | 精装 | 低楼层(共8层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/2fb5cf3b-a3d2-4831-9b2d-682cc47c4f49_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,内环内住宅产权+单价低总价低+诚意出售看房方便,760万,3室2厅 | 134.23平米 | 东南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_UILJ8ej28_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,内环地铁口 高品质小区 人车分流 朝南带大阳台,1300万,2室2厅 | 108.34平米 | 南 | 精装 | 高楼层(共27层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L2M9ezGmU_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,单价低+总价低+大面积+70年产权纯住宅,1650万,3室2厅 | 230.87平米 | 东南 南 | 精装 | 高楼层(共32层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BYirLiG5b_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,日月光旁 高区南北三房 东边套 海华 卢湾中,1450万,3室2厅 | 143.47平米 | 南 | 简装 | 高楼层(共22层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aBOoahOBq_2.jpg.296x216.jpg
20201223,黄浦,打浦桥,海华 卢湾中 97年商品房 户型正气 一层三户,690万,2室2厅 | 87.54平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c6fc126-87d9-4bb4-8f64-190780791624_1000.jpg.296x216.jpg
20201223,黄浦,打浦桥,配套成熟，南北通，厨卫有窗，近地铁，高区视野开阔房主自荐,645万,1室2厅 | 81.35平米 | 北 | 精装 | 高楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_L26q0zLzS_2.jpg.296x216.jpg
20201223,黄浦,打浦桥,独用一房户型 户型正气 地铁口 总价低，诚意出售,235万,1室0厅 | 24.95平米 | 南 | 精装 | 中楼层(共6层) | 1964年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ojc1GGFBt_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,96年房龄，婚房装修，大两房一厅，有车位,680万,2室2厅 | 78.75平米 | 西 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BCOSMjcHt_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,内环内，采光无遮挡，正气电梯一房，总价低,570万,1室2厅 | 67.44平米 | 北 | 毛坯 | 中楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_z5UF8CPli_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,德玛公寓三房全明，满五无个税，低密度小高层花园公寓,1350万,3室2厅 | 134.21平米 | 南 | 精装 | 低楼层(共15层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2da76e06-7069-4b58-a2c7-c76e14687645.jpg.296x216.jpg
20201223,黄浦,打浦桥,地铁口，精装修，满五年唯一，业主诚意出售，接受置换,418万,1室1厅 | 50.74平米 | 东 | 精装 | 中楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qTTIxPDbR_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,总价低，房型正气，上置两房，近9号线日月光打浦桥房主自荐,1350万,2室2厅 | 139.53平米 | 南 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ey09pqrZp_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,朝南楼距远，阳光全天，安静，南北通标准四房，看绿化,1260万,4室2厅 | 161.73平米 | 南 西 北 | 精装 | 低楼层(共20层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1b3ef48d-ba7c-4ee4-bbf9-d142ea9b2945.jpg.296x216.jpg
20201223,黄浦,打浦桥,打浦桥高品质楼盘 铂尔曼旁边 低区看花园 精装修 海华,1230万,2室2厅 | 135.77平米 | 南 北 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_CSt9oIWc9_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,泰康路思南路，电梯小高层，宜居三房，位置安静环境美,1350万,3室2厅 | 136.8平米 | 南 | 精装 | 中楼层(共8层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VBs7VTSiV_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,Sunny community 海华近 田子坊日月光 中间层 两居室房主自荐,537万,2室1厅 | 58.43平米 | 南 北 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dakNsumtj_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,经典三房+满五年唯一+总价低+每个功能间都有窗户房主自荐,1080万,3室2厅 | 111.92平米 | 东南 | 简装 | 低楼层(共33层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_qM2jMsHDO_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,朝南大三房带大阳台，楼层好，海华卢湾， 邻日月光,1450万,3室1厅 | 177平米 | 南 | 精装 | 高楼层(共30层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_4KOpS1x3b_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,满五唯一，户型方正，业主诚意出售.,1298万,3室2厅 | 153.86平米 | 南 | 精装 | 28层 | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3GKOidOAW_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,地铁口精装全南小两房，业主诚意出售，看房提前预约房主自荐,369万,2室1厅 | 41.22平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aPwpmCqNq_1.jpg.296x216.jpg
20201223,黄浦,打浦桥,售后公房免增值税 业主自住 单价极低景观房,560万,1室2厅 | 75.4平米 | 南 | 简装 | 高楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7QoivzKiq_1.jpg.296x216.jpg
