20201223,黄浦,董家渡,大平层南北通 可独立分两户 带大花园 有车位必看好房,1658万,4室3厅 | 202.12平米 | 南 北 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCtSLlMCw_1.jpg.296x216.jpg
20201223,黄浦,董家渡,董家渡金融城旁高区两房，业主诚意出售必看好房,818万,2室2厅 | 116.84平米 | 西北 | 简装 | 中楼层(共34层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Yby9hxccs.jpg.296x216.jpg
20201223,黄浦,董家渡,南北三房 全明全天采光 业主18年精装修必看好房,1165万,3室2厅 | 121.77平米 | 南 | 精装 | 低楼层(共33层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BnFmbuUGk_1.jpg.296x216.jpg
20201223,黄浦,董家渡,户型方正， 全南户型，适合居住！必看好房,829万,2室2厅 | 93.72平米 | 南 | 简装 | 低楼层(共34层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-71fd3102-b176-423a-b81a-b50b8d964026.jpg.296x216.jpg
20201223,黄浦,董家渡,此房楼层好,采光充足，配套设施齐全，交通便利,990万,2室2厅 | 99.85平米 | 南 | 简装 | 中楼层(共30层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MAZqJqWqa_1.jpg.296x216.jpg
20201223,黄浦,董家渡,董家渡金融城旁 户型方正 近地铁,1090万,3室2厅 | 122.65平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7POuuBpfL_1.jpg.296x216.jpg
20201223,黄浦,董家渡,带大露台+高区四房+南北通透+小区中间位置+高得房率房主自荐,1228万,4室3厅 | 163.47平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rgeeMU3l3_1.jpg.296x216.jpg
20201223,黄浦,董家渡,售后公房税费少，全明户型，闹中取静，近地铁,1100万,3室2厅 | 125.97平米 | 南 | 毛坯 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P8Ja5lTNR_1.jpg.296x216.jpg
20201223,黄浦,董家渡,装修保养好，南北错通，看房方便，正看小区花园。房主自荐,1350万,3室2厅 | 124.73平米 | 南 北 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1TeCl1vPl_1.jpg.296x216.jpg
20201223,黄浦,董家渡,满五年+9号线小南门地铁站+采光好+价钱能谈,1042万,2室2厅 | 115.79平米 | 南 | 简装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZCFIBq0Qj_1.jpg.296x216.jpg
20201223,黄浦,董家渡,三房南北错通，户型正气，厨卫全明，业主诚意出售房主自荐,1133万,3室2厅 | 119.46平米 | 南 | 简装 | 低楼层(共34层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jElj7v1k4_1.jpg.296x216.jpg
