20201223,黄浦,蓬莱公园,四号线，精装修，复式loft结构，03年小区必看好房,510万,2室1厅 | 59.64平米 | 北 | 精装 | 高楼层(共15层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9u97zHK7O_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,烫金地段，顶楼复式，三线交汇，顶楼复式，花园带露台必看好房,1450万,4室2厅 | 172.75平米 | 南 北 | 简装 | 高楼层(共18层) | 2001年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_Hsjm2t61M_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,圈经推荐！西陵新上便宜一房！！！必看好房,292万,1室0厅 | 32.12平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pHsPjiyoR_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,海洲丽园，两梯两户，品质小区 钥匙委托随时看房必看好房,1285万,3室2厅 | 131.9平米 | 南 北 | 简装 | 中楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_MzyEzYJZ2_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,超大天井，房子很亮，V.ip房，税费少，随时可以签字必看好房,860万,3室1厅 | 91.37平米 | 南 | 精装 | 低楼层(共12层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k9Ny8DUoh_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,首排高区 视野开阔 精致装修 随时交房 诚意出售必看好房,1295万,3室2厅 | 129.62平米 | 南 | 精装 | 中楼层(共34层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae7dffd0-4168-497c-b566-1182027180ee_1000.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,近地铁，精装修，南北通 边套 全明两房，楼层好！必看好房,570万,2室1厅 | 65.76平米 | 南 北 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_60SknmlWD_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,电梯两房，总价单价均低，宜自住宜出租，业主诚意出售必看好房,497万,2室0厅 | 59.14平米 | 东 | 简装 | 中楼层(共32层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QkJqkvkRq_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,总价低，户型方正，近地铁，配套齐全。必看好房,333万,1室1厅 | 41.77平米 | 西 | 简装 | 低楼层(共32层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wjmoko98K_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,位置安静，户形正气，阳光充足，生活便利， 看房方便必看好房,312万,1室1厅 | 36.2平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ekh34Ocbo_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,2016年次新小区   华府品质开发商  户型方正南北通透必看好房,1638万,3室2厅 | 124.84平米 | 南 北 | 精装 | 低楼层(共17层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SM1NnnzMZ_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,满五唯一，南北两房格局好，采光通风佳，装修保养佳必看好房,395万,2室0厅 | 54.55平米 | 南 北 | 简装 | 高楼层(共6层) | 1964年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RRWWgWnqr_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,2014年小区，地铁四号线，人车分流必看好房,860万,2室1厅 | 85.12平米 | 南 | 精装 | 中楼层(共24层) | 2014年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_p9X76SvyM_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,徐姑姑推荐：电梯中高层视野房+满五唯一+低总价诚售必看好房,695万,3室1厅 | 89.65平米 | 东 东南 南 | 精装 | 高楼层(共30层) | 1994年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_YGKQEry6J_1.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,本房税费少，全明户型，近地铁及公交总站交通便利,710万,2室1厅 | 69.57平米 | 南 | 精装 | 低楼层(共15层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e1tn24hEe_2.jpg.296x216.jpg
20201223,黄浦,蓬莱公园,西凌新邨 3室1厅 南 北新上,930万,3室1厅 | 98.98平米 | 南 北 | 精装 | 中楼层(共30层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_H7zBVnr1v_1.jpg.296x216.jpg
