20201223,黄浦,五里桥,朝南采光好，楼层合适，精装修，看房方便。必看好房,380万,1室1厅 | 31.6平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zlNaiiSgh_1.jpg.296x216.jpg
20201223,黄浦,五里桥,新出板式大三房，视野开阔，全明户型，4/8/13号线必看好房,1350万,3室2厅 | 143.77平米 | 南 | 精装 | 中楼层(共30层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eG7wWgHX2_1.jpg.296x216.jpg
20201223,黄浦,五里桥,百万装修，老卢湾区！新上小三房！全明！！必看好房,1350万,3室2厅 | 121.52平米 | 南 北 | 精装 | 低楼层(共28层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RJ88zVjIE_1.jpg.296x216.jpg
20201223,黄浦,五里桥,汇龙新城三房总价低，适合居家紧凑户型必看好房,1455万,3室2厅 | 143.97平米 | 南 | 精装 | 低楼层(共33层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SrYy5Ke4O_1.jpg.296x216.jpg
20201223,黄浦,五里桥,二手买进税费低、园林式小区、人车分流、前面带小花园必看好房,1050万,3室2厅 | 114.35平米 | 南 | 精装 | 低楼层(共34层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_b7l8q5dkO_1.jpg.296x216.jpg
20201223,黄浦,五里桥,品质小区+近地铁+房型好+诚意出售+看房方便！必看好房,1438万,3室2厅 | 148.41平米 | 南 北 | 简装 | 低楼层(共33层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f757a3d0-db54-4484-884b-441909bd5440_1000.jpg.296x216.jpg
20201223,黄浦,五里桥,百汇大厦 2室1厅 南必看好房,680万,2室1厅 | 79.52平米 | 南 | 其他 | 高楼层(共23层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ytcYqMyCE_1.jpg.296x216.jpg
20201223,黄浦,五里桥,标杆社区整洁舒适，业主诚意出售，满五唯一必看好房,738万,3室1厅 | 88.64平米 | 南 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YAkltc1tU_1.jpg.296x216.jpg
20201223,黄浦,五里桥,售后公房、中楼层、户型全明、四年前装修、方便看房必看好房,548万,2室1厅 | 64.49平米 | 东 东南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h4U7rOtPl_1.jpg.296x216.jpg
20201223,黄浦,五里桥,美丽家园社区 居住舒适 视野开阔  配套齐全必看好房,340万,1室1厅 | 42.14平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LDz4WTVUM_1.jpg.296x216.jpg
20201223,黄浦,五里桥,诚售+满五+明星楼盘+96年+容易贷款+采光充足+看房方便必看好房,438万,2室0厅 | 53.43平米 | 东 西 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X12MNxQuv_1.jpg.296x216.jpg
20201223,黄浦,五里桥,全明户型，单价，总价低，朝南一室必看好房,295万,1室1厅 | 32.32平米 | 南 | 简装 | 中楼层(共5层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GkSdyyUzA_1.jpg.296x216.jpg
20201223,黄浦,五里桥,新装修，内环内，品质社区，双南两房必看好房,889万,2室1厅 | 92.72平米 | 南 | 精装 | 低楼层(共30层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_x6Al8i48j_1.jpg.296x216.jpg
20201223,黄浦,五里桥,地铁  边套 全明户型  总价低必看好房,408万,1室1厅 | 43.21平米 | 东北 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LdsjVLxDH_1.jpg.296x216.jpg
20201223,黄浦,五里桥,优质房源！近9号13号地铁精装修 房东诚意出售必看好房,379万,2室1厅 | 40.6平米 | 南 西南 | 精装 | 低楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U8FZAV3ii_1.jpg.296x216.jpg
20201223,黄浦,五里桥,板式南北通透格局+一梯两户+得房率超高+配套齐全必看好房,1328万,3室2厅 | 117.34平米 | 南 北 | 精装 | 低楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bFcIvmX7s_1.jpg.296x216.jpg
20201223,黄浦,五里桥,满五唯一，双南光照充足，户型方正，居住舒适度高。必看好房,750万,3室1厅 | 81.46平米 | 南 | 精装 | 中楼层(共30层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/eaaa6362-9d06-4e5f-9b66-e06505a0a5b7_1000.jpg.296x216.jpg
20201223,黄浦,五里桥,楼龄新，1994年闹中取静小区，环境好，出门即公园地铁必看好房,390万,1室1厅 | 39.65平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zwE4NfMjn_1.jpg.296x216.jpg
20201223,黄浦,五里桥,小高层+本楼栋远离高架+素质住户房主自荐,1200万,3室2厅 | 136.79平米 | 南 | 简装 | 低楼层(共19层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/3345fd93-ef4f-47af-bdc9-9fb330c5f5bd_1000.jpg.296x216.jpg
20201223,黄浦,五里桥,南北通格局 楼层好 视野宽阔 采光充足,1500万,3室2厅 | 168.41平米 | 南 | 精装 | 中楼层(共14层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7ReOInfez_1.jpg.296x216.jpg
20201223,黄浦,五里桥,新上房源，高区视野好！满五年，诚意出售，随时可签房主自荐,900万,2室2厅 | 106.2平米 | 东 南 北 | 简装 | 高楼层(共28层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Eg8rkRfTj_1.jpg.296x216.jpg
20201223,黄浦,五里桥,园林小区正气两房+人车分流环境好+二手买进税费低房主自荐,928万,2室1厅 | 91.41平米 | 南 | 简装 | 低楼层(共31层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2u4BXpuKr_1.jpg.296x216.jpg
20201223,黄浦,五里桥,小高层顶复；精装修；诚意出售；看房方便房主自荐,1690万,3室2厅 | 175.42平米 | 南 | 精装 | 高楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nuXpkwCeN_1.jpg.296x216.jpg
20201223,黄浦,五里桥,人车分流 满五唯一，税费少采光视野无遮挡，车位另算房主自荐,1180万,3室2厅 | 118.33平米 | 南 | 精装 | 中楼层(共34层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_adgc0KahE_1.jpg.296x216.jpg
20201223,黄浦,五里桥,满5年唯一  人车分流  园林小区  四房三厅  一梯一户房主自荐,1580万,4室3厅 | 218.97平米 | 南 | 精装 | 高楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2wwSfzwWB_1.jpg.296x216.jpg
20201223,黄浦,五里桥,二手买进+全明户型+小三居+近地铁+中区无遮挡,998万,3室2厅 | 110.19平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zGje0Ujny_1.jpg.296x216.jpg
20201223,黄浦,五里桥,高区江景+产权车位+居住时间少次新房,2250万,4室2厅 | 263.14平米 | 南 | 精装 | 高楼层(共31层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KBx37DdFD_1.jpg.296x216.jpg
20201223,黄浦,五里桥,钥匙房+双轨出行+自如装修+老卢湾配套成熟,320万,1室1厅 | 33.6平米 | 北 | 精装 | 高楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zZP37NURI_1.jpg.296x216.jpg
20201223,黄浦,五里桥,满5唯一，精致装修带地暖，楼层好，园林小区地铁三房新上,1100万,3室1厅 | 124.97平米 | 南 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/f9f659ed-6683-4a60-934d-7677e999679b_1000.jpg.296x216.jpg
20201223,黄浦,五里桥,大众汽车公寓 2室1厅 南 东新上,735万,2室1厅 | 81.95平米 | 南 东 | 简装 | 低楼层(共29层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_T51tzTFhc_1.jpg.296x216.jpg
20201223,黄浦,五里桥,沿地铁4号线，南北 。全明，日照好，满5年唯一房主自荐,450万,2室1厅 | 65.47平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a21eb2e8-fcf9-41cd-a634-445c7e4786dc.jpg.296x216.jpg
20201223,黄浦,五里桥,交通便利，闹中取静，生活配套齐全，,505万,2室0厅 | 61.22平米 | 南 | 简装 | 高楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bjlzXTaRp_1.jpg.296x216.jpg
20201223,黄浦,五里桥,老卢湾地段+配套齐全+总价低两房+得房率高+装修好房主自荐,430万,2室1厅 | 42.6平米 | 东南 | 精装 | 高楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2pIOYwtHI_1.jpg.296x216.jpg
20201223,黄浦,五里桥,浦西地段，配套成熟；看房方便；全明户型；房主自荐,890万,2室2厅 | 106.2平米 | 南 北 西 | 简装 | 低楼层(共28层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_q1FI0sIdi_1.jpg.296x216.jpg
20201223,黄浦,五里桥,局门路620号方正户型，双南光照充足，居住舒适度高,830万,2室2厅 | 109.78平米 | 南 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_emgTTOQZR_1.jpg.296x216.jpg
20201223,黄浦,五里桥,蒙自路601弄 1室1厅 西 北新上,258万,1室1厅 | 26平米 | 西 北 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_whf5PjGX0_1.jpg.296x216.jpg
20201223,黄浦,五里桥,复式大两房+双客厅+中西厨分离+全屋私人定制+高区景观房主自荐,1350万,2室2厅 | 179.58平米 | 东南 | 精装 | 高楼层(共31层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_yLfsBruBH_2.jpg.296x216.jpg
20201223,黄浦,五里桥,两梯三户，复式少有.四开间朝南户型，采光无遮挡,1500万,3室2厅 | 137.12平米 | 南 | 精装 | 低楼层(共20层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_majjujs38_1.jpg.296x216.jpg
20201223,黄浦,五里桥,户型方正，三间朝南有两个阳台，客厅朝西，阳光不错,1180万,3室2厅 | 135.24平米 | 南 | 简装 | 低楼层(共24层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xdMxLuClk_1.jpg.296x216.jpg
20201223,黄浦,五里桥,全明户型，高楼层视野好，带露台，交通便利,1350万,2室2厅 | 125.36平米 | 南 北 | 精装 | 高楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RSvUxsUun_1.jpg.296x216.jpg
20201223,黄浦,五里桥,蒙自路395弄 3室1厅 南新上,600万,3室1厅 | 60.6平米 | 南 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mhYzrTQEr_1.jpg.296x216.jpg
20201223,黄浦,五里桥,两房朝南厅朝南，采光无遮挡，通风好，精装修,777万,2室1厅 | 86.4平米 | 南 | 精装 | 高楼层(共27层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NmbC7hsYD_1.jpg.296x216.jpg
20201223,黄浦,五里桥,全明东边套+满五唯一+出行方便+楼层好+看房联系维护人房主自荐,480万,2室1厅 | 58.12平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-676c1ad6-4719-4490-9997-19fd93d7aa54.jpg.296x216.jpg
20201223,黄浦,五里桥,满五唯一+产权清晰+朝南一室户+大露台房主自荐,340万,1室1厅 | 35.63平米 | 南 | 精装 | 高楼层(共7层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zJXgT5Nzl_1.jpg.296x216.jpg
20201223,黄浦,五里桥,房型正气，都朝南，居住舒适；视野开阔，没有任何遮挡,335万,1室1厅 | 37.84平米 | 南 | 精装 | 高楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JesskZM1I_1.jpg.296x216.jpg
20201223,黄浦,五里桥,4号13号9号双地铁站，朝南一房精装修 ，业主诚售,320万,1室0厅 | 36.01平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bRaPe3edz_1.jpg.296x216.jpg
20201223,黄浦,五里桥,汇龙仅有一套高区3房+不临高架+房型方正+有产权车位房主自荐,1700万,3室2厅 | 158.33平米 | 南 北 | 简装 | 高楼层(共28层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m3HoBtdBJ_1.jpg.296x216.jpg
20201223,黄浦,五里桥,税费少 户型方正 通透敞亮 坐拥4号线 小区环境好,450万,2室0厅 | 61.5平米 | 东 | 精装 | 高楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d4edc55c-605e-463f-82d0-4a595cb368b4.jpg.296x216.jpg
20201223,黄浦,五里桥,双南两房，边套全明，双轨交，精装修，拎包入住,620万,2室2厅 | 78.57平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gYWAY3MSM_1.jpg.296x216.jpg
20201223,黄浦,五里桥,交通方便，南北两房，一梯三户，全明有窗，诚意出售。房主自荐,560万,2室1厅 | 62.17平米 | 南 北 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ebtolNtIL_1.jpg.296x216.jpg
20201223,黄浦,五里桥,1995新房龄+户型好+采光佳+一梯两户+交通方便,680万,2室1厅 | 86.14平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qz54D1Smt_1.jpg.296x216.jpg
20201223,黄浦,五里桥,楼层好近地铁，一室一厅，满五不唯一,255万,1室1厅 | 31.62平米 | 北 | 简装 | 低楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P6l8Ba7qC_1.jpg.296x216.jpg
20201223,黄浦,五里桥,老卢湾，品质社区，双南光照充足，户型方正房主自荐,749万,2室1厅 | 81.46平米 | 南 | 精装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8xsXjpI8q_1.jpg.296x216.jpg
20201223,黄浦,五里桥,好楼层朝南，采光好，小区中间位置，带绿化，安静房主自荐,325万,1室0厅 | 35.65平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UBICYw1WT_1.jpg.296x216.jpg
20201223,黄浦,五里桥,外销房+园林小区人车分流+精装修拎包入住+出门地铁,1020万,3室2厅 | 124.62平米 | 东南 | 精装 | 低楼层(共36层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_EiZiFBqTf_1.jpg.296x216.jpg
20201223,黄浦,五里桥,祥安公寓 2室1厅 南,758万,2室1厅 | 86.4平米 | 南 | 简装 | 低楼层(共25层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Dggg2ePxY_1.jpg.296x216.jpg
20201223,黄浦,五里桥,93年新公房+满五年无增值税+地铁8/9/13号300多米,360万,1室0厅 | 37.3平米 | 南 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M0K2a38xZ_1.jpg.296x216.jpg
20201223,黄浦,五里桥,底楼大一房，马当路9/13号线地铁口，交通方便配套成熟,370万,1室1厅 | 40.6平米 | 南 | 简装 | 低楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bbwIttp21_1.jpg.296x216.jpg
20201223,黄浦,五里桥,高区视野好 采光好 全南两房 联体大阳台 居住舒适,1170万,2室2厅 | 109.12平米 | 南 | 简装 | 高楼层(共29层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PePmb2awa_1.jpg.296x216.jpg
20201223,黄浦,五里桥,一梯一户，正规板房，人车分流，3轨交汇，八面采光房主自荐,1599万,4室3厅 | 218.97平米 | 南 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3408b801-11be-457c-b683-9dfddabf2acd.jpg.296x216.jpg
20201223,黄浦,五里桥,精装南北通大三房，满五唯一，配套齐全，交通便利,1390万,3室2厅 | 170.78平米 | 南 北 | 精装 | 低楼层(共14层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ercwepkxM_1.jpg.296x216.jpg
20201223,黄浦,五里桥,大三房，满五年，边套全明，采光超棒,1528万,3室2厅 | 168.5平米 | 南 | 精装 | 低楼层(共33层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hw2ZVZmt5_1.jpg.296x216.jpg
