20201223,黄浦,豫园,业主诚售+看房方便+近淮海路近南京路+出行方便必看好房,615万,2室1厅 | 71.75平米 | 南 北 | 简装 | 23层 | 1990年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_AOFr7Nor7_1.jpg.296x216.jpg
20201223,黄浦,豫园,露香园二期前排 ,豪崋天际别墅！2层再＋1层200方露台必看好房,4080万,5室2厅 | 283平米 | 南 | 精装 | 高楼层(共15层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MK8ElXV0o_1.jpg.296x216.jpg
20201223,黄浦,豫园,视野景观好，装修好，有两个固定车位，二手买入税费少必看好房,1250万,3室2厅 | 165.3平米 | 南 北 | 精装 | 中楼层(共28层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_TAKMzsQar_1.jpg.296x216.jpg
20201223,黄浦,豫园,满五年唯一，税费少，中间位置安静，近地铁装修保养好必看好房,1350万,3室2厅 | 149.81平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_dhNMFM3kJ_1.jpg.296x216.jpg
20201223,黄浦,豫园,三年才出此南北通东边套，售后公房，老业主只委托我！必看好房,590万,2室1厅 | 56.54平米 | 南 北 | 简装 | 低楼层(共17层) | 1987年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_4cYqhQvRz_1.jpg.296x216.jpg
20201223,黄浦,豫园,正气大四房，南北通，满五，业主诚意，看房随时,1880万,4室2厅 | 184.36平米 | 南 | 精装 | 高楼层(共25层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vaD3dJzn8_1.jpg.296x216.jpg
20201223,黄浦,豫园,2014年品质小区、两梯一户私密性好、淮海路、豫园商圈,3900万,5室2厅 | 330.97平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CrmQGkRIX_1.jpg.296x216.jpg
20201223,黄浦,豫园,此房满五年唯一，总价低。产权清晰，诚意出售！,269万,1室1厅 | 25.98平米 | 北 东 | 简装 | 低楼层(共4层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-3fd3f350-d99c-4239-8c67-be63ec26ca2e.png.296x216.jpg
20201223,黄浦,豫园,朝南一室户+中区楼层+全明格局+精装修新上,330万,1室0厅 | 34.04平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kx4d1jgqF_1.jpg.296x216.jpg
20201223,黄浦,豫园,不临马路，闹中取静，小区前排，采光视野无遮挡新上,1420万,3室2厅 | 144.75平米 | 南 | 精装 | 低楼层(共26层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rcKjchVZD_1.jpg.296x216.jpg
20201223,黄浦,豫园,8号线大世界地铁口+近人民广场+交通便利+电梯房,480万,1室1厅 | 53.9平米 | 西南 东 西 | 精装 | 23层 | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YHAwqYV3O_1.jpg.296x216.jpg
20201223,黄浦,豫园,高区景观房+满五年唯一+精装修+宽敞明亮+业主诚意,1270万,3室2厅 | 148.69平米 | 东南 | 精装 | 高楼层(共33层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-ab03dc86-9478-46e9-835d-872229ccd4c4.jpg.296x216.jpg
20201223,黄浦,豫园,顶楼复式+带大露台+视野景观好+业主急售+高品质小区房主自荐,1700万,4室3厅 | 194.85平米 | 南 | 精装 | 高楼层(共33层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vytlq7fsQ_1.jpg.296x216.jpg
20201223,黄浦,豫园,淮海路+次新房+南北通新出大平层+二次装修保养好+,3500万,4室2厅 | 275.93平米 | 南 | 精装 | 中楼层(共35层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JjRekpuiz_1.jpg.296x216.jpg
20201223,黄浦,豫园,二期前排三房！南北通户型，有产权车位！满两年税少,2550万,3室2厅 | 183.82平米 | 南 | 精装 | 低楼层(共15层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EBgU53qZd_1.jpg.296x216.jpg
20201223,黄浦,豫园,满五唯一，看房方便，业主诚售，装修干净清爽。,299万,1室1厅 | 28.24平米 | 南 北 | 精装 | 高楼层(共4层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CMGhC6XiC_1.jpg.296x216.jpg
20201223,黄浦,豫园,蓬莱路285弄 1室1厅 南,475万,1室1厅 | 37.32平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tu3JWwnQC_1.jpg.296x216.jpg
20201223,黄浦,豫园,城隍庙板块高区景观房，三房户型，适合居家,1090万,3室2厅 | 126.2平米 | 南 | 简装 | 中楼层(共29层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kHJN9Iu7B_1.jpg.296x216.jpg
20201223,黄浦,豫园,新出大平层！业主从未入住！三房朝南，高区视野佳,3030万,3室2厅 | 221.54平米 | 南 | 其他 | 中楼层(共19层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bNEGfqew3_1.jpg.296x216.jpg
