20201223,嘉定,丰庄,笋盘出售+满五唯一+看房方便+采光充足必看好房,220万,1室1厅 | 50.84平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5toI4RLT6_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁 中间楼层  一梯两户得房率高　满五唯一必看好房,220万,1室1厅 | 44.74平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12743f23-936d-43fa-9d61-0936cc446db5_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,南北两房，通风采光好，诚意出售，少见楼层必看好房,475万,2室2厅 | 85.6平米 | 南 北 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/61b0ff6f-0ab7-4459-9e38-63404764bf83_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,Vip+单价4万+不靠马路+南北透风+满五年+一梯两户必看好房,187万,1室1厅 | 46.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1a684c88-535e-40d7-895f-163099cc8289_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,梅川路上的双南两房，好位置，好采光，配套齐生活便利必看好房,308万,2室1厅 | 64.2平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wnX5skdy3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区中间位置+中间楼层+精装修三年必看好房,335万,2室1厅 | 66.55平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dALNNFmDt_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装双南 景观大两房 满五唯一 诚意出售必看好房,485万,2室2厅 | 91.72平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7zzHToteR_1.jpg.296x216.jpg
20201223,嘉定,丰庄,2007年的小区，房型南北通透，小区环境优美，车位充足必看好房,550万,2室2厅 | 104.8平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VgoRtQv7A_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通 满五稅少 一梯两户 产权清晰 两房朝南 厅朝北必看好房,335万,2室1厅 | 77.51平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qvwAK0KK3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT房源+采光充足+满五税少+近地铁+诚心出售健康楼层必看好房,230万,2室1厅 | 44.2平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sdaEtOhxz_1.jpg.296x216.jpg
20201223,嘉定,丰庄,商品房+全明户型+采光充足+视野开阔+好位置必看好房,253万,1室1厅 | 52.27平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5TkJEF2Ym_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房税少+楼层好+户型好+产权清晰+无户口必看好房,248万,2室1厅 | 53平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ut4s0LQkG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一楼带天井，有钥匙，看房随时方便必看好房,238万,1室1厅 | 47.75平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w8zD7qzCQ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,14号线地铁口，低总价花园房，业主诚意度高必看好房,280万,2室1厅 | 59.4平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4gL5fL9Xa_1.jpg.296x216.jpg
20201223,嘉定,丰庄,售后公房+地铁口+ 小户型总价低必看好房,255万,1室1厅 | 54.61平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnrBRx5cg_1.jpg.296x216.jpg
