20201223,嘉定,嘉定老城,05年户型方正，两房朝南一房朝北，南北精装修，急卖！必看好房,363万,3室2厅 | 128.61平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2c7ba34f-8b32-4054-b7d6-c731da9852d8_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低层笋盘，首付35%，出则繁华入则宁静，值得拥有。必看好房,168万,2室1厅 | 57.23平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e9622e0a-73b8-44dc-bf9f-c16f13065c62_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五，南北户型 高楼层，采光充足，配套设施齐全必看好房,295万,3室2厅 | 89.53平米 | 南 北 | 简装 | 中楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/91824e0f-91e9-4b2e-a213-02d044e948ff_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园二村  双南两房  总价低   诚心出售必看好房,162万,2室1厅 | 62.56平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e66955ae-baaa-44ce-bbeb-0c60b3d5dd66_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,品质小区 大三房 动静分离 精装修 业主诚心出售必看好房,400万,3室2厅 | 137.09平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8e6dbcdb-e94f-4c97-9fd0-8a303a60093f_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线800米，低楼层，总价低，配套成熟必看好房,125万,1室1厅 | 36.97平米 | 南 | 毛坯 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wiwE6TFH9_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五，南北对流格局，楼层好，视野开阔，采光充足必看好房,290万,3室2厅 | 89.53平米 | 南 北 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1lNi63wKT_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,位置好  户型好  飞机户型 正宗三房  采光好 通风好必看好房,245万,3室2厅 | 106.63平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jprGIONAd_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长推荐+ 非顶楼+户型方正+ 采光通风佳+诚意出售必看好房,195万,2室1厅 | 68.68平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/28067755-0287-4eff-8a34-d1114c39f071_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长推荐+首付24万+地铁11号线+生活配套齐全必看好房,115万,1室1厅 | 39.31平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/973acda9-3098-45e4-bacd-352b25f36e40_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房源满五唯一税少 ，采光充足 房型正气，楼层好必看好房,208万,2室1厅 | 78.36平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CLXGnRxRn_1.jpg.296x216.jpg
