20201223,嘉定,南翔,森林公馆 品质小区全南户型两房 配套设施齐全必看好房,429万,2室2厅 | 88.03平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f7aec32d-b8df-42b0-9199-4d54cc85c152_1000.jpg.296x216.jpg
20201223,嘉定,南翔,近地铁 高区景观楼层 诚意出售必看好房,540万,3室2厅 | 88.69平米 | 南 北 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c10024cc-558c-4b20-b151-f1d75508de53_1000.jpg.296x216.jpg
20201223,嘉定,南翔,二次装修家具家电 德国原装进口暖气炉  近地铁印象城必看好房,599万,3室2厅 | 112.5平米 | 东南 | 精装 | 中楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xG6rHZCQz_1.jpg.296x216.jpg
20201223,嘉定,南翔,精装修，自住保养好，看房方便，必看好房,300万,3室1厅 | 85.67平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e4b5874-1f20-482b-82f8-376614a409ac_1000.jpg.296x216.jpg
20201223,嘉定,南翔,精装修，交通便利，拎包入住，户型少。满两年必看好房,480万,4室2厅 | 136平米 | 南 | 精装 | 低楼层(共19层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/094ac35f-bbc6-437a-8311-bd80d7b1f888_1000.jpg.296x216.jpg
20201223,嘉定,南翔,南北两房，楼层好，近教育，老少皆宜必看好房,348万,2室2厅 | 90.64平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f3c4001d-78cf-4279-9c6f-ac01ebb595ae_1000.jpg.296x216.jpg
20201223,嘉定,南翔,中冶翔腾精装小三房楼层好诚心出售必看好房,510万,3室2厅 | 87.96平米 | 南 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eb20cc2d-e5e4-4643-bcf3-a352fd129052_1000.jpg.296x216.jpg
20201223,嘉定,南翔,楼层好+税费少+得房率高+采光好+近地铁必看好房,253万,2室1厅 | 63.09平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f7e389db-9fcb-412c-a784-2416dc63a08e_1000.jpg.296x216.jpg
20201223,嘉定,南翔,精装修 拎包入住 南北通户型 中间位置 近上师大必看好房,385万,2室2厅 | 89.94平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F7n8Nr7Ia_1.jpg.296x216.jpg
20201223,嘉定,南翔,绿地百年宅+开发商精装+大阳台+自住保养好+看房随时必看好房,435万,2室1厅 | 89.23平米 | 南 | 精装 | 低楼层(共20层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f41d291f-f4e0-4609-91b6-a39daa11a0ab_1000.jpg.296x216.jpg
20201223,嘉定,南翔,近商场，拎包入住，钥匙房，随时可看，低总价必看好房,210万,2室1厅 | 57.76平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3RzeeocZj_1.jpg.296x216.jpg
20201223,嘉定,南翔,地铁口精装三房 小区中间位置 环境幽静 诚意出售必看好房,595万,3室2厅 | 113.08平米 | 南 | 精装 | 18层 | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c5e5db82-51ae-4724-857a-82aafaf0fe91_1000.jpg.296x216.jpg
20201223,嘉定,南翔,精装2居 小区中间位置 保养 采光良好 诚意出售 方便看必看好房,460万,2室2厅 | 80.39平米 | 南 | 精装 | 低楼层(共21层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/820e254f-0f40-4c76-abe1-82a980645781_1000.jpg.296x216.jpg
20201223,嘉定,南翔,婚房装修  精装修  诚意出售  看房方必看好房,288万,1室2厅 | 69.78平米 | 南 | 精装 | 低楼层(共28层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1c3f9e4f-566c-4846-9d0f-602aaa6fd30b_1000.jpg.296x216.jpg
20201223,嘉定,南翔,威廉双南两房 双阳台 精装修 自住保养必看好房,439万,2室2厅 | 88.51平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B2WAN8mkS_1.jpg.296x216.jpg
20201223,嘉定,南翔,品质小区，户型方正，高楼层，对上师大必看好房,550万,2室2厅 | 91.54平米 | 南 | 精装 | 高楼层(共22层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cc32881e-2d32-4019-8281-7b15fe4c56cd_1000.jpg.296x216.jpg
20201223,嘉定,南翔,精装景观2房 邻银翔湖 靠上师大 业主诚心出售必看好房,470万,2室2厅 | 81.31平米 | 南 | 精装 | 高楼层(共19层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a9df5e8b-6d54-4232-81aa-d8ee7d6f4296_1000.jpg.296x216.jpg
20201223,嘉定,南翔,南北通户型  视野好  无遮挡  满五唯一  诚意出售必看好房,298万,3室1厅 | 92.89平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/ea5e9322-8caa-45b1-94d0-ac82c57f37f6_1000.jpg.296x216.jpg
20201223,嘉定,南翔,正气小两房，采光视野好，南翔镇中必看好房,218万,2室1厅 | 54.47平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/93a1e08b-e491-43c7-a10a-ef4c950193ad_1000.jpg.296x216.jpg
20201223,嘉定,南翔,满五唯一，楼层好，带产权车位，看房方便必看好房,375万,2室2厅 | 79.65平米 | 南 北 | 精装 | 高楼层(共11层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KwDEZvWZn_1.jpg.296x216.jpg
20201223,嘉定,南翔,南北通户型好 采光好 使用面积大 看房方便,280万,2室1厅 | 78.29平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/51f1a6df-7716-4433-9cc6-12cfcc95074e_1000.jpg.296x216.jpg
20201223,嘉定,南翔,全新未入住，二次装修 俯瞰菁英湖 小区C位 近地铁商场,630万,3室1厅 | 112.5平米 | 南 北 | 精装 | 中楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c2d1fef1-1f8f-4bda-82b6-0ac34565855c_1000.jpg.296x216.jpg
20201223,嘉定,南翔,双南户型，高楼层视野开阔，采光充足，新上,350万,2室2厅 | 84.18平米 | 南 | 精装 | 高楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0e1d669d-7953-4d6f-9e00-c26ab16545a5_1000.jpg.296x216.jpg
20201223,嘉定,南翔,精装类独栋，诚售，看房方便，位置安静，保养好带电梯房主自荐,2680万,5室3厅 | 415.61平米 | 南 | 精装 | 3层 | 2011年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/9f815992-e9e2-4703-8973-62aa2d808851_1000.jpg.296x216.jpg
20201223,嘉定,南翔,五卧室五书房两厅  满五年唯一 业主诚心出售 带电梯房主自荐,1880万,5室2厅 | 376.68平米 | 南 北 | 精装 | 低楼层(共3层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1ce0c003-9d1b-49b3-b9b2-99fc2baf2a1d_1000.jpg.296x216.jpg
20201223,嘉定,南翔,经典双南一北大三房+楼层适中+居住舒适度高+有钥匙房主自荐,520万,3室2厅 | 136.88平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/66ba2a36-edcd-473d-8300-38ca59c02a52_1000.jpg.296x216.jpg
20201223,嘉定,南翔,11号线南翔站 家乐福超市 多层复式带阁楼,460万,2室1厅 | 72平米 | 东 西南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d38ea8bf-efc8-4a95-a46e-e1bfa4cf3526_1000.jpg.296x216.jpg
