20201223,静安,彭浦,格局好 楼层好 视野宽阔 采光充足 一手动迁必看好房,465万,2室1厅 | 81.32平米 | 南 | 毛坯 | 高楼层(共34层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GJZzEZTn7_1.jpg.296x216.jpg
20201223,静安,彭浦,复式房 满五唯一 精装修 采光好视野开阔 诚意出售必看好房,650万,3室2厅 | 120.65平米 | 南 北 | 精装 | 高楼层(共33层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QdZTbzx9F_2.jpg.296x216.jpg
20201223,静安,彭浦,此房满五唯一使用面积大，新静安近地铁1号线共康路站必看好房,218万,1室1厅 | 41.07平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UDjAuyLdk_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区中楼层 精装修 大一室 低总价必看好房,210万,1室1厅 | 41.66平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DORmH8uWF_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修 南北2房，采光好，近地铁，社区配套成熟必看好房,255万,2室0厅 | 53.61平米 | 南 北 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pUgUn59uI.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户商品房，中间楼层四楼，满五唯一税费少。必看好房,520万,2室2厅 | 102.25平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j5SnojjIY_1.jpg.296x216.jpg
20201223,静安,彭浦,紧靠一号线 通透全明 满五唯一 看房方便 好房不等人必看好房,255万,2室1厅 | 53.15平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UjYGxLhLe_1.jpg.296x216.jpg
20201223,静安,彭浦,房源+小区公园+低楼层+简装一房必看好房,260万,1室1厅 | 52.66平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M8VSCCRO5.jpg.296x216.jpg
20201223,静安,彭浦,二楼楼层低+满五年唯一无个税+产权清晰随时拉产调必看好房,248万,2室1厅 | 48.7平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HR6c0oV5K_1.jpg.296x216.jpg
20201223,静安,彭浦,14年电梯房房龄新+一室一厅+全明+交通便利必看好房,335万,1室1厅 | 56.77平米 | 南 西 北 | 简装 | 低楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tignfgvoz_1.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，朝南一室户，业主精装自住装修，商圈成熟必看好房,195万,1室1厅 | 37.16平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AcjhXL9N4.jpg.296x216.jpg
