20201223,静安,阳城,近静安大融城 行知路地铁站旁的两居室必看好房,448万,2室2厅 | 73.89平米 | 南 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WWkMZeVsT_1.jpg.296x216.jpg
20201223,静安,阳城,中高区楼层南北通透双阳台户型方正 婚房装修拎包入住必看好房,758万,2室2厅 | 100.28平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kd7bnqOdX_1.jpg.296x216.jpg
20201223,静安,阳城,大宁音乐广场+售后公房（税少）+采光无遮挡+配套齐全必看好房,478万,3室1厅 | 86.97平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nz0atLGVM_1.jpg.296x216.jpg
20201223,静安,阳城,业主诚意出售，底下有2.4米镂空层高，采光充足不潮湿必看好房,688万,2室2厅 | 97.72平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O8a8MBTgH_1.jpg.296x216.jpg
20201223,静安,阳城,售后公房没有增值税，一楼带天井，边套全明大两房必看好房,363万,2室1厅 | 67.64平米 | 南 东 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_na61RZzJd_1.jpg.296x216.jpg
20201223,静安,阳城,阳城美景中区南北两房 满五唯一税费少必看好房,630万,2室2厅 | 89.22平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZZX91nK31_1.jpg.296x216.jpg
20201223,静安,阳城,精装修拎包入住 其他楼栋已经装电梯必看好房,257万,1室1厅 | 50.16平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NgC6tMyFr_1.jpg.296x216.jpg
20201223,静安,阳城,总价低南北通两房 楼层好位置安静 交通便利近地铁必看好房,315万,2室1厅 | 52.14平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b1ntZJqli_1.jpg.296x216.jpg
20201223,静安,阳城,精装修，户型正气，产权清晰，无抵押，诚意出售必看好房,230万,1室1厅 | 41.36平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LzUC6gt67_1.jpg.296x216.jpg
20201223,静安,阳城,紧靠大融城，生活便利，房子满五年唯一，税费少必看好房,185万,1室1厅 | 33.72平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1b4Pj109B_1.jpg.296x216.jpg
20201223,静安,阳城,大宁板块唯一全明户型+精致两房+南北格局+得房率高必看好房,321万,2室1厅 | 55.11平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WmRK2u9cu_1.jpg.296x216.jpg
20201223,静安,阳城,静安区，大融城旁，新装修，出行方便，采光无遮挡必看好房,295万,2室1厅 | 50.8平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_HaEwLkto7_1.jpg.296x216.jpg
20201223,静安,阳城,大宁板块+三房一厅，全明户型，户型方正,540万,3室1厅 | 88.85平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aV59Vep8X_1.jpg.296x216.jpg
20201223,静安,阳城,永和丽园 2室1厅 南 北新上,505万,2室1厅 | 70.8平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_THpdMt6bk_1.jpg.296x216.jpg
20201223,静安,阳城,不靠马路 顶楼三层复式 可塑性强 A+vip只在链家成交新上,830万,3室2厅 | 157.42平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8jmIo4Qfh_2.jpg.296x216.jpg
20201223,静安,阳城,业主诚意出售，带22.9平方朝南大院子，视野宽阔有垫高新上,640万,2室2厅 | 94.01平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uOdWk23p1_1.jpg.296x216.jpg
20201223,静安,阳城,一手动迁，电梯高层正气三房，02小区环境好，诚意出售,870万,3室2厅 | 148.62平米 | 南 北 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YSY5QDlDj_1.jpg.296x216.jpg
20201223,静安,阳城,龙潭小区 1室1厅 南,190万,1室1厅 | 35.44平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Enwl9iYpm_1.jpg.296x216.jpg
20201223,静安,阳城,大融城精装两房交通便利拎包入住房主自荐,318万,2室1厅 | 60.8平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MIOFg1szT_1.jpg.296x216.jpg
20201223,静安,阳城,静安大融城地铁7号线，精装修，朝南1居室，拎包入住，房主自荐,340万,1室1厅 | 46.38平米 | 南 | 精装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BSPsWDPnR_1.jpg.296x216.jpg
20201223,静安,阳城,景峰苑 2室1厅 南 北,325万,2室1厅 | 55.32平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eWAgljSKe_1.jpg.296x216.jpg
20201223,静安,阳城,新静安好房源，满五年唯一，小区中间位置，看房方便。房主自荐,690万,2室2厅 | 136.84平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GqxlyfJ6r_1.jpg.296x216.jpg
20201223,静安,阳城,New,精装修两年，天井已搭好，直通大融城，居家养老地房主自荐,308万,2室1厅 | 49.68平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WY1TFaJwI_1.jpg.296x216.jpg
20201223,静安,阳城,楼层好，采光无遮挡，满五唯一房改售房税费低房主自荐,249万,1室1厅 | 41.13平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hxRMvrMyT_1.jpg.296x216.jpg
20201223,静安,阳城,此房位置好，楼层佳，户型正气，精装修，房东诚意出售房主自荐,275万,1室1厅 | 43.96平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SCXP9tZWb_1.jpg.296x216.jpg
20201223,静安,阳城,万荣小区 2室1厅 南,303万,2室1厅 | 53.83平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2bcqsreij_1.jpg.296x216.jpg
