20201223,静安,永和,精装修，南北通透，楼层佳，视野开阔，采光充足必看好房,470万,2室2厅 | 76.61平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3gpGi8Mqc_1.jpg.296x216.jpg
20201223,静安,永和,满五，双南两房一厅，小区“忠”心位置，花园旁，诚意必看好房,263万,2室1厅 | 52.47平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_njRUlqKi0_2.jpg.296x216.jpg
20201223,静安,永和,非顶楼低总价，两房不靠马路精装修诚意出售必看好房,265万,2室0厅 | 48.34平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZYqkU6Zpr_1.jpg.296x216.jpg
20201223,静安,永和,视野采光好，诚意出售，看房方便，产权清晰必看好房,265万,2室1厅 | 54.64平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RawTFrsAl_1.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 2室2厅 南,530万,2室2厅 | 92.6平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GV3e0Bbn3_1.jpg.296x216.jpg
20201223,静安,永和,电梯三房中高楼层，南北通户型带车位，有钥匙随时可看房主自荐,785万,3室2厅 | 113.27平米 | 南 | 简装 | 高楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2e41j7me1_1.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 3室1厅 南 北,526万,3室1厅 | 90.42平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OWspruDYx_1.jpg.296x216.jpg
20201223,静安,永和,翔前小区 2室1厅 南新上,295万,2室1厅 | 58.5平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nZKBhzqXB_1.jpg.296x216.jpg
20201223,静安,永和,房子满五年不唯一 ，业主诚意出售，楼间距大 设施齐全,620万,2室1厅 | 94.5平米 | 南 北 | 简装 | 低楼层(共8层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rdO2MMtar_1.jpg.296x216.jpg
20201223,静安,永和,南北房南北厅，次新房，南北板房，采光好，得房率高房主自荐,580万,2室2厅 | 102.34平米 | 南 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PcrQVTJls_1.jpg.296x216.jpg
20201223,静安,永和,2006年电梯房，精装修，满五唯一，无增值税，一梯2户房主自荐,439万,2室1厅 | 79.91平米 | 南 | 简装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_miEEPJhkz_1.jpg.296x216.jpg
20201223,静安,永和,中间楼层，全明户型，满五唯一，售后公房，上家0税,390万,2室1厅 | 64.55平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0IiOycJ4x_1.jpg.296x216.jpg
20201223,静安,永和,一号线 彭浦新村 三开间朝南 全明户型 婚房装修,418万,2室2厅 | 79.91平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E0F4su9x7_1.jpg.296x216.jpg
20201223,静安,永和,高楼层，通风采光好，视野开阔无遮挡，业主诚心售房.房主自荐,310万,2室1厅 | 65.55平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_thM0aRL8j_1.jpg.296x216.jpg
20201223,静安,永和,静安中环-飞机户型-近地铁-上学方便-小区环境配套具佳房主自荐,507万,3室2厅 | 99.73平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bMrjnU9MI_1.jpg.296x216.jpg
20201223,静安,永和,南北板房，南北厅南北房，一梯两户，次新房，得房率高房主自荐,640万,2室2厅 | 102.4平米 | 南 北 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aHpA9CZMR_1.jpg.296x216.jpg
20201223,静安,永和,顶楼复式 ，南北通透，视野采光好，看房方便,455万,2室2厅 | 85.14平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AHOfmKyYk_1.jpg.296x216.jpg
20201223,静安,永和,户型优质正气，采光好，大三房，近七号线,720万,3室2厅 | 123.11平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c1WsmD3wh_2.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 3室2厅 南,625万,3室2厅 | 117.38平米 | 南 | 毛坯 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZsUoIxTML_1.jpg.296x216.jpg
20201223,静安,永和,中间楼层,视野宽阔,采光充足,配套设施齐全。房主自荐,230万,1室1厅 | 45.53平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WrBLdLZQ4_1.jpg.296x216.jpg
20201223,静安,永和,一梯三户，商品房，楼层好，单价低，业主诚意出售房主自荐,480万,2室2厅 | 91.96平米 | 暂无数据 | 毛坯 | 低楼层(共9层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uwIlkIANn_1.jpg.296x216.jpg
20201223,静安,永和,新静安 一号线 中环旁 中间楼层 双南 户型正气新上,345万,2室1厅 | 59.16平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zQJOLdm2X.jpg.296x216.jpg
20201223,静安,永和,南北通全明户型，楼层好，一梯两户，小区中间位置房主自荐,507万,2室2厅 | 88.64平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qtMAu1Jsw_1.jpg.296x216.jpg
20201223,静安,永和,永和三村 两房中楼层边套全明 阳光可以晒到床上房主自荐,340万,2室1厅 | 59.75平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DV4QHOwuo_1.jpg.296x216.jpg
20201223,静安,永和,户型方正 ，满五唯一，售后公房 配套齐全 诚意出售房主自荐,355万,2室1厅 | 59.56平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zvfnvDO3u_1.jpg.296x216.jpg
