20201223,静安,闸北公园,主推优选+闸北公园+配套齐全，交通便利+业主诚意出售必看好房,185万,1室0厅 | 29.22平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QkKI0qFSV_1.jpg.296x216.jpg
20201223,静安,闸北公园,三开间朝南 ＋ 客厅朝南带大阳台必看好房,730万,2室2厅 | 88.58平米 | 南 | 精装 | 低楼层(共31层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DSxzBHfgA_1.jpg.296x216.jpg
20201223,静安,闸北公园,南北两房，楼层好，近闸北公园，房东诚意出售必看好房,293万,2室0厅 | 45.54平米 | 南 | 精装 | 中楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_biqYbFdKO_1.jpg.296x216.jpg
20201223,静安,闸北公园,南北通透+楼层好    设施齐全  交通便利必看好房,358万,2室1厅 | 58.18平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CKKry6jnW_1.jpg.296x216.jpg
20201223,静安,闸北公园,地铁口+楼层好+朝南一室半+阳台必看好房,238万,1室1厅 | 37.81平米 | 南 | 简装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q3XvCVx8Q_1.jpg.296x216.jpg
20201223,静安,闸北公园,采光视野好，格局方正，边套全明，两房必看好房,380万,2室2厅 | 61.52平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_da6KOGeIk_1.jpg.296x216.jpg
20201223,静安,闸北公园,高区全南大两房+满五唯一+中间位置+采光视野近地铁必看好房,790万,2室2厅 | 88.58平米 | 南 | 精装 | 高楼层(共31层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iq5MRAmor_1.jpg.296x216.jpg
20201223,静安,闸北公园,地铁8号线 闸北公寓 龙之门梦 大润发超市 低总价必看好房,186万,1室0厅 | 30.27平米 | 西 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qRHnFY9H3_1.jpg.296x216.jpg
20201223,静安,闸北公园,嘉利明珠城+小户型+配套齐全+环境优美近地铁必看好房,380万,1室1厅 | 47.02平米 | 南 | 简装 | 低楼层(共32层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JWJ3FqWUs_1.jpg.296x216.jpg
20201223,静安,闸北公园,地铁8和1号线 双南两房带阳台 低总价 诚意出售必看好房,254万,2室1厅 | 42.92平米 | 南 | 精装 | 高楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a4cf9bb6-261d-4189-8e7d-bcddccca4982.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁 中楼层 生活配套设施成熟 闸北公园景观房必看好房,222万,1室1厅 | 29.78平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fg0DBeiBy_1.jpg.296x216.jpg
20201223,静安,闸北公园,边套南北通，采光好得房率高，1号地铁必看好房,247万,1室1厅 | 42.92平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0eb997e8-780c-4b73-abf7-78c1446bdd3b.jpg.296x216.jpg
20201223,静安,闸北公园,店长推荐！！一梯两户三阳台，满五唯一，中间景观楼层新上,680万,2室2厅 | 88.69平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dBrmXvLRJ_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园 低楼层 双南两房 低总价 看房方便新上,265万,2室1厅 | 40.9平米 | 南 | 毛坯 | 低楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PRDYO8MZf_1.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁8号线内环旁 两室明厅  满五唯一公房 看房方便房主自荐,295万,2室1厅 | 53.03平米 | 东 | 简装 | 高楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_se3x4o8nI_1.jpg.296x216.jpg
20201223,静安,闸北公园,洛川东路400弄 闸北公园 满五唯一 南北户型 诚意售,320万,2室1厅 | 47.27平米 | 南 北 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aBaskq86b_1.jpg.296x216.jpg
20201223,静安,闸北公园,售后公房，边户南北两房，全明户型看房方便，置换急出,305万,2室1厅 | 53.04平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a289mS0fJ_1.jpg.296x216.jpg
20201223,静安,闸北公园,低总价带天井采光无遮挡近地铁的住宅房主自荐,246万,1室1厅 | 37.68平米 | 南 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mbavjRbVW_1.jpg.296x216.jpg
20201223,静安,闸北公园,区总推荐：16年小区高区视野+板式南北通+拎包入住房主自荐,1250万,4室2厅 | 142.4平米 | 南 北 | 精装 | 高楼层(共15层) | 2016年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_tHz2qcIbD_1.jpg.296x216.jpg
20201223,静安,闸北公园,两房朝南，双阳台户型，精装修，格局方正,785万,2室2厅 | 96.45平米 | 南 | 其他 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YDVlgXhWU_1.jpg.296x216.jpg
20201223,静安,闸北公园,店长推荐：14年次新南北通洋房带车位，格局好，税少,1820万,4室2厅 | 197.81平米 | 南 | 精装 | 中楼层(共5层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hDt2S7TIP_1.jpg.296x216.jpg
20201223,静安,闸北公园,南北通透格局好，满五年税费少，房主自荐,632万,2室1厅 | 101.8平米 | 南 北 | 精装 | 中楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jg77Sr5Xe_1.jpg.296x216.jpg
20201223,静安,闸北公园,景观楼层，精装两房 拎包入住，采光好 总价低房主自荐,265万,2室0厅 | 41.93平米 | 南 | 精装 | 高楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JYiUxCwIp_1.jpg.296x216.jpg
20201223,静安,闸北公园,高区一室户+配套成熟+近地铁+满五唯一,180万,1室0厅 | 30.39平米 | 南 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8jVyr1Vyt_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五唯一无个税，精装修，一梯两户房主自荐,360万,3室1厅 | 65.6平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/42d795fc447a3122dea8961a51d9a616-089.jpg.296x216.jpg
20201223,静安,闸北公园,精装一房一厅（带大衣帽间）+双地铁1,8号线+中间楼层新上,280万,1室1厅 | 39.37平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rH3yKo6bY_1.jpg.296x216.jpg
20201223,静安,闸北公园,中山北路197弄 大润发 菜场 地铁 配套齐全房主自荐,159.9万,1室1厅 | 25.91平米 | 东 | 简装 | 低楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G1bE6VQw9_1.jpg.296x216.jpg
20201223,静安,闸北公园,新柳公寓 3室2厅 南 北,1076万,3室2厅 | 132.02平米 | 南 北 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BUWkxg9Ka_1.jpg.296x216.jpg
20201223,静安,闸北公园,电梯中高区，视野开阔，全明户型，采光好,680万,3室1厅 | 131.88平米 | 南 | 简装 | 中楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nL2FRnYw1_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园 1号线 背靠大宁 满五唯一 看房方便 诚意出售,285万,1室1厅 | 47.41平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dMgDmnl46_1.jpg.296x216.jpg
20201223,静安,闸北公园,地铁8线 中间楼层，满五年唯一,198万,1室1厅 | 32.86平米 | 东 | 简装 | 中楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gh6bAyUO6_1.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁，一层，带天井，出入方便房主自荐,185万,1室1厅 | 31.6平米 | 南 | 简装 | 低楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zmmJtSdm9_1.jpg.296x216.jpg
20201223,静安,闸北公园,一号线地铁 第十人民医院 全南户型,400万,2室1厅 | 56.72平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_niU9EnHeW_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北板块低层一房 看房方便 诚心出售 价格可谈,230万,1室1厅 | 38.2平米 | 南 | 简装 | 低楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2yMPVArLU_1.jpg.296x216.jpg
20201223,静安,闸北公园,洛川东路400弄小区，南向两室一厅。,368万,2室1厅 | 54.25平米 | 南 北 | 简装 | 高楼层(共7层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tdRnQkPIL_1.jpg.296x216.jpg
20201223,静安,闸北公园,和安小区 1991年小区 闸北公园  售后公房 满五唯一房主自荐,389万,2室1厅 | 65.37平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3lj26PhEz_1.jpg.296x216.jpg
20201223,静安,闸北公园,满二唯一 买进价格高  精装修带地暖 中 央空调 新风,840万,2室2厅 | 90平米 | 西南 | 精装 | 低楼层(共15层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jqeEj2TSN_1.jpg.296x216.jpg
20201223,静安,闸北公园,朝南一室户，采光棒，交通方便，带装修，配套齐全,160万,1室0厅 | 24.34平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XthBuKhOi_1.jpg.296x216.jpg
20201223,静安,闸北公园,店长推荐：内中环，高区电梯两房，纯天然氧吧房主自荐,350万,2室1厅 | 58.4平米 | 西北 | 简装 | 高楼层(共20层) | 1986年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_uv622Xnjq_1.jpg.296x216.jpg
