20201223,金山,金山,精装两房带花园+满五唯一+人车分流+随时可看房必看好房,235万,2室2厅 | 91.87平米 | 北 南 | 精装 | 低楼层(共8层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ihuomzbsu_1.jpg.296x216.jpg
20201223,金山,金山,近万达+金山医院+欧尚商广场+金山必看好房,242万,3室2厅 | 102.21平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XYRdwmR4a_1.jpg.296x216.jpg
20201223,金山,金山,全新装修，带阳光房，这个价格你买不到了，有钥匙看房必看好房,93万,2室1厅 | 57.19平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VwHgNi2h5.jpg.296x216.jpg
20201223,金山,金山,近22号线+价格便宜+首付18万在上海买套房。必看好房,67万,2室1厅 | 53.69平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XrUKfV5XE_1.jpg.296x216.jpg
20201223,金山,金山,绿地品质小区  近万达   中楼层   低总价必看好房,99万,1室2厅 | 64.56平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6D8mqUrno.jpg.296x216.jpg
20201223,金山,金山,降价了，降价了，房子有钥匙，随时来随时看。必看好房,158万,2室2厅 | 88.94平米 | 南 北 | 简装 | 高楼层(共25层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IHoIdT6rI_1.jpg.296x216.jpg
20201223,金山,金山,低总价好楼层户型方正，位置好无遮挡采光巨棒！！！必看好房,52万,1室1厅 | 31平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t5RBkvjYv_1.jpg.296x216.jpg
20201223,金山,金山,方方面面都好：辰凯花苑位置好，楼层好，装修好必看好房,198万,3室2厅 | 101.62平米 | 南 | 精装 | 6层 | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u6zXH4qQQ_1.jpg.296x216.jpg
20201223,金山,金山,海上纳缇 品质社区 电梯洋房 人车分流 精装大三房必看好房,318万,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共8层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S4Tuzo1wO.jpg.296x216.jpg
20201223,金山,金山,22号线金山卫站500米+直达上海南站+业主急售随时看房必看好房,244.8万,3室2厅 | 132.29平米 | 南 | 精装 | 低楼层(共16层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_DBD9PJCN8.jpg.296x216.jpg
