20201223,闵行,春申,银河新都南北两房，客厅朝南，拎包入住！！！！必看好房,370万,2室1厅 | 72.06平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GvZfcImJT_1.jpg.296x216.jpg
20201223,闵行,春申,稀！满五一，诚意出售，采光好，景静雅，新风净水！必看好房,813万,2室2厅 | 95.2平米 | 南 北 | 精装 | 中楼层(共9层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gCMf0tcKL.jpg.296x216.jpg
20201223,闵行,春申,中间楼层带装修，满五唯一税费少。必看好房,275万,1室1厅 | 51.48平米 | 南 | 简装 | 中楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_seCfqjHue_1.jpg.296x216.jpg
20201223,闵行,春申,双南双天井，一楼带大院子，位置安静，满五唯一必看好房,295万,2室1厅 | 61.12平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fXcbCCW4k_1.jpg.296x216.jpg
20201223,闵行,春申,少见的小三房，边套全明，好楼层，随时可看！！必看好房,329万,3室1厅 | 80.69平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HcUxiCVO1_1.jpg.296x216.jpg
20201223,闵行,春申,一楼带花园   两房朝南   看房方便   诚售必看好房,450万,2室2厅 | 75.89平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2AKEanA3K_1.jpg.296x216.jpg
20201223,闵行,春申,大三房飞机户型，位置好，临地铁，近菜场 户型正气必看好房,525万,3室2厅 | 120.83平米 | 南 北 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Szp0LvBTF_1.jpg.296x216.jpg
20201223,闵行,春申,春城高区新上大一房，空间灵动，景观视野好必看好房,608万,1室2厅 | 79平米 | 南 | 简装 | 高楼层(共16层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_acQgXoCZk_1.jpg.296x216.jpg
20201223,闵行,春申,户型稀que，仅ci一套，诚意出售，价格可聊必看好房,599万,3室2厅 | 117.99平米 | 南 | 精装 | 低楼层(共10层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s9IdD3MVC_1.jpg.296x216.jpg
20201223,闵行,春申,诚售 15号线双柏路地铁口 稀有一房 视野开阔 不靠马路必看好房,276万,1室1厅 | 60.5平米 | 南 | 简装 | 高楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kzxhsvR9d_1.jpg.296x216.jpg
20201223,闵行,春申,户型正气，保养好，带中空调地暖，可拎包入住！必看好房,1199万,3室2厅 | 143.89平米 | 南 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Awm7o1V5m_1.jpg.296x216.jpg
20201223,闵行,春申,一手动迁，位置好，临地铁，近菜场 户型正气，边套必看好房,529万,3室2厅 | 124.05平米 | 南 北 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zvAvRd1Ik_1.jpg.296x216.jpg
20201223,闵行,春申,电梯两房，楼层也好。采光好，交通便利，位置好必看好房,818万,2室2厅 | 94.21平米 | 南 北 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DL3bQYvXf_1.jpg.296x216.jpg
20201223,闵行,春申,南北二房 户型正气 装修保养好 诚意出售必看好房,305万,2室1厅 | 73.56平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LJpRr910P_1.jpg.296x216.jpg
20201223,闵行,春申,四期房源、带60㎡左右阁楼、装修可拎包入住、诚意出售必看好房,535万,4室2厅 | 101.17平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LlppmAUrL_1.jpg.296x216.jpg
20201223,闵行,春申,紧挨花园 自住精装修 满五唯一税费少 置换诚意卖必看好房,415万,2室2厅 | 92.17平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9HMyczSNW_1.jpg.296x216.jpg
20201223,闵行,春申,地铁口，普通住宅税费少，居家装修拎包入住必看好房,269万,1室1厅 | 50.81平米 | 南 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L4rpujkf5_1.jpg.296x216.jpg
20201223,闵行,春申,一梯两户、两房朝南、位置安静、好楼层、诚意出售必看好房,305万,2室1厅 | 75.35平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GwVgoSYKD_1.jpg.296x216.jpg
20201223,闵行,春申,一手动迁电梯房，2＋1户型，近地铁，配套齐全必看好房,434万,3室2厅 | 90.93平米 | 南 | 毛坯 | 高楼层(共12层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yskXyVacO_1.jpg.296x216.jpg
20201223,闵行,春申,《精装》本房仅需付契税、拎包入住、寻爽快客户必看好房,374万,2室1厅 | 67.57平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PdNSclLzb_1.jpg.296x216.jpg
20201223,闵行,春申,中海中间位置小三房，绿化好，整洁，品质小区物业管理必看好房,818万,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BMzxE8vhR_1.jpg.296x216.jpg
20201223,闵行,春申,售后公房，税费少，视野采光好，随时可看！！！必看好房,283万,2室1厅 | 75.19平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_noMvaYp5u_1.jpg.296x216.jpg
20201223,闵行,春申,新上精装修双南两房，户型方正+两个储物间必看好房,485万,2室1厅 | 70平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1KKG6nsfT_1.jpg.296x216.jpg
20201223,闵行,春申,高兴花园新上动迁两房，税费少，采光好必看好房,535万,2室1厅 | 70平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KKosHAxER_1.jpg.296x216.jpg
20201223,闵行,春申,房改售房 免/增 五一税少 全明户型 南北通 出行便捷必看好房,468万,2室1厅 | 67.41平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O0lA4GDGG_1.jpg.296x216.jpg
20201223,闵行,春申,临河位置，小区唯一双南户型，采光好，视野好必看好房,430万,2室2厅 | 83.01平米 | 南 | 精装 | 高楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cwXSumzNA_1.jpg.296x216.jpg
20201223,闵行,春申,正气动迁一房，看房方便，你值得拥有必看好房,400万,1室1厅 | 47.56平米 | 南 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UQ5605QUF_1.jpg.296x216.jpg
20201223,闵行,春申,动迁房，税费少，楼层上佳，采光好必看好房,356万,2室1厅 | 69.28平米 | 南 | 毛坯 | 高楼层(共11层) | 2006年建 | 板楼,
20201223,闵行,春申,四期中间位置、带84㎡的阁楼、南北通透、全明户型新上,660万,4室3厅 | 120.25平米 | 南 北 | 精装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pY9hyg4qK_1.jpg.296x216.jpg
20201223,闵行,春申,新上房源！带阁楼！带阁楼！飞机户型！三房两卫！新上,536万,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1aKaISWfg_1.jpg.296x216.jpg
20201223,闵行,春申,超大复式，南北通风，采光无遮挡，带大露台，业主诚心房主自荐,909万,5室3厅 | 234.84平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0pcNW6BAo_1.jpg.296x216.jpg
20201223,闵行,春申,徐汇芳邻 三房两厅两卫 诚心出售 看房方便新上,580万,4室2厅 | 124.68平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kjyQ8l4Uj_1.jpg.296x216.jpg
20201223,闵行,春申,精装三房，保养精致，高档社区居中位置！,1250万,3室2厅 | 144.89平米 | 南 北 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OTmTqoC9q_1.jpg.296x216.jpg
20201223,闵行,春申,楼层位置佳，装修棒！满五唯一税费少！诚意出售！！！房主自荐,970万,2室2厅 | 103.73平米 | 南 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fhddMVuuV_1.jpg.296x216.jpg
20201223,闵行,春申,此房为动迁房，无增值税，一年精装修，采光好新上,526万,2室1厅 | 74.57平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zofg1jxX3_1.jpg.296x216.jpg
20201223,闵行,春申,【链家独售】六期电梯房！南花园临水！有钥匙随时看！,2900万,4室2厅 | 481.89平米 | 南 | 毛坯 | 3层 | 2010年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_qFtDvvDL2_1.jpg.296x216.jpg
