20201223,闵行,古美,全新装修 随时看 全屋中yang空调 直达梦想家 未住过必看好房,623万,3室2厅 | 99.24平米 | 南 | 精装 | 中楼层(共5层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/241694f9-4a07-4abf-a635-1ca70e490f2f_1000.jpg.296x216.jpg
20201223,闵行,古美,四周皆绿化、落地公园窗景、无遮挡、采光、视野无忧必看好房,578万,2室2厅 | 86.7平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d5f0c73d-1e45-4056-a304-00d6a3b80e16_1000.jpg.296x216.jpg
20201223,闵行,古美,莲花公寓(闵行) 2室2厅 南必看好房,510万,2室2厅 | 83.35平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0d015ec8-ee1b-40c0-a286-e8aa57e7ed0c_1000.jpg.296x216.jpg
20201223,闵行,古美,小区唯一电梯两房 南北通 地铁500米必看好房,651万,2室2厅 | 108.53平米 | 南 | 简装 | 中楼层(共12层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zfEjY6onp_1.jpg.296x216.jpg
20201223,闵行,古美,店长推荐，A++房源，楼层好，诚意售出必看好房,299万,1室1厅 | 54.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ef412fe9-08e5-4f1a-82ad-67e073900cbe_1000.jpg.296x216.jpg
20201223,闵行,古美,12号线，全明小户型，一梯两户，满五年，诚意出售必看好房,285万,1室1厅 | 49.96平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a6e414d8-1dc2-423b-8f6f-4d66bbfa1350_1000.jpg.296x216.jpg
20201223,闵行,古美,地铁1号线，安静位置中楼层，双南全明户型，好位置必看好房,380万,2室1厅 | 61.01平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3a88a353-23d9-43d9-8447-b14ba55a7c91_1000.jpg.296x216.jpg
20201223,闵行,古美,全屋地暖，品牌家具家电，一手样板房，近地铁1号线必看好房,339万,1室1厅 | 47.36平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d03ad07b-5a21-4b51-b4f2-1b6a46269316_1000.jpg.296x216.jpg
20201223,闵行,古美,万源城E1 2室2厅 南必看好房,750万,2室2厅 | 103.04平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a1f86ec5-9093-419f-a789-e4716bda8d7d_1000.jpg.296x216.jpg
20201223,闵行,古美,沿河中间好楼层    全明户型  采光无遮挡  看房方便必看好房,355万,2室1厅 | 55.79平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d1dd02a6-59f4-4b14-a1a7-2c97f8d16c2a_1000.jpg.296x216.jpg
20201223,闵行,古美,采光优良景观大三房，带阁楼罕见户型必看好房,818万,3室2厅 | 132.19平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/53dcb2b4-81bb-47ec-a136-cec38d528212_1000.jpg.296x216.jpg
20201223,闵行,古美,带上您的行李直达您未来的家，我在这里等您前来鉴赏必看好房,490万,2室2厅 | 88.91平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b5da5021-f4f4-45da-bebb-a84b730b89d9_1000.jpg.296x216.jpg
20201223,闵行,古美,小户型双南两房，近地铁，可普通宅，商圈配套成熟必看好房,378万,2室1厅 | 62.06平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/316bd9b4-a292-4754-aaba-a2a16b49920d_1000.jpg.296x216.jpg
20201223,闵行,古美,平南二村：地铁400米+小区绿化35%+楼层好+双南2房必看好房,485万,2室1厅 | 70.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7EWGPg8So_1.jpg.296x216.jpg
20201223,闵行,古美,店长推荐+俯瞰东方明珠高区景观房+低单价电梯房必看好房,389万,2室1厅 | 98.93平米 | 东 | 简装 | 高楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-2be86f6c-fefb-4ec3-951e-6a5df7ae2a11.jpg.296x216.jpg
20201223,闵行,古美,此房满五年，楼层好，业主诚售，三房一卫必看好房,695万,3室2厅 | 103.98平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IqEPm1I8J_1.jpg.296x216.jpg
20201223,闵行,古美,全明一房，满五唯一，业主诚心出售，方便看房必看好房,315万,1室1厅 | 50.07平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7b4d8121-a084-4e2c-8a4b-a738dbd5045a_1000.jpg.296x216.jpg
20201223,闵行,古美,直达未来的家 ，全新品牌家具家电，拎包入住，钱排必看好房,313万,1室1厅 | 54.52平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58c36e1d-63dd-4aa2-942f-38e5023f2bc0_1000.jpg.296x216.jpg
20201223,闵行,古美,售后公房无增值税，满五年税费少，一梯两户小三房必看好房,425万,3室1厅 | 76平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/489d5277-db52-45d3-8a62-1d323cfde84d_1000.jpg.296x216.jpg
20201223,闵行,古美,三开间全明格局，飞机户型正气南北通风，低楼层必看好房,770万,3室2厅 | 133.84平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l0SCxVvXC_1.jpg.296x216.jpg
20201223,闵行,古美,虹梅路地铁口，双南两房，户型方正，楼层好，采光好必看好房,575万,2室1厅 | 77.01平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N8etwEgtZ_1.jpg.296x216.jpg
20201223,闵行,古美,有氧森林式别墅，地处闹中取静，近地铁9号线，满五年必看好房,1836万,4室2厅 | 210.18平米 | 南 北 | 精装 | 3层 | 2004年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_UWXPSh5Py_1.jpg.296x216.jpg
20201223,闵行,古美,位置安静 3房朝南 带固定车位 业主信任 一家委托必看好房,1120万,3室2厅 | 136.09平米 | 南 | 简装 | 低楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0e1a4ca2-446b-486a-8f99-384234620a8b_1000.jpg.296x216.jpg
20201223,闵行,古美,高区河景房、低总价、房东诚心出售、随时签字必看好房,560万,2室2厅 | 86.76平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/db413cbc-123b-45f7-bfd0-320c22ecb41c_1000.jpg.296x216.jpg
20201223,闵行,古美,A地铁1号线大三房两卫下面是地下车库,阳光充足无遮挡必看好房,808万,3室2厅 | 135.28平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KHlWEoAGl_1.jpg.296x216.jpg
20201223,闵行,古美,徐汇三房，20万装修，中间楼层，位置好。必看好房,398万,3室1厅 | 70.38平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ed4d835f-cf40-40fe-9ad3-8727490095d4_1000.jpg.296x216.jpg
20201223,闵行,古美,小区环境好，位置安静不靠马路，楼层佳必看好房,495万,2室2厅 | 80.23平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cd8f4f28-3597-4fc9-aab2-cafa08ec6fd3_1000.jpg.296x216.jpg
20201223,闵行,古美,电梯大一房，03年商品房，邻九星，附带露台。必看好房,270万,1室1厅 | 52.49平米 | 南 | 简装 | 低楼层(共7层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wpUvN6273_1.jpg.296x216.jpg
20201223,闵行,古美,精装两室 位置好 售后公房 两开间朝南 落地阳台必看好房,418万,2室1厅 | 68.52平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ec23812c-1d32-44da-bb68-9c830e0593da_1000.jpg.296x216.jpg
20201223,闵行,古美,精装修，两房全明，视野宽阔，采光充足，配套齐全r必看好房,325万,2室1厅 | 61.45平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AXmqJcb17_1.jpg.296x216.jpg
20201223,闵行,古美,三开间朝南  中间楼层  采光无遮挡  舒适安逸必看好房,724万,2室2厅 | 105.05平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GjZcAVWVo_1.jpg.296x216.jpg
20201223,闵行,古美,此房买进309，税费低，位置好楼层好，全屋地暖。必看好房,458万,2室1厅 | 72.92平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c4308d9a-c723-47ef-aae0-082bfbbeb328_1000.jpg.296x216.jpg
20201223,闵行,古美,东兰小区 1室1厅 南必看好房,256.9万,1室1厅 | 48.4平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kKF0ZdORF_1.jpg.296x216.jpg
20201223,闵行,古美,满五唯一税费少，中X楼层性价高，南北通透大两房；必看好房,580万,2室2厅 | 86.59平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2a9e6607-0cc8-44e6-a526-cf9a7c119114_1000.jpg.296x216.jpg
20201223,闵行,古美,位置安静 双卧南 客厅朝南 采光好 户型方正 满五唯一必看好房,445万,2室1厅 | 75.25平米 | 南 | 精装 | 低楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5bd6854-46d0-45d2-955c-87adb64c79c7_1000.jpg.296x216.jpg
20201223,闵行,古美,家的选择，小区央座，金典小两房户型，总价低税费少。必看好房,350万,2室1厅 | 58.41平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/42c436d8-9bd4-4025-8d7c-8a919d731a5f_1000.jpg.296x216.jpg
20201223,闵行,古美,店长推荐：新上架正气两房 采光好 近地铁12号线 税少必看好房,646万,2室2厅 | 98平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UziJr2yVU_1.jpg.296x216.jpg
20201223,闵行,古美,春意苑 3室1厅 南必看好房,895万,3室1厅 | 135.24平米 | 南 | 精装 | 高楼层(共7层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_979KFcuo2_1.jpg.296x216.jpg
20201223,闵行,古美,小三房，中间楼层，采光视野俱佳，近地铁1号线必看好房,575万,3室2厅 | 101.91平米 | 南 | 简装 | 中楼层(共24层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eLebBoc91_1.jpg.296x216.jpg
20201223,闵行,古美,楼梯房顶楼复式+露台，实用面积大，近12号线顾戴路站必看好房,780万,3室2厅 | 145.82平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_b7n3N90b5_1.jpg.296x216.jpg
20201223,闵行,古美,18年新小区，精装修，可拎包入住，交通方便，配套成熟必看好房,1150万,3室2厅 | 95.99平米 | 南 | 精装 | 中楼层(共12层) | 2019年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PYTKhFzg6_1.jpg.296x216.jpg
20201223,闵行,古美,创意无限精装修一房，合理空间利用，年轻人拎包住必看好房,232万,1室1厅 | 39.22平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tTp1WBta7_1.jpg.296x216.jpg
20201223,闵行,古美,沿河景观房，南北双阳台，房型方正必看好房,748万,2室2厅 | 108.76平米 | 南 | 毛坯 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TkP9LEwX0_1.jpg.296x216.jpg
20201223,闵行,古美,电梯房，小2房，紧凑型，总价低，近地铁，必看好房,430万,2室1厅 | 64.07平米 | 南 | 简装 | 中楼层(共17层) | 2006年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_sYHcu694P_1.jpg.296x216.jpg
20201223,闵行,古美,小区唯一在售小复式，满五唯一，小区中间，位置安静必看好房,378万,2室2厅 | 90.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b655b73d-141e-4f96-9fd5-8dee08e41529.jpg.296x216.jpg
20201223,闵行,古美,西校品质小区好两房，随时看房，税费少必看好房,680万,2室2厅 | 110.93平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MeNcY1FsC_1.jpg.296x216.jpg
20201223,闵行,古美,近商圈地铁，南北通全明三房，一年多精装修，拎包入住必看好房,518万,3室1厅 | 85.87平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7ca1dcd9-fa59-4961-93d9-4716fa29eeef_1000.jpg.296x216.jpg
20201223,闵行,古美,6米挑空顶楼复式，观古美全景，远眺陆家嘴三件套！必看好房,2520万,6室3厅 | 280.63平米 | 东 南 | 精装 | 高楼层(共23层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QOGZKOFMG_1.jpg.296x216.jpg
20201223,闵行,古美,满五唯一 中间楼层 近地铁 全明户型 朝南两房必看好房,435万,2室1厅 | 67.64平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b7b2fc7b-a868-42d7-8ab2-3affe7239496_1000.jpg.296x216.jpg
20201223,闵行,古美,近地铁，满五税少，位置好，楼层好，采光好必看好房,404万,1室1厅 | 40.32平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6c6453fa-a6f1-40d1-92c2-909bf4213ad6.png.296x216.jpg
20201223,闵行,古美,唯一高区景观精装小两房，买进价高，拎包入住必看好房,760万,2室2厅 | 72.34平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7ff3c763-003d-453f-8e8c-de7a57e8f445.png.296x216.jpg
20201223,闵行,古美,此房户型方正，采光好通风足。一梯两户中间楼层必看好房,490万,2室1厅 | 87.5平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4be0cc10-689d-4a72-9ed5-1244b7d54651.png.296x216.jpg
20201223,闵行,古美,高区地铁景观房+户型正气+满五唯一必看好房,760万,2室2厅 | 102.71平米 | 南 北 | 简装 | 中楼层(共14层) | 2005年建 | 板楼,
20201223,闵行,古美,阳光乾城苑(公寓) 2室2厅 南必看好房,780万,2室2厅 | 109.14平米 | 南 | 精装 | 高楼层(共7层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gHhgrg0up_1.jpg.296x216.jpg
