20201223,闵行,金虹桥,别墅小区明申花园正三房位置居中采光充足看房便捷必看好房,940万,3室2厅 | 142.61平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0yi5SCwwf_1.jpg.296x216.jpg
20201223,闵行,金虹桥,电梯高区+景观视野超群+户型正气+产权清晰+屋况良好必看好房,880万,3室2厅 | 146.7平米 | 西南 | 精装 | 高楼层(共14层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xfxzhsazO_1.jpg.296x216.jpg
20201223,闵行,金虹桥,税费少，两房朝南，高区视野，户型方正，精装修！必看好房,739万,3室2厅 | 121.95平米 | 南 | 精装 | 高楼层(共18层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_xtrr63asF_1.jpg.296x216.jpg
20201223,闵行,金虹桥,双卧朝南，小区中间位置，卧室带阳台采光好，户型方正必看好房,499万,2室2厅 | 77.75平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8XN1QILB7_1.jpg.296x216.jpg
20201223,闵行,金虹桥,小区中间位置，次顶楼，采光好，满五唯一必看好房,275万,1室1厅 | 53.66平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a4agsvPs6.jpg.296x216.jpg
20201223,闵行,金虹桥,户型正气，南北格局，实用两房，精装修，外立面新必看好房,499万,2室2厅 | 86.59平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P6wHeG8Vw_1.jpg.296x216.jpg
20201223,闵行,金虹桥,精装修，户型好采光好，诚意出售必看好房,569万,2室2厅 | 101.13平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2QQgvBvil_1.jpg.296x216.jpg
20201223,闵行,金虹桥,金虹桥总价zhui低电梯两房，好楼层，精装修，近期必售必看好房,586万,2室1厅 | 87.62平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yZkmJr8Pq_1.jpg.296x216.jpg
20201223,闵行,金虹桥,安静位置，户型方正，落地窗，采光无限好，欧式精装必看好房,820万,2室2厅 | 104.53平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_esluluc9c_1.jpg.296x216.jpg
20201223,闵行,金虹桥,诚意笋盘，中环刚需房，业主诚意出售，看房提前预约必看好房,290万,1室1厅 | 51.58平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FDrNLDe7X_1.jpg.296x216.jpg
20201223,闵行,金虹桥,地铁200米 中间楼层 小区中间位置 满五唯一税少必看好房,496万,2室1厅 | 76.48平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dY3yPQLwt_1.jpg.296x216.jpg
20201223,闵行,金虹桥,高区两房，视野宽阔采光充足，满五唯一没有个税！必看好房,658万,2室2厅 | 97.9平米 | 南 | 简装 | 高楼层(共18层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_KudiB0QEs_1.jpg.296x216.jpg
20201223,闵行,金虹桥,近漕河泾，中间楼层，南北两房，小区干净整洁，近地铁必看好房,330万,2室1厅 | 58.29平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KKvxo9KIb_1.jpg.296x216.jpg
20201223,闵行,金虹桥,刚需小三房！满五唯一，采光充足，产权干净！必看好房,630万,3室2厅 | 104.78平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BSSymE7ea_1.jpg.296x216.jpg
20201223,闵行,金虹桥,全明户型，婚房装修。古北国际社区旁，闹中取静。必看好房,585万,3室1厅 | 85.5平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mRErNQJqk_1.jpg.296x216.jpg
20201223,闵行,金虹桥,3开间朝南，两房朝南，客厅朝南，采光好，看房方便新上,740万,2室1厅 | 100.56平米 | 南 | 简装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZQFWguA7V_1.jpg.296x216.jpg
20201223,闵行,金虹桥,满五唯一，带有花园的大三房，户型好,800万,3室1厅 | 139.2平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_juQigKMAn_1.jpg.296x216.jpg
20201223,闵行,金虹桥,中环内 别墅小区 电梯三房 板式户型 采光好,758万,3室2厅 | 122.03平米 | 南 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hh1CD7UvK_1.jpg.296x216.jpg
20201223,闵行,金虹桥,位置楼层好，税费极少，装修一年多保养好，打包价合适,860万,3室2厅 | 102.16平米 | 南 | 精装 | 中楼层(共8层) | 1998年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_j2enhmySE_1.jpg.296x216.jpg
20201223,闵行,金虹桥,满五唯一，3+1房，高区采光好，不靠中环，看房方便,1120万,3室2厅 | 155平米 | 南 | 精装 | 中楼层(共8层) | 1998年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_6M2ByV143_1.jpg.296x216.jpg
20201223,闵行,金虹桥,精装修+干挂石材品质+万科物业管理+国际社区风范新上,930万,2室2厅 | 86.48平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6vCYHEqlR_1.jpg.296x216.jpg
20201223,闵行,金虹桥,近内环 地铁400米 南北通 全明户型 业主诚售新上,710万,2室2厅 | 106.03平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X986UMo5b_1.jpg.296x216.jpg
20201223,闵行,金虹桥,全明户型，位置安静，交通方便，环境幽静。,850万,3室2厅 | 111.07平米 | 南 | 其他 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EJJjU2390_1.jpg.296x216.jpg
20201223,闵行,金虹桥,地铁200米 中间楼层小区中间位置满五唯一税少得房率高,580万,2室1厅 | 76.48平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dGIt1OX5Y_1.jpg.296x216.jpg
20201223,闵行,金虹桥,1998年竣工，一梯两户，户型很方正，满五年唯一新上,320万,1室1厅 | 57.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v3lSg4Tp0_1.jpg.296x216.jpg
20201223,闵行,金虹桥,金虹桥南北两房，通风好，采光佳，满五唯一房主自荐,485万,2室2厅 | 90.63平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6pJ7ANDiX_1.jpg.296x216.jpg
20201223,闵行,金虹桥,高区采光好，看房方便，满五唯一税费少，价格可沟通！房主自荐,760万,3室2厅 | 121.72平米 | 南 | 精装 | 高楼层(共18层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-f00eb03c-1c9e-4068-8537-e3376b63225a.jpg.296x216.jpg
20201223,闵行,金虹桥,L型四合院式纯独栋，聚气聚财，套间设计，760平米占地,4000万,5室3厅 | 437.11平米 | 南 | 精装 | 3层 | 1997年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_XAjChllcF_1.jpg.296x216.jpg
20201223,闵行,金虹桥,满五唯一，无个税，新装修，全屋地暖,980万,3室2厅 | 159.59平米 | 东南 | 精装 | 低楼层(共8层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_7lOaubYEZ_1.jpg.296x216.jpg
20201223,闵行,金虹桥,大客厅，明亮户型，闹钟取静，业主诚意售,660万,3室2厅 | 141平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qq98UwRW1_1.jpg.296x216.jpg
20201223,闵行,金虹桥,楼中楼，中间位置，视野开阔，有车位，随时看！,1425万,4室2厅 | 224.42平米 | 南 | 简装 | 中楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KxQnF7C1p_1.jpg.296x216.jpg
20201223,闵行,金虹桥,东边套全明Xi售+大客厅翩翩起舞+1梯2户+中间楼层,814万,3室2厅 | 157.71平米 | 南 | 简装 | 中楼层(共13层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hHATkBQyb_1.jpg.296x216.jpg
20201223,闵行,金虹桥,2005年高品质小区+楼层好+南北飘窗,860万,3室2厅 | 139.19平米 | 南 北 | 简装 | 中楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v8TTDvfBN_1.jpg.296x216.jpg
20201223,闵行,金虹桥,地铁200米 中间楼层 精装修小区中间位置 满五唯一税少房主自荐,750万,3室2厅 | 113.39平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_doEwcnJ6O_1.jpg.296x216.jpg
