20201223,闵行,金汇,金汇品质小区，小区三期飞机户型，全明户型看房方便。必看好房,810万,3室2厅 | 135.36平米 | 南 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vKDPDuzu2_1.jpg.296x216.jpg
20201223,闵行,金汇,明星商品房，得房率高，大客厅，大主卧，南北双阳台必看好房,810万,4室2厅 | 179.72平米 | 南 | 精装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qt8RqZ8dj_1.jpg.296x216.jpg
20201223,闵行,金汇,准电梯房！4年30万精装修，近10号线，配套成熟，税少必看好房,580万,2室2厅 | 86.6平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uW0oPLDuK_1.jpg.296x216.jpg
20201223,闵行,金汇,精装修 满五唯一  45平面积不计入产证 带协议车位必看好房,848万,3室2厅 | 121.96平米 | 南 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ENHw2O7im_1.jpg.296x216.jpg
20201223,闵行,金汇,户型正气，诚意出售，满五年税少，采光很棒必看好房,845万,3室2厅 | 135.92平米 | 南 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5YBvvlh05_1.jpg.296x216.jpg
20201223,闵行,金汇,带产权车位，户型正气，精装修，交通方便，配套齐全.必看好房,940万,3室2厅 | 141.69平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b7fCaHaL2_1.jpg.296x216.jpg
20201223,闵行,金汇,三开间朝南西边套，主卧转角飘窗，落地窗采光好。必看好房,885万,3室2厅 | 134.95平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4OslS8rRV_1.jpg.296x216.jpg
20201223,闵行,金汇,唯一沿河位置高区错卧室3房，满五唯一、卖得就是实惠必看好房,1180万,3室2厅 | 141.87平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OzHK5k4hq_1.jpg.296x216.jpg
20201223,闵行,金汇,韩国街边总价低小户型，只此一套，房龄新！环境优美必看好房,465万,1室1厅 | 62.32平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2JQE33CKW_1.jpg.296x216.jpg
20201223,闵行,金汇,02年电梯房小区 经典三房户型 业主诚心出售 看房方便必看好房,860万,3室2厅 | 122.57平米 | 南 | 精装 | 低楼层(共9层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8AX6lt5PH_1.jpg.296x216.jpg
20201223,闵行,金汇,7字开头三房，满五年唯一，飞机户型，采光充足。必看好房,730万,3室1厅 | 101.45平米 | 南 | 精装 | 低楼层(共9层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8b318657-566f-499b-9754-d5ffd735b7e1.jpg.296x216.jpg
20201223,闵行,金汇,韩国街，精装修一房，业主诚意出售，看房方便，必看好房,368万,1室1厅 | 54.14平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LckHb7RId_1.jpg.296x216.jpg
20201223,闵行,金汇,金汇华光城 4室2厅 南必看好房,1036万,4室2厅 | 160.25平米 | 南 | 精装 | 低楼层(共12层) | 2000年建 | 板楼,
20201223,闵行,金汇,金汇少有大平层，空间格局灵活，随心设计，随性居住必看好房,810万,4室2厅 | 195.7平米 | 南 | 毛坯 | 中楼层(共5层) | 1996年建 | 板楼,
20201223,闵行,金汇,金汇精品复式，高区花园视野，爱琴海万象城，满五唯一房主自荐,697万,4室2厅 | 128.13平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uM3FMIZgC_1.jpg.296x216.jpg
20201223,闵行,金汇,电梯一房，配备齐全，品质外销房房主自荐,156万,1室0厅 | 30平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-378d89a8-ac17-4063-aeb2-ca632cbc0941.png.296x216.jpg
