20201223,闵行,老闵行,楼层好，位置好，房东诚心出售。必看好房,540万,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共28层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k8Lwy0Cy3_1.jpg.296x216.jpg
20201223,闵行,老闵行,新上房源，双南户型，一梯二户，双院子，业主诚意出售必看好房,208万,2室1厅 | 56.09平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xEv8MTTRy_1.jpg.296x216.jpg
20201223,闵行,老闵行,双南小户型，总价低，采光好，业主诚心出售。必看好房,164.9万,2室1厅 | 57.55平米 | 南 | 简装 | 高楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cykQEurz4_1.jpg.296x216.jpg
20201223,闵行,老闵行,1996年房龄，一梯两户，精装修，居家两室户，刚需必选必看好房,183万,2室1厅 | 55.37平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_691TjnXDm_1.jpg.296x216.jpg
20201223,闵行,老闵行,交通便利、楼层好、精装修、业主诚意出售必看好房,110万,1室1厅 | 35.07平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aByNSZWqT_1.jpg.296x216.jpg
20201223,闵行,老闵行,地铁5号线，南北小户型，采光通风好，业主诚意出售必看好房,152万,1室1厅 | 54.16平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YyKqhmzXu_1.jpg.296x216.jpg
20201223,闵行,老闵行,花园位置，中间楼层，正南一房，有钥匙，业主诚心卖必看好房,129.8万,1室1厅 | 42.85平米 | 南 | 简装 | 中楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p2t4mZhcp_1.jpg.296x216.jpg
20201223,闵行,老闵行,2001年房龄，满五唯一，中间位置，诚心出售！必看好房,410万,2室2厅 | 83.69平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ce7fbbee-602f-4d17-adf3-1045c8fd300c_1000.jpg.296x216.jpg
20201223,闵行,老闵行,金平路地铁口，低楼层精装修两房，拎包入住必看好房,220万,2室1厅 | 56.17平米 | 南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q59jM21tU_1.jpg.296x216.jpg
20201223,闵行,老闵行,只在链家卖，罕见复式，双轨交通，虹桥直达公通必看好房,1130万,5室2厅 | 183.45平米 | 南 北 | 精装 | 高楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9AKDvX4Ej_1.jpg.296x216.jpg
20201223,闵行,老闵行,全明户型，南北通两房，采光好，楼层好必看好房,319.8万,2室2厅 | 87.79平米 | 南 | 精装 | 中楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VhOug9SFe_1.jpg.296x216.jpg
20201223,闵行,老闵行,中间楼层 位置好 总价低 一室一厅 靠江川路地铁急卖必看好房,140万,1室1厅 | 39.53平米 | 南 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hIZZ7o8oc_1.jpg.296x216.jpg
20201223,闵行,老闵行,房子视野开阔，采光无遮挡，位于小区安静必看好房,345万,2室2厅 | 94.79平米 | 南 | 精装 | 低楼层(共16层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C5hiLaXKs_1.jpg.296x216.jpg
20201223,闵行,老闵行,品翠苑南北通大两房，房东多次上门沟通诚意出售必看好房,408万,2室2厅 | 92.69平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GOSbLsB9a_1.jpg.296x216.jpg
20201223,闵行,老闵行,江景房，视野宽阔，房间朝南，采光好，满五唯一必看好房,330万,2室2厅 | 76.44平米 | 南 | 简装 | 高楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e192d635-4b91-44b4-b4b6-3f7a48e65660_1000.jpg.296x216.jpg
20201223,闵行,老闵行,普通住宅税费少，简单装修，带花园，配套成熟必看好房,132万,1室1厅 | 35.75平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9aUj8FmSI_1.jpg.296x216.jpg
20201223,闵行,老闵行,夏朵电梯三房，满五唯一免个税，房屋保养得当必看好房,360万,3室2厅 | 117.23平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VEr4IZpYY_1.jpg.296x216.jpg
20201223,闵行,老闵行,采光好，价格可以谈，房东诚心出售，满五年唯一，必看好房,144.6万,2室1厅 | 51.26平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gXbiFqQZh_1.jpg.296x216.jpg
20201223,闵行,老闵行,置换的，随时可签，出行方便，价格实惠，随时可谈必看好房,245万,3室1厅 | 83.33平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vxdRmnGNZ_1.jpg.296x216.jpg
20201223,闵行,老闵行,好户型 诚意出售 视野开阔 位置比较好必看好房,318万,2室2厅 | 82.25平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FW83BDcAE_1.jpg.296x216.jpg
20201223,闵行,老闵行,一楼带院子自住精装修小区环境好必看好房,405万,2室2厅 | 107.01平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lfxqKbLi5_1.jpg.296x216.jpg
20201223,闵行,老闵行,房东出售，价格可谈。1994年龄必看好房,182万,2室1厅 | 54.46平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pnnCgd8FR_1.jpg.296x216.jpg
20201223,闵行,老闵行,税费少 中楼层 全明户型 诚心出售必看好房,205万,2室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yp7sUgIvI_1.jpg.296x216.jpg
20201223,闵行,老闵行,急 急 急精装修，看房方便，诚意出售必看好房,303万,2室2厅 | 81.84平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_cbgUBQMQf_1.jpg.296x216.jpg
20201223,闵行,老闵行,视野好，南北户型，满五唯一，节省7万个税必看好房,385万,2室2厅 | 90.35平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wc0d7x6ef_1.jpg.296x216.jpg
