20201223,闵行,龙柏,笋盘在售，采光刺眼，户型方正，南北双阳台格局好必看好房,809万,2室2厅 | 105.63平米 | 南 | 精装 | 中楼层(共9层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0yiEQf585_1.jpg.296x216.jpg
20201223,闵行,龙柏,2010年电梯房 精装带地暖 边套全明 10号线430米万象城必看好房,715万,3室2厅 | 102.06平米 | 南 | 精装 | 中楼层(共8层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vqCGV11iJ_1.jpg.296x216.jpg
20201223,闵行,龙柏,少有三房有两个露台80平，新装修拎包入住，高品质小区必看好房,945万,3室2厅 | 122.39平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JUQoDuv1g_1.jpg.296x216.jpg
20201223,闵行,龙柏,采光刺眼  双南11㎡大阳台  买入价高满五唯一  巴适必看好房,618万,1室2厅 | 71.27平米 | 南 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lbvjpPKAa_1.jpg.296x216.jpg
20201223,闵行,龙柏,客厅朝南带阳台，南北通户型，精装修，近地铁520米必看好房,466万,2室1厅 | 72.27平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ao3POhKda.jpg.296x216.jpg
20201223,闵行,龙柏,地铁口300米，精装修，采光充足，诚意出手看房方便必看好房,335万,2室1厅 | 58.37平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UlwssGkS1_1.jpg.296x216.jpg
20201223,闵行,龙柏,田园式小区  小桥竹林 正气三房  近地铁必看好房,798万,3室2厅 | 112.74平米 | 南 | 简装 | 低楼层(共10层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ujnQxf59N_1.jpg.296x216.jpg
20201223,闵行,龙柏,售后公房，南北通风，卧室全朝南，视野宽阔，采光充足必看好房,458万,3室1厅 | 96.18平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WLDbnTUAm_1.jpg.296x216.jpg
20201223,闵行,龙柏,紫藤居唯一高楼层视野很好  买进价高，税费低必看好房,580万,1室1厅 | 66.99平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TLqPqOiTA_1.jpg.296x216.jpg
20201223,闵行,龙柏,三开间朝南，超正户型，高层电梯房。必看好房,765万,2室2厅 | 105.54平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_16FF526Me_1.jpg.296x216.jpg
20201223,闵行,龙柏,一到七村里稀有商品房大一房 近花园 楼层好 税费少必看好房,311万,1室1厅 | 56.54平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y1i4WLYX8_1.jpg.296x216.jpg
20201223,闵行,龙柏,西边套 全明户型三房 得房率高 总价低 置换诚意出售必看好房,399万,3室1厅 | 76.46平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zu5bPErY6_1.jpg.296x216.jpg
20201223,闵行,龙柏,龙柏香榭苑 南北大两房 满五年唯一 业主诚意出售必看好房,678万,2室2厅 | 89.04平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WZpeAf02O_1.jpg.296x216.jpg
20201223,闵行,龙柏,协议车库车位+3.8米宽客厅+采光佳+位置好+诚意出售必看好房,425万,2室1厅 | 76.3平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WUctPgu3H_1.jpg.296x216.jpg
20201223,闵行,龙柏,地铁口双南两房，一楼精装修，前后无遮挡，带大花园必看好房,430万,2室1厅 | 63.88平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Xh6DBKvK6_1.jpg.296x216.jpg
20201223,闵行,龙柏,俯瞰小区，满五唯一，自如装修，交通便利，配套齐全必看好房,380万,2室1厅 | 66.5平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zhS2Qglej_1.jpg.296x216.jpg
20201223,闵行,龙柏,一楼带花园，精装修南北格局，采光通风很好必看好房,259万,1室1厅 | 43.75平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0aoDZZBgp_1.jpg.296x216.jpg
20201223,闵行,龙柏,电梯高区  采光刺眼  视野景观佳  房型正气 得房率高必看好房,680万,2室1厅 | 101.49平米 | 南 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iVdgw3vwe_1.jpg.296x216.jpg
20201223,闵行,龙柏,售后公房，小区中部，景观楼层，双南户型，采光很好新上,380万,2室1厅 | 61.61平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JDSUwLlSt_1.jpg.296x216.jpg
20201223,闵行,龙柏,龙柏四季花园 4室2厅 南 北,1550万,4室2厅 | 191.98平米 | 南 北 | 精装 | 高楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KGwa7HmrT_1.jpg.296x216.jpg
20201223,闵行,龙柏,买进价高，税费少，房龄新，业主诚意出售，,450万,2室2厅 | 74平米 | 北 | 精装 | 中楼层(共9层) | 2017年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9pScxDj5n_1.jpg.296x216.jpg
20201223,闵行,龙柏,龙柏一村 2室1厅 南新上,470万,2室1厅 | 72.27平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w1biNCovz.jpg.296x216.jpg
20201223,闵行,龙柏,业主诚意出售，次顶楼两房，1梯2户，采光好房主自荐,305万,2室1厅 | 52.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T4LP2Tqe6_1.jpg.296x216.jpg
20201223,闵行,龙柏,10号线地铁口，中康公寓，商品房双南户型，自住精装修房主自荐,450万,2室1厅 | 73.06平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qgl6Z2IBL_1.jpg.296x216.jpg
20201223,闵行,龙柏,买一层带一层+人车分流小区+花园一样的家+十号线地铁房主自荐,950万,4室2厅 | 116.97平米 | 南 | 精装 | 低楼层(共13层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XagnXMgOM_1.jpg.296x216.jpg
20201223,闵行,龙柏,商品房的户型，动迁房的价格！恰到好处的位置，绝了？房主自荐,435万,2室1厅 | 69.37平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5O2abqEP9_1.jpg.296x216.jpg
20201223,闵行,龙柏,近地铁10号线 中间楼层 税费少 双南大2房 品质住房！,458万,2室1厅 | 76.29平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5050d7c2-9368-4921-906b-f9d305e63b48_1000.jpg.296x216.jpg
20201223,闵行,龙柏,地铁10号线龙柏新村站，南北户型，客厅大 开放式厨房,440万,2室1厅 | 72.6平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cU02uTRCK_1.jpg.296x216.jpg
20201223,闵行,龙柏,十号线买电梯两房  万象城爱琴海  好房不要错过！！！,420万,2室1厅 | 77.17平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_sU7YTwuS6_1.jpg.296x216.jpg
20201223,闵行,龙柏,龙柏二村 2室2厅 南新上,430万,2室2厅 | 77.02平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CCdsKb0nM_1.jpg.296x216.jpg
20201223,闵行,龙柏,精装大两房   采光很好 户型方正,750万,2室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共8层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mknzYTjtv_1.jpg.296x216.jpg
20201223,闵行,龙柏,港商开发03年电梯洋房 户型方正 采光充足房主自荐,385万,1室1厅 | 59.47平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CA4pAniiS_1.jpg.296x216.jpg
