20201223,闵行,梅陇,精装一房，安全环保，楼层好，视野开阔，采光无遮挡必看好房,245万,1室0厅 | 39.3平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F9pggrzBl_1.jpg.296x216.jpg
20201223,闵行,梅陇,错层+复式四房，三大露台，带产权车位，比翼协和+复旦必看好房,1250万,4室2厅 | 151.86平米 | 南 | 精装 | 高楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c45ee1d4-b33a-4aae-8926-225057298c75_1000.jpg.296x216.jpg
20201223,闵行,梅陇,难得南北大两房带25平花园，采光还这么好，欢迎来看！必看好房,710万,2室2厅 | 87.09平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a6OcSoNhg_1.jpg.296x216.jpg
20201223,闵行,梅陇,带大露台 高区景观房 通风好视野佳 业主诚意出售必看好房,890万,3室2厅 | 118.95平米 | 南 北 | 简装 | 高楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c2BeOUPFU_1.jpg.296x216.jpg
20201223,闵行,梅陇,《新上好房》《前后视野开阔》《居家精装》《税费少》必看好房,945万,3室2厅 | 128.72平米 | 南 | 精装 | 中楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3bysjkAQA_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北直通+居家装修+位置安静+满五唯一必看好房,442万,2室2厅 | 85.94平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MMXkf9Loi_1.jpg.296x216.jpg
20201223,闵行,梅陇,税费少+精装一房+看房方便+交通便利必看好房,205万,1室1厅 | 42.65平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ftg6wNQQL_1.jpg.296x216.jpg
20201223,闵行,梅陇,低楼层，双南大两房，税费低，带天井必看好房,385万,2室1厅 | 77.25平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/546ac5c9-5a53-4714-ae80-720b084c4aa2_1000.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，税费少，中间楼层，婚房装修必看好房,270万,1室1厅 | 51.22平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jn2xUBmWf_1.jpg.296x216.jpg
20201223,闵行,梅陇,中间楼层，双南两房，户型方正，老少皆宜必看好房,358万,2室1厅 | 73.57平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P8v6Qxivt_1.jpg.296x216.jpg
20201223,闵行,梅陇,户型方正，采光好，非顶楼，配套齐全必看好房,385万,2室2厅 | 79.59平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U9kq9NiQw_1.jpg.296x216.jpg
