20201223,闵行,闵浦,毛坯南北通，地铁一公里诚心急售必看好房,255万,2室1厅 | 73.02平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y5yTZ8oaj_1.jpg.296x216.jpg
20201223,闵行,闵浦,满五年，南北通透，精装修，采光充足，交通便利必看好房,288万,2室2厅 | 81.5平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6l6q96HuL_1.jpg.296x216.jpg
20201223,闵行,闵浦,房屋精装，配套齐全，交通便利，采光充足必看好房,250万,2室1厅 | 74.56平米 | 南 | 简装 | 高楼层(共9层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dX7NU7h9w_1.jpg.296x216.jpg
20201223,闵行,闵浦,户型正气，南北通户型，配套完善必看好房,410万,3室1厅 | 91.11平米 | 南 | 简装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nPtcZQ2LK_1.jpg.296x216.jpg
20201223,闵行,闵浦,小区中间花园位置、满五唯一、诚意出售、看房方便必看好房,350万,3室2厅 | 97.85平米 | 北 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c9rYkHLnc_1.jpg.296x216.jpg
20201223,闵行,闵浦,中间楼层少有的小三房 原始格局 毛坯交付 采光视野佳必看好房,318万,3室2厅 | 103.85平米 | 南 | 毛坯 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d5JS54Qjf_1.jpg.296x216.jpg
20201223,闵行,闵浦,小区中间花园位置、原始动迁、诚意出售、看房方便必看好房,353万,3室2厅 | 97.85平米 | 南 北 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W0JDbRqwV_1.jpg.296x216.jpg
20201223,闵行,闵浦,此房原始动迁，税费少；近地铁，南北通，楼层好必看好房,288万,2室2厅 | 76.84平米 | 南 北 | 简装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1LfrzGWM5_1.jpg.296x216.jpg
20201223,闵行,闵浦,水语人家南苑双南两房，一手动迁，看房方便必看好房,272万,2室1厅 | 73.65平米 | 南 | 毛坯 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CFwtAoP1x_1.jpg.296x216.jpg
20201223,闵行,闵浦,南北户型，沿河景观，小区距离商圈近，距离地铁近必看好房,265万,2室2厅 | 78.54平米 | 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7GfuJkqRt_1.jpg.296x216.jpg
20201223,闵行,闵浦,全明一房，原始动迁，满五唯一，户型方正，业主诚意必看好房,190万,1室1厅 | 56.37平米 | 南 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o4PlnyPRc_1.jpg.296x216.jpg
20201223,闵行,闵浦,诚心出售，原始动迁，税费少，户型方正，近地铁必看好房,210万,1室1厅 | 58.66平米 | 南 | 简装 | 高楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7Baaxe89D_1.jpg.296x216.jpg
20201223,闵行,闵浦,聚缘北庭13年新小区，房龄新总价低，房东诚意出售必看好房,215万,2室1厅 | 74.3平米 | 南 北 | 毛坯 | 低楼层(共7层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fGHKbKmKb_1.jpg.296x216.jpg
20201223,闵行,闵浦,此房属于原始动迁房，70年产权，小区位置佳，税费少必看好房,239万,2室2厅 | 77.15平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nVowjscNG_1.jpg.296x216.jpg
20201223,闵行,闵浦,一手动迁税费少，交通方便配套好必看好房,238万,2室1厅 | 73.8平米 | 南 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gbeCbT3UH_1.jpg.296x216.jpg
20201223,闵行,闵浦,距离轨道交通300米，南北通，原动迁税费少，业主诚售必看好房,250万,2室2厅 | 74.09平米 | 南 | 简装 | 低楼层(共7层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fJaoK1YP2.jpg.296x216.jpg
20201223,闵行,闵浦,一房好房源，楼层好采光好，税费少诚心出售必看好房,178万,1室1厅 | 56.38平米 | 南 | 毛坯 | 中楼层(共9层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1tU0s2bJ3_1.jpg.296x216.jpg
20201223,闵行,闵浦,水语人家南，一房一厅，原始动迁房，产权一人，随时签必看好房,205万,1室1厅 | 56.41平米 | 南 | 简装 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PFmH0wdtb.jpg.296x216.jpg
20201223,闵行,闵浦,10年高品质商品房 精装修两年 附带产权车位 满二少税必看好房,465万,2室2厅 | 88.14平米 | 南 | 精装 | 中楼层(共14层) | 2010年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_a1FggKQ8w_1.jpg.296x216.jpg
20201223,闵行,闵浦,十二月好房，店长推介，南北通两房，满五唯一好位置必看好房,290万,2室1厅 | 82.45平米 | 南 北 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6qSCUDk5L.jpg.296x216.jpg
20201223,闵行,闵浦,沿河景观房 视野采光好 看房方便 业主诚心必看好房,303万,2室2厅 | 74.53平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jJd2vAOWP_1.jpg.296x216.jpg
20201223,闵行,闵浦,汇颂南苑，新 上双南两房，精装修拎包入住。地铁口必看好房,265万,2室2厅 | 76.51平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NUVQpkQuD_1.jpg.296x216.jpg
