20201223,闵行,七宝,店长推荐，花园楼房，南北户型，你值得拥有，快来看必看好房,522万,2室2厅 | 77.49平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DFUHS05Es_1.jpg.296x216.jpg
20201223,闵行,七宝,地铁200米双南房双阳台，采光好，自住装修拎包入住必看好房,405万,2室1厅 | 67.2平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WrEuJYZb0_1.jpg.296x216.jpg
20201223,闵行,七宝,佳宝新上大两房+买进高税少+楼下9号地铁交通好必看好房,385万,2室1厅 | 68.87平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e37efb3b-0407-4b02-a55a-e78f63318fa3_1000.jpg.296x216.jpg
20201223,闵行,七宝,小区好位置，舒适装修，一梯两户，楼层好，满五年必看好房,475万,2室1厅 | 66.7平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KkZ9IYeBT_1.jpg.296x216.jpg
20201223,闵行,七宝,新装修拎包入住，满五唯一，小区门口位置，业主急售必看好房,419万,2室1厅 | 73.73平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2OVose86o_1.jpg.296x216.jpg
20201223,闵行,七宝,万科五期，品质小区，总价低，交通便利，人车分流！必看好房,310万,1室1厅 | 50.14平米 | 南 | 精装 | 高楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e7b21458-d7da-4b44-9fdd-9aa1b26fb3dc_1000.jpg.296x216.jpg
20201223,闵行,七宝,佳宝新上三房+九号线地铁口+全明户型必看好房,420万,3室1厅 | 81.03平米 | 南 北 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0yHch3s5q_1.jpg.296x216.jpg
20201223,闵行,七宝,豪妆修+业主诚售+地铁口+品质小区必看好房,1788万,4室2厅 | 223.54平米 | 南 | 精装 | 低楼层(共3层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b4ISu7AEj_1.jpg.296x216.jpg
20201223,闵行,七宝,状元街房源，面积大满五唯一，地理位置优越，不容错过必看好房,999万,5室2厅 | 232.34平米 | 南 | 简装 | 低楼层(共16层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7455a2a0-ca25-439e-bf64-d7a6dbea7890_1000.jpg.296x216.jpg
20201223,闵行,七宝,店长推荐明强少见电梯顶楼复式，带露台阳光房必看好房,968万,4室2厅 | 96.5平米 | 北 南 | 精装 | 高楼层(共9层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad8982a8-d49f-472b-bf1d-2dc931b8637d_1000.jpg.296x216.jpg
20201223,闵行,七宝,没有增值即个税+景观楼层两房+精装修壕宅必看好房,915万,2室2厅 | 117.33平米 | 南 北 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/342b57c3-4a87-4993-b90b-5ce9c71a2b47_1000.jpg.296x216.jpg
20201223,闵行,七宝,万兆家园(四期) 3室2厅 南必看好房,800万,3室2厅 | 129平米 | 南 | 简装 | 12层 | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2164a865-b626-44dc-9756-3d060c7d7a17_1000.jpg.296x216.jpg
20201223,闵行,七宝,版式户型，南北通风，近七宝老街，近地铁口必看好房,430万,3室1厅 | 76平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EUBG4MCfN_1.jpg.296x216.jpg
20201223,闵行,七宝,满五唯一，户型正气，人车分流，仅 一席，你值得拥有必看好房,1255万,3室2厅 | 145.29平米 | 南 北 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_62p9RgRWk_1.jpg.296x216.jpg
20201223,闵行,七宝,中间楼层，简装修，看房随时，买进高，租售比高必看好房,495万,3室1厅 | 70.44平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b76935ff-592e-4d1f-a11b-c98f2bc560fe_1000.jpg.296x216.jpg
20201223,闵行,七宝,满五唯一精装南北通大两房，双卫必看好房,1050万,2室2厅 | 114.82平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jcJyMi4kv_1.jpg.296x216.jpg
20201223,闵行,七宝,南国花园 1室1厅 南必看好房,330万,1室1厅 | 51.33平米 | 南 | 精装 | 低楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCYiZ5aYg_1.jpg.296x216.jpg
20201223,闵行,七宝,七宝炙热地段，9号地铁口 满五年唯一，精装修必看好房,378万,2室1厅 | 64.83平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae82f2db-0d2d-4418-bd6d-4b07795aece6_1000.jpg.296x216.jpg
20201223,闵行,七宝,万科电梯三房，满五唯一，景观楼层，视野采光好必看好房,577万,3室2厅 | 104.94平米 | 东 南 北 | 简装 | 中楼层(共12层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7iL9gadg0_1.jpg.296x216.jpg
20201223,闵行,七宝,满五唯一，三开间朝南四房，采光好，小区安静宜居必看好房,738万,4室2厅 | 121.48平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f665b27-f9e0-4137-b32b-6e9fdd607d1d_1000.jpg.296x216.jpg
20201223,闵行,七宝,七宝老街 近地铁 户型正气 诚意卖必看好房,369万,1室1厅 | 36.96平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7YOpHxayP_1.jpg.296x216.jpg
20201223,闵行,七宝,小区位置好，高楼层，采光通风好，公园旁边必看好房,568万,3室1厅 | 87.25平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2fbd3d29-d190-4cd0-b147-03875ad36edc_1000.jpg.296x216.jpg
20201223,闵行,七宝,店长主推 全明户型2房采光好 满五唯一 中间楼层必看好房,450万,2室1厅 | 61.07平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9f47290e-b5d6-473f-8aae-32f9ba1a3e2f.jpg.296x216.jpg
20201223,闵行,七宝,九号线七宝站300米交通便利，中间楼层两房朝南采光好必看好房,379万,2室1厅 | 67.44平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bbe7d90c-b70e-4028-8cd2-02eb4d23e7ac_1000.jpg.296x216.jpg
20201223,闵行,七宝,状元街，好房源，经纪人强烈推荐必看好房,755万,3室2厅 | 89.8平米 | 南 | 简装 | 低楼层(共8层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xmcM1M4ml_1.jpg.296x216.jpg
20201223,闵行,七宝,古有孔明借东风，今有东风助学子，采光好，接孩子方便必看好房,658万,2室2厅 | 91.56平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HtCZILzf5_1.jpg.296x216.jpg
20201223,闵行,七宝,九号线七宝的地铁口300米，东边套带阳台，户型好必看好房,270万,1室1厅 | 48.91平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0d493250-3940-407f-978f-84468db2e644_1000.jpg.296x216.jpg
20201223,闵行,七宝,万科品质 14年小区 私家花园 9号线地铁 看房方便必看好房,710万,3室2厅 | 94.33平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SeENX7e2p_1.jpg.296x216.jpg
20201223,闵行,七宝,本房满五年，花园洋房园中园，万科新区三房，诚意出售必看好房,738万,3室2厅 | 123.89平米 | 南 | 精装 | 中楼层(共5层) | 2000年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ce0c1caa-1233-4454-aadd-66b2fea31ae9.png.296x216.jpg
20201223,闵行,七宝,南北小两房，售后公房税费少，楼层佳看房方便必看好房,300万,2室1厅 | 54.38平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9e6cac10-f230-4578-87e2-5dd0026735da.png.296x216.jpg
20201223,闵行,七宝,店长力荐！孤品问世，谁可争锋？东边套，超大露台！新上,720万,3室1厅 | 92.1平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BCzrMCOtj_2.jpg.296x216.jpg
20201223,闵行,七宝,满五唯一，明强精装大两房，不点必后悔！新上,537万,2室1厅 | 72平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iZsXSjUoi_1.jpg.296x216.jpg
20201223,闵行,七宝,复式带大露台  全南户型  南北通透  视野好，景观好新上,1430万,4室3厅 | 210.2平米 | 南 北 | 简装 | 高楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dR1cFmcmU_1.jpg.296x216.jpg
20201223,闵行,七宝,七宝大四房一楼带地下室  空调加地暖  满五唯一,930万,4室2厅 | 171.96平米 | 南 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rleBktzT7_1.jpg.296x216.jpg
20201223,闵行,七宝,户型正气，光线无遮挡，业主诚意出售，看房方便新上,510万,2室1厅 | 71.22平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f42e5ecc-3db3-46aa-906b-43517d03e14e_1000.jpg.296x216.jpg
20201223,闵行,七宝,边套户型 临河花园 满五唯一 万科物业 邻家小院房主自荐,1500万,4室3厅 | 188.83平米 | 南 北 | 精装 | 3层 | 2002年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/3f818aa7-93e6-4449-b1b1-afef9601b205_1000.jpg.296x216.jpg
20201223,闵行,七宝,万科魅力之城，满五唯一，精装两房,650万,2室2厅 | 94.98平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JHpnbcuyX_1.jpg.296x216.jpg
20201223,闵行,七宝,楼层好 采光充足 视野宽阔 前后无遮挡,420万,4室2厅 | 109.41平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p1xX1pOuY_1.jpg.296x216.jpg
20201223,闵行,七宝,七宝站地铁口50米，双南全明户型，房型正气房主自荐,337万,2室1厅 | 65平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eqw1whLo3_1.jpg.296x216.jpg
20201223,闵行,七宝,离航线，人车分流，近地铁9号线， 满五，精装保养好新上,688万,2室1厅 | 91.74平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rjIXzjUur_1.jpg.296x216.jpg
20201223,闵行,七宝,万科电梯大四房，带产权车位，近地铁，大平层房主自荐,875万,4室2厅 | 161.6平米 | 南 | 精装 | 中楼层(共11层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7a2c43d8-860a-4eb0-b58f-d8c600a8f2b4_1000.jpg.296x216.jpg
20201223,闵行,七宝,满五唯一 省个税 看房子方便 房东诚意出售 接受置换房主自荐,1260万,3室2厅 | 143.53平米 | 东南 | 精装 | 中楼层(共16层) | 2008年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/87061ee6-575c-42cc-8ba5-a5d898414f2a_1000.jpg.296x216.jpg
20201223,闵行,七宝,近地铁，带花园，价格可以谈，看房随时,363万,2室1厅 | 62.47平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2569088d-eba9-4c56-bb2d-aef495e47ff0_1000.jpg.296x216.jpg
20201223,闵行,七宝,牡丹新村 1室1厅 南,325万,1室1厅 | 44.94平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_61GmUR08e_1.jpg.296x216.jpg
20201223,闵行,七宝,金泰公寓 2室1厅 南 北新上,497万,2室1厅 | 59.86平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f34c36fe-7d8f-4f25-a5d5-9198152cfbe3_1000.jpg.296x216.jpg
20201223,闵行,七宝,万兆三房，采光视野好，满五唯一税少，出行生活方便,618万,3室2厅 | 109.19平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4nm0g4zqI_1.jpg.296x216.jpg
20201223,闵行,七宝,七宝单价低，交通便利，税费各付,419万,4室2厅 | 109.41平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/55af9cca-8091-4068-83eb-675fa7c713eb_1000.jpg.296x216.jpg
20201223,闵行,七宝,此房采光充足 边套全明户型 近地铁口 近万科广场房主自荐,492万,3室2厅 | 84.68平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ah6lEm9xi_1.jpg.296x216.jpg
