20201223,闵行,吴泾,万科阳光苑南北户型 精装两房 楼层好 采光好 诚心出售必看好房,416万,2室1厅 | 89.78平米 | 南 | 简装 | 中楼层(共10层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_595mTFwmK_1.jpg.296x216.jpg
20201223,闵行,吴泾,动迁免增值税，朝南阳光充足，小户型总价低，钥匙房！必看好房,281万,1室2厅 | 68.07平米 | 南 | 精装 | 低楼层(共12层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ruB8KlPEa_1.jpg.296x216.jpg
20201223,闵行,吴泾,万科阳光苑南北户型精装两房楼层好采光好诚心出售满五必看好房,420万,2室2厅 | 88.74平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fksgfKOAV_1.jpg.296x216.jpg
20201223,闵行,吴泾,双南两房户型  居家装修  小小的家 大大的爱 在这里必看好房,175万,2室1厅 | 48.66平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zkRIk9R13.jpg.296x216.jpg
20201223,闵行,吴泾,虹梅景苑二街坊 1室1厅 南必看好房,285万,1室1厅 | 65.56平米 | 南 | 简装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WfmtRmL6a_1.jpg.296x216.jpg
20201223,闵行,吴泾,兰香湖边 南北通 精装修 满二 双阳台 15号线必看好房,1100万,3室2厅 | 104.66平米 | 南 北 | 精装 | 中楼层(共17层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f77bb5b7-4d36-449c-ac43-3c754fafce24_1000.jpg.296x216.jpg
20201223,闵行,吴泾,低楼层带花园 南北两房  温馨  有爱  有家  这里有您必看好房,345万,2室2厅 | 79.44平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2IsTED2Sg.jpg.296x216.jpg
20201223,闵行,吴泾,永北小区两房，多层5楼一梯两户，看房方便必看好房,175万,2室1厅 | 49平米 | 南 北 | 简装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_is4TeApaq_1.jpg.296x216.jpg
20201223,闵行,吴泾,中间楼层，采光充足，生活交通便利！必看好房,388万,2室2厅 | 94.94平米 | 南 | 简装 | 中楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/49d4b7ab-5512-456c-b921-a2789ad18e41_1000.jpg.296x216.jpg
20201223,闵行,吴泾,枫桦景苑＋诚意出售＋满五唯一＋双南两房＋采光充足必看好房,403万,2室2厅 | 95.95平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4fe634a4-1817-43ae-ad93-31821d477040_1000.jpg.296x216.jpg
20201223,闵行,吴泾,正气南北两房  客厅餐厅南北通风。 免增值税必看好房,344万,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e8414c00-4786-4d14-a6d2-80e2d57f0eba_1000.jpg.296x216.jpg
20201223,闵行,吴泾,中间楼层，小户型，刚需必备，欢迎咨询必看好房,140万,1室0厅 | 37.26平米 | 南 | 简装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7bc32ff4-368f-4ac6-9b4e-275bccfadfd1_1000.jpg.296x216.jpg
20201223,闵行,吴泾,此房满五唯一，双南两房，采光好。必看好房,205万,2室1厅 | 65.08平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7a215fc0-d2a1-422e-ae76-5840e1ca14e8_1000.jpg.296x216.jpg
20201223,闵行,吴泾,满五双南户型，卧室朝阳、看房方便、诚意出售必看好房,215万,2室1厅 | 66.4平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f615061e-4779-4157-a526-0916f6fd7db1_1000.jpg.296x216.jpg
20201223,闵行,吴泾,03年房龄，小区少有户型，双南两房必看好房,278万,2室1厅 | 73.52平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad7db5e4-929a-4956-b5eb-6312c0cff342_1000.jpg.296x216.jpg
20201223,闵行,吴泾,一室户好房 满五唯一 采光充足 诚意出售必看好房,140万,1室1厅 | 37.01平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YLg4Sop6w_1.jpg.296x216.jpg
20201223,闵行,吴泾,满五唯一，南北户型   精装修  一楼带院子  采光好必看好房,331万,2室1厅 | 80.4平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/d3e54912-d611-4070-9f6f-5036f3518dfd.jpg.296x216.jpg
20201223,闵行,吴泾,一楼带院子小户型 采光好 位置佳必看好房,173万,2室1厅 | 49.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,
20201223,闵行,吴泾,大三房 一手动迁免增值税 户型方正 离15号线1公里必看好房,536万,3室2厅 | 125.37平米 | 南 | 简装 | 低楼层(共6层) | 2011年建 | 板楼,
20201223,闵行,吴泾,动迁免增值税，复式二层，带大露台，户型南北通透！新上,530万,4室2厅 | 166.66平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AAUCfTQTj.jpg.296x216.jpg
20201223,闵行,吴泾,电梯两房两卫，南北通，采光充足，满五唯一。新上,550万,2室2厅 | 113.13平米 | 南 北 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6FWYMcNDx.jpg.296x216.jpg
20201223,闵行,吴泾,满五唯一，双南户型，毛坯两层地下室，看房方便,519万,3室1厅 | 108.4平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zgnSmNDLf_1.jpg.296x216.jpg
20201223,闵行,吴泾,嘉怡水岸两（三）房两卫，书香氛围环伺中的品质小区,508万,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fd1f2a5c-ac63-47b7-a991-eae7138562f3_1000.jpg.296x216.jpg
20201223,闵行,吴泾,新上房源，满五唯一，中间楼层，采光充足，精致装修,380万,2室2厅 | 88.27平米 | 南 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pZ148hB8K_1.jpg.296x216.jpg
20201223,闵行,吴泾,一楼带院子，采光好，前边无遮挡，南北通风，,215万,2室1厅 | 53.49平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kd0JhOY9g_1.jpg.296x216.jpg
20201223,闵行,吴泾,地铁15号线900米 精装修  楼层高就在虹梅景苑四街坊,425万,2室2厅 | 90.52平米 | 南 北 | 精装 | 中楼层(共13层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oxCwbjj5l.jpg.296x216.jpg
20201223,闵行,吴泾,锦川公寓  精装 六复七复八 诚意出售 带产权车库,596万,5室3厅 | 182平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bqEg2FUQC_1.jpg.296x216.jpg
20201223,闵行,吴泾,塘泾南苑小户型，房型方正，业主诚心出售,318万,1室2厅 | 68.53平米 | 南 | 毛坯 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Onv4dtokV_1.jpg.296x216.jpg
