20201223,闵行,莘庄,莘松四村 2室1厅 南必看好房,295万,2室1厅 | 64.7平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OB5bCLYPd_1.jpg.296x216.jpg
20201223,闵行,莘庄,金地物业，楼层佳视野好，地+铁，春+城，房东急售！必看好房,768万,2室2厅 | 95.41平米 | 南 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qyw7t9fkE_1.jpg.296x216.jpg
20201223,闵行,莘庄,小区三面环别墅区，精装修拎包入住，近地铁必看好房,318万,2室1厅 | 65.36平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7bc53310-8acd-414f-83e8-53f66eda04d0_1000.jpg.296x216.jpg
20201223,闵行,莘庄,带露台三房，南广场地段，随时可看，高楼层必看好房,880万,3室2厅 | 130.04平米 | 南 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o3VIqxVW8_1.jpg.296x216.jpg
20201223,闵行,莘庄,此房电梯房，采用园中园设计，南北通必看好房,630万,2室2厅 | 94.92平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7rv63lyjD_1.jpg.296x216.jpg
20201223,闵行,莘庄,婚房装修拎包入住，满五税少，采光充足视野好必看好房,480万,3室2厅 | 116.27平米 | 南 | 精装 | 中楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cLR1qB84R_1.jpg.296x216.jpg
20201223,闵行,莘庄,大露台，精装修，户型正，地铁近，满五，万科物业/必看好房,1395万,5室2厅 | 182.99平米 | 南 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gWSjllhap_1.jpg.296x216.jpg
20201223,闵行,莘庄,上海康城 3室2厅 南必看好房,530万,3室2厅 | 128.1平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oS7xgMPc3_1.jpg.296x216.jpg
20201223,闵行,莘庄,春有百花秋有月，夏有凉风冬有雪，我在莘城等你一起必看好房,320万,2室1厅 | 73.28平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8d1a2650-ed51-41f9-b988-897c2ec16e50_1000.jpg.296x216.jpg
20201223,闵行,莘庄,只给链家卖，必卖好房，高区非顶楼，精装修必看好房,843万,3室2厅 | 123.88平米 | 南 | 精装 | 中楼层(共32层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3jBQDqE5G_1.jpg.296x216.jpg
20201223,闵行,莘庄,非顶楼 双南两房 全明户型 采光通风好 业主诚售必看好房,347万,2室1厅 | 70.19平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_md401MqBZ_1.jpg.296x216.jpg
20201223,闵行,莘庄,户型方正，业主诚意，产权清晰，紧靠淀浦河，近公园。必看好房,300万,2室1厅 | 67.24平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/00066bc5-e639-4646-af21-4ead9a724b96_1000.jpg.296x216.jpg
20201223,闵行,莘庄,低层小户型，总价低，户型方正，开窗见景，公园小区必看好房,238万,1室1厅 | 51.2平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HZ5Y372v5_1.jpg.296x216.jpg
20201223,闵行,莘庄,高楼层大两房  婚房装修 采光充足 视野好 诚意出售必看好房,420万,2室2厅 | 98.49平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WWcaZLYpa_1.jpg.296x216.jpg
20201223,闵行,莘庄,中间楼层+小区中间位置+满五唯一必看好房,315万,2室1厅 | 74.07平米 | 东南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1768238a-c3ff-4719-9455-6ae13f2ee3a6_1000.jpg.296x216.jpg
20201223,闵行,莘庄,带产权车位，买进高税费少，精装修保养好，拎包入住必看好房,460万,2室2厅 | 108.95平米 | 南 | 精装 | 中楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1wXD5zqGN_1.jpg.296x216.jpg
20201223,闵行,莘庄,电梯房，采光充足，近地铁800米，业主诚意出售。必看好房,315万,1室1厅 | 55.49平米 | 南 | 精装 | 中楼层(共20层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_I1wXjDxyN_1.jpg.296x216.jpg
20201223,闵行,莘庄,此房满五唯一免个税，南北双阳台，高楼层，视野宽阔必看好房,458万,3室2厅 | 115.84平米 | 南 | 精装 | 高楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sYaoDx202_1.jpg.296x216.jpg
20201223,闵行,莘庄,茗额未用，满五税少，买进价高，全明户型，采光充足必看好房,280万,2室1厅 | 58.64平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7KbMkyWGW_1.jpg.296x216.jpg
20201223,闵行,莘庄,欲把莘城比西子，淡妆浓抹总相宜。必看好房,320万,2室2厅 | 81.98平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q1tvy0TtH_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五年 南北两房 近地铁 对口黎安实验双语 业主很诚意必看好房,279万,2室2厅 | 65.27平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCB8Ep22F_1.jpg.296x216.jpg
20201223,闵行,莘庄,满五年，双南户型，高楼层，诚意出售 钥匙房必看好房,385万,1室1厅 | 56.32平米 | 南 | 简装 | 中楼层(共12层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8OeCnTHZX_1.jpg.296x216.jpg
