20201223,浦东,合庆,唐镇合庆王港【环庆新苑】实用小套一房,155万,1室1厅 | 46.59平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f7f3faf6-cb3e-4405-9509-caf84e48f2bf.jpg.296x216.jpg
20201223,浦东,合庆,产权清晰，视野宽阔，采光充足，生活气息浓重房主自荐,150万,1室1厅 | 46.59平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WQR8jHzm5_1.jpg.296x216.jpg
20201223,浦东,合庆,此房产权清晰，视野宽阔，采光充足，满五唯一房主自荐,165万,1室1厅 | 49.08平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ff05faec-a511-444f-a758-d6d72d4400a6.jpg.296x216.jpg
20201223,浦东,合庆,环庆新苑 2室1厅 南,165万,2室1厅 | 49.71平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sDpUTcmFN_1.jpg.296x216.jpg
20201223,浦东,合庆,中间楼层，格局好，视野采光好，看房方便,230万,2室1厅 | 66.07平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n5MKsnfwr_1.jpg.296x216.jpg
20201223,浦东,合庆,一手动迁税费低，看房方便,实木装修房主自荐,252万,3室2厅 | 79.19平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OkA56xbXg_1.jpg.296x216.jpg
20201223,浦东,合庆,满五唯一精装修，业主诚意出售，无增值税和个税房主自荐,218万,2室1厅 | 63.58平米 | 东 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BUfo2GXwG_1.jpg.296x216.jpg
20201223,浦东,合庆,小户型，婚房精装修 ，总价低，南北通，业主诚心出售房主自荐,219万,2室1厅 | 66平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-36040f90-31a3-4bac-929a-9a470b99cc20.png.296x216.jpg
20201223,浦东,合庆,环庆新苑原始3房，户型方正，业主诚意出售房主自荐,250万,3室2厅 | 81.73平米 | 南 | 毛坯 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aPKDbMZiO_1.jpg.296x216.jpg
20201223,浦东,合庆,满五唯一，精装修，原始两房，户型好，前面空旷！,215万,2室2厅 | 63.64平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wY1mz2LnC_1.jpg.296x216.jpg
20201223,浦东,合庆,环庆新苑 2室1厅 南,238万,2室1厅 | 65.4平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WeIyRfXBW_1.jpg.296x216.jpg
20201223,浦东,合庆,户型方正的两房，采光通风好，中间楼层,230万,2室1厅 | 66.05平米 | 南 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HuyUWSM8X_1.jpg.296x216.jpg
20201223,浦东,合庆,精装两房 保养完好 南北通 拎包入住,235万,2室1厅 | 66.07平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-d686b602-5449-4081-be89-0ba4200d9a14.png.296x216.jpg
20201223,浦东,合庆,环庆新苑 1室1厅 南,165万,1室1厅 | 49.08平米 | 南 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x28n20inF_1.jpg.296x216.jpg
20201223,浦东,合庆,小户型精装修，业主诚心售卖，价格看中可谈。,230万,2室1厅 | 66.01平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-60351d23-c4a8-4c16-887c-f8877d02dadc.png.296x216.jpg
20201223,浦东,合庆,楼层好，满五唯一，视野宽敞，采光好，看好速,160万,1室1厅 | 49.71平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/IMG_20200925_200242___95b56a6e551dc9e81b1627e1bf88b314.jpg.296x216.jpg
20201223,浦东,合庆,阁楼，带阁楼，原始一房带阁楼。,163万,1室1厅 | 49.63平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,
