20201223,浦东,航头,鹤沙精选，店长推荐，精装修，高楼层，视野好必看好房,359万,3室2厅 | 97.39平米 | 南 北 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H28Bt3yRY_1.jpg.296x216.jpg
20201223,浦东,航头,业主诚心出售，低楼层、毛胚房原始结构可自主装修必看好房,225万,2室1厅 | 75.06平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UHuI508NP_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：南北通三房，户型正气，动迁少税。必看好房,328万,3室2厅 | 97.46平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GcOEorljY_1.jpg.296x216.jpg
20201223,浦东,航头,"鹤沙优选"电梯顶楼，一手动迁税费少业主诚意出售必看好房,240万,2室1厅 | 79.2平米 | 南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0JOdNnwkH_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙板块：户型正气税少，中楼层总价低，业主诚心出售必看好房,193万,1室1厅 | 61.96平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Znm4N5P4W_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙楼梯房，小区安静环境好，楼层适中，价格合适必看好房,255万,2室1厅 | 72.58平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_huTaycpGY_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙航城，双轨交通，配套齐全，交通便利，总价低必看好房,210万,2室1厅 | 65.32平米 | 南 | 毛坯 | 高楼层(共14层) | 2013年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_a6hTMcQ8N_1.jpg.296x216.jpg
20201223,浦东,航头,一手动迁 + 南北户型采光好 + 双轨地铁 + 配套齐全必看好房,240万,2室1厅 | 78.57平米 | 南 | 毛坯 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_34mMlRlRH_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙精选，店长推荐，双轨交汇，小区环境优美必看好房,240万,2室1厅 | 79.05平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-916cc5e3-df75-4d1c-b47b-f4122891775b.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：临河位置，景观楼层，正气两室南北通必看好房,240万,2室1厅 | 79.9平米 | 南 | 毛坯 | 高楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HfPk7DMqu_1.jpg.296x216.jpg
20201223,浦东,航头,南北通风，中间楼层采光好，视野佳必看好房,265万,2室1厅 | 78.09平米 | 南 北 | 简装 | 中楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JjWhb4WoL_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：东茗苑高楼层，双南，采光好，业主诚心出售必看好房,255万,2室1厅 | 79.83平米 | 南 | 简装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6dd996f2-080e-4c88-9ddd-65374805ec40.png.296x216.jpg
20201223,浦东,航头,鹤沙优选：一手动迁，税费较少，不靠高压不靠路房主自荐,249万,2室1厅 | 78.1平米 | 南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YuSNFslfr_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：户型方正，南北通，一手动迁，看房有钥匙房主自荐,278万,2室1厅 | 76.22平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SJwXSFg8E_1.jpg.296x216.jpg
20201223,浦东,航头,航武西区大三房，三河交错生态好，近18号线,350万,3室1厅 | 101.91平米 | 南 北 | 简装 | 中楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B0NAAYDHI_1.jpg.296x216.jpg
20201223,浦东,航头,一梯两户南北通，近18号线税少,243万,2室1厅 | 79.92平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x3erfJHLT_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：东茗苑大三房，南北通透，双轨交汇！！房主自荐,343万,3室2厅 | 100.25平米 | 南 北 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qmzChdmDY_1.jpg.296x216.jpg
20201223,浦东,航头,东区楼层好全明采光，动迁不唯一，看房方便房主自荐,185万,1室1厅 | 54.54平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GuDQhotKI_1.jpg.296x216.jpg
20201223,浦东,航头,金沁苑南区大一房、位置安静、不靠高压线、不是一楼房主自荐,185万,1室1厅 | 57.35平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QgbEw1Vvc_1.jpg.296x216.jpg
20201223,浦东,航头,正气大一房，一手动迁税费少，业主诚心出售,185万,1室1厅 | 57.37平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LBLFvSOoL_1.jpg.296x216.jpg
20201223,浦东,航头,满五年不唯一，房东诚意出售，提前预约，随时好看,258万,2室1厅 | 75.06平米 | 南 | 其他 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PYoeGgrqV_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选房源：航武嘉园，两房南北正通房主自荐,270万,2室2厅 | 72.84平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Bjj6OKFPR_1.jpg.296x216.jpg
20201223,浦东,航头,大两房、南北通户型、交通便利、动迁房税费少房主自荐,290万,2室2厅 | 86.46平米 | 南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QnQqbmC6i_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙航城，近地铁16号线，旁边有商超配套齐全交通便利房主自荐,265万,2室1厅 | 79.98平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ylaGhOR8_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：近地铁16号18号精装修，双轨交通，拎包入住,265万,2室1厅 | 79.83平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YExjiZ3Wg_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：18号线地铁一室户，业主诚意出售！房主自荐,187万,1室1厅 | 57.35平米 | 南 | 简装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LTfALhd6D_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：精装修，交通方便，16，18两条地铁,196万,1室1厅 | 57.35平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eOBapPImS_1.jpg.296x216.jpg
20201223,浦东,航头,16号线+18号线！对口进才，户型正，诚意出售！,205万,1室1厅 | 54.54平米 | 南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7CWQtHjPN_1.jpg.296x216.jpg
20201223,浦东,航头,一手动迁满五唯一税费少，简单装修，业主诚心出售,175万,1室1厅 | 59.17平米 | 南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_71QFdXXRQ_1.jpg.296x216.jpg
20201223,浦东,航头,东茗东区 全明全南 不靠高压 临河位置房主自荐,250万,2室1厅 | 79.83平米 | 南 | 简装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oB641ZJH9_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：一手动迁，税少，南北通，性价 比高房主自荐,235万,2室1厅 | 79.92平米 | 南 北 | 简装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m60YvoTxC_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙精选：双轨交通，次新好房，商场街在建，业主诚意房主自荐,262万,2室2厅 | 78.91平米 | 南 | 精装 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uxaAsVG61_1.jpg.296x216.jpg
20201223,浦东,航头,金沁苑大一房+税费少+户型方正。,188万,1室1厅 | 57.35平米 | 南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RgILl8Z8o_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙精精装，南北通高楼层，双地铁，三面临河小区,280万,2室1厅 | 78.57平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m1SwyAnvy_1.jpg.296x216.jpg
20201223,浦东,航头,鹤沙优选：南北通两房，楼层位置佳，诚意出售房主自荐,260万,2室1厅 | 80.06平米 | 南 北 | 简装 | 中楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xwPsFMYdA_1.jpg.296x216.jpg
20201223,浦东,航头,毛坯两房，可根据自己风格设计。,243万,2室1厅 | 76.55平米 | 南 | 毛坯 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vSaN2PRzH_1.jpg.296x216.jpg
20201223,浦东,航头,纯毛坯两房，可根据自己喜欢的风格去设计，看房方便,245万,2室1厅 | 76.55平米 | 南 北 | 其他 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AxW4q07af_1.jpg.296x216.jpg
20201223,浦东,航头,16号线+18号线双轨交汇，两房总价低，首付压力小,230万,2室1厅 | 66.8平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,http://image1.ljcdn.com/shfdfs-image/20171008/10821861-ddcf-4e19-b8bd-9f2af8536806.jpg.296x216.jpg
20201223,浦东,航头,鹤沙精选：一手动迁无贷款无抵押产权清晰，可看可签新上,200万,1室1厅 | 61.96平米 | 南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c04ff5bd-ac62-417e-91b0-994b561f2111.png.296x216.jpg
20201223,浦东,航头,金沁苑 2室1厅 南,255万,2室1厅 | 79.2平米 | 南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2247690a-e0f4-42f0-9449-3e973301cf5e.png.296x216.jpg
20201223,浦东,航头,店长推荐：东茗苑大两房，南北正通，得房率高，户型正房主自荐,268万,2室2厅 | 72.75平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2009f72f-f61d-4764-a4de-2e4ba6202bc3.png.296x216.jpg
