20201223,浦东,花木,优质排他观景房 满五唯一无个税必看好房,2220万,4室2厅 | 189.6平米 | 南 | 精装 | 低楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wP7bmCgcU_1.jpg.296x216.jpg
20201223,浦东,花木,新出笋盘 高区景观两房 沿河 满五唯一税低 户型正气必看好房,1450万,2室2厅 | 116.93平米 | 南 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WGqGRqhPg_1.jpg.296x216.jpg
20201223,浦东,花木,中间楼层 世纪公园 2号线交通方便必看好房,570万,2室1厅 | 73.34平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XeoFueTk9_1.jpg.296x216.jpg
20201223,浦东,花木,世纪公园+精装两房+高层采光视野好+诚意出售必看好房,430万,2室1厅 | 54.36平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AP1SbYDMN_1.jpg.296x216.jpg
20201223,浦东,花木,世纪公园旁 原始三房改2房，内环内带露台必看好房,1500万,3室2厅 | 136.81平米 | 南 北 | 精装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWysVNQHO_1.jpg.296x216.jpg
20201223,浦东,花木,2/7/16号线+上学方便+得房率高+停车方便+诚售！必看好房,1700万,3室2厅 | 128.43平米 | 南 北 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zEZfQ8zoA.jpg.296x216.jpg
20201223,浦东,花木,一手动迁 免增值税 使用面积大 诚意出售 03年小区必看好房,850万,3室2厅 | 98.59平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SEWrFk3Uk.jpg.296x216.jpg
20201223,浦东,花木,2号线世纪公园，小区央位配套齐全，双南全明无遮挡必看好房,505万,2室1厅 | 72.37平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l57h6rHm9_1.jpg.296x216.jpg
20201223,浦东,花木,三开间朝南飞机户型，采光通风好，满五唯一必看好房,468万,2室1厅 | 67.94平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hLXlzNhTE_1.jpg.296x216.jpg
20201223,浦东,花木,满五年唯一无个税，采光无遮挡，诚意出售，随时可看必看好房,610万,2室2厅 | 101.39平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a41c080a-af84-4ba4-82ef-a8df63414a4f.jpg.296x216.jpg
20201223,浦东,花木,内环内 精装大三房  边套采光好 南北通透，诚意卖！必看好房,710万,3室2厅 | 110.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FdSfdj7xa_1.jpg.296x216.jpg
20201223,浦东,花木,小区中间位置，精装修作婚房，拎包入住必看好房,685万,2室2厅 | 77.49平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HFbiGLQoC_2.jpg.296x216.jpg
20201223,浦东,花木,海桐小区 2室1厅 南 北必看好房,660万,2室1厅 | 71.18平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NMoeo3yY3.jpg.296x216.jpg
20201223,浦东,花木,近地铁，满五唯一，精装修带大金空调，店长强烈推荐！必看好房,735万,2室2厅 | 92.01平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_At8PkYIXI_1.jpg.296x216.jpg
20201223,浦东,花木,整个小区仅6套户型 前后视野开阔 拎包入住 诚意售必看好房,830万,3室1厅 | 107.13平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nfAacNaiI_1.jpg.296x216.jpg
20201223,浦东,花木,店长推荐，锦绣小区一房，中间楼层，视野好，总价低必看好房,705万,1室1厅 | 47.68平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wcPQOi7f0_1.jpg.296x216.jpg
20201223,浦东,花木,世纪公园2号线，双朝南户型一房，满五唯一，无个税必看好房,325万,1室1厅 | 37.33平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gls1uD9lN_1.jpg.296x216.jpg
20201223,浦东,花木,2号线世纪公园地铁站+东边套+大1改2房+设计方案有N种必看好房,483万,2室1厅 | 78.56平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_zz4cRshuQ_1.jpg.296x216.jpg
20201223,浦东,花木,世纪公园小区中间位置，非底楼南北通全明户型，税费少必看好房,620万,2室2厅 | 74.45平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JxH3KVDs7_1.jpg.296x216.jpg
20201223,浦东,花木,内环内电梯房 高楼层世纪公园景观房 拎包入住必看好房,285万,1室1厅 | 62.7平米 | 北 | 简装 | 高楼层(共29层) | 2002年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_d1621c53-e2c9-416f-9173-8ad73d41684c.png.296x216.jpg
20201223,浦东,花木,有钥匙，高层采光好，西边套，小区环境优美,408万,2室1厅 | 60.6平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-2e5e09a0-6e05-4345-bed1-f180449a5385.png.296x216.jpg
20201223,浦东,花木,南北户型 ，满五唯一，带车位，落地景观窗，随时看房,2280万,4室2厅 | 226.39平米 | 南 | 精装 | 低楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-07542219-5b70-441c-897d-5586cf8dd08e.jpg.296x216.jpg
20201223,浦东,花木,中间楼层+业主诚意出售+有钥匙随时看房+满五年税费少,915万,2室1厅 | 100.38平米 | 南 | 简装 | 中楼层(共8层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J01yAcyvB_1.jpg.296x216.jpg
20201223,浦东,花木,内环内2015年次新小区+位置安静+满两年+有车位,1550万,3室2厅 | 142.77平米 | 南 | 精装 | 低楼层(共27层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iUizb7u7h_1.jpg.296x216.jpg
20201223,浦东,花木,花木苑 1室1厅 南新上,418万,1室1厅 | 50.61平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tkhqPR4ei_1.jpg.296x216.jpg
20201223,浦东,花木,内环内双南大两房+中楼层户型好+采光佳+诚意出售,550万,2室1厅 | 73.34平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tyAlNL5KM_1.jpg.296x216.jpg
