20201223,浦东,金桥,精装两房，满五唯一，不靠路，一梯两户，通风采光好！必看好房,285万,2室1厅 | 53.33平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M1rfi38zl_1.jpg.296x216.jpg
20201223,浦东,金桥,《九号线金桥站》双南两房，满五唯一必看好房,320万,2室1厅 | 64.37平米 | 南 | 简装 | 低楼层(共5层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HyX4bNOz4_1.jpg.296x216.jpg
20201223,浦东,金桥,双朝南电梯两房，户型方正，楼层视野好必看好房,388万,2室2厅 | 73.31平米 | 南 | 精装 | 高楼层(共24层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_fTeCYHaor_1.jpg.296x216.jpg
20201223,浦东,金桥,中区错层复式，50平大露台，使用面积200+，闹中取静必看好房,1219万,5室2厅 | 164.34平米 | 南 北 | 简装 | 中楼层(共4层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M2K08I1xk_1.jpg.296x216.jpg
20201223,浦东,金桥,花园位置，中间楼层，采光很好，满五年唯一，看房随时必看好房,495万,3室1厅 | 81.99平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1UCTVac7W_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥地铁口 一楼带天井 税费少业主急售！05年商品房必看好房,612万,2室2厅 | 105.16平米 | 南 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G5JSFYbU1_1.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站地铁》陆家嘴世纪大道地铁两房，南北通必看好房,550万,2室2厅 | 91.49平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fFkAAoTEF_1.jpg.296x216.jpg
20201223,浦东,金桥,楼层好，小区花园位置，看房方便，诚意出售。必看好房,418万,2室1厅 | 58平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kmmHPcYqQ_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥新城新出南北通2房，9号线地铁，副中 心诚售！必看好房,568万,2室2厅 | 97.54平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uwWCtvDBx_1.jpg.296x216.jpg
20201223,浦东,金桥,新上好房，一梯两户，位置好，落地窗采光好,诚售必看好房,420万,2室1厅 | 68.62平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dFQaSYOiM_1.jpg.296x216.jpg
20201223,浦东,金桥,地铁小3房，楼层位置佳，动迁无增值税，随时看房！必看好房,375万,3室1厅 | 76.39平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cixidO7Hm_1.jpg.296x216.jpg
20201223,浦东,金桥,2002年商品轨交房，南北直通中层，两室两卫全明户型必看好房,620万,2室2厅 | 90.66平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PhMT8Y06n_1.jpg.296x216.jpg
20201223,浦东,金桥,温馨小户型 一梯两户总价低  楼层好 交通便利 诚售必看好房,250万,1室1厅 | 50.27平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bXuw5lNfL_1.jpg.296x216.jpg
20201223,浦东,金桥,双南户型，一手动迁税费少，12号线金京站。必看好房,458万,2室2厅 | 81.89平米 | 南 | 毛坯 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JRs4saEWE_1.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站》精装两房，，拎包入住，刚需必看好房,335万,2室1厅 | 65.37平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DbZy91JSJ_1.jpg.296x216.jpg
20201223,浦东,金桥,一梯两户  满五唯一 全明户型 税费少必看好房,440万,2室1厅 | 69.27平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1c7FKwMvS_1.jpg.296x216.jpg
20201223,浦东,金桥,全明户型，双南两房，自住，刚需面积和价格诚意出售必看好房,375万,2室2厅 | 71.02平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bz8VsJre6_1.jpg.296x216.jpg
20201223,浦东,金桥,轻奢居家精装修，拎包入住，地铁400米，文峰广场，必看好房,245万,1室1厅 | 48.07平米 | 南 | 精装 | 中楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u8Ii99vr5_1.jpg.296x216.jpg
20201223,浦东,金桥,南北两房低楼层，6/9号线双轨地铁必看好房,380万,2室1厅 | 63.73平米 | 南 北 | 简装 | 低楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SEXXhCQBt_1.jpg.296x216.jpg
