20201223,浦东,书院镇,临港新片区精装全配，电梯三房，必看好房,195万,3室2厅 | 101.69平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gJ7wY8Ipb_1.jpg.296x216.jpg
20201223,浦东,书院镇,临港新城+中间楼层+精装修+满两年+业主诚心置换必看好房,160万,2室2厅 | 80.12平米 | 南 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dR8s2bpFY.jpg.296x216.jpg
20201223,浦东,书院镇,此房满五年，南北通，楼层好，阳台大，全天无遮挡。必看好房,168万,3室2厅 | 102.7平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KRlQXNE9q.jpg.296x216.jpg
20201223,浦东,书院镇,临港新片区+中楼层+采光无遮挡+交通便利+配套齐全必看好房,185万,3室2厅 | 102.45平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DGSrpFPuX_1.jpg.296x216.jpg
20201223,浦东,书院镇,此房中间楼层，无抵押无户口，产权清晰，自住装修。必看好房,130万,1室1厅 | 62.75平米 | 南 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dQTZiQelT_1.jpg.296x216.jpg
20201223,浦东,书院镇,中间楼层大四房，毛坯房装修灵活，有钥匙随时可看房主自荐,215万,4室2厅 | 124.25平米 | 南 | 毛坯 | 中楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-b1523bb5-4adf-41e0-902f-69632bed2f17.png.296x216.jpg
20201223,浦东,书院镇,临港顶楼附露台、户型正气，得房率高，格局通透。房主自荐,187万,2室2厅 | 104.26平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_USZ2vp3gV_1.jpg.296x216.jpg
20201223,浦东,书院镇,丽泽荷亭苑 2室1厅 南,156万,2室1厅 | 80.52平米 | 南 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sDaVREv3J_1.jpg.296x216.jpg
20201223,浦东,书院镇,临港新片区精装两室附带阁楼（阁楼已装修）置换诚售,173万,2室1厅 | 81.62平米 | 南 北 | 精装 | 高楼层(共5层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mVTjbTBM7_1.jpg.296x216.jpg
20201223,浦东,书院镇,临港新城，兰馨苑小区，中间楼层，新挂牌诚意出售！房主自荐,190万,3室2厅 | 102.45平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZN2pXoMmA_1.jpg.296x216.jpg
20201223,浦东,书院镇,南北户型 , 自住居家装修附带阁楼 ，业主诚意出售！房主自荐,177万,3室2厅 | 103.41平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_kW9Ckx0SA.jpg.296x216.jpg
20201223,浦东,书院镇,临港新片区大三房附带阁楼小区中间位置,195万,3室2厅 | 124.2平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wtwUvckFv_1.jpg.296x216.jpg
20201223,浦东,书院镇,丽泽梅傲苑 3室2厅 南房主自荐,205万,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共12层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5KJSvdgho.jpg.296x216.jpg
20201223,浦东,书院镇,临港新片区两房，附带大露台，户型正气，南北户型，香,155万,2室1厅 | 81.56平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gr2v2Uucq_1.jpg.296x216.jpg
