20201223,浦东,塘桥,精装修+中间位置+采光无遮挡+看房方便+地铁口！必看好房,200万,1室1厅 | 31.04平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_32d6Ol1wi_1.jpg.296x216.jpg
20201223,浦东,塘桥,近四六号线地铁，婚房装修，中间楼层，看房方便必看好房,362万,2室1厅 | 52.72平米 | 东南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fvu1CQf4c_1.jpg.296x216.jpg
20201223,浦东,塘桥,户型正气两房，得房率高，商品房小区必看好房,750万,2室2厅 | 87.46平米 | 南 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CuMIcXWON_1.jpg.296x216.jpg
20201223,浦东,塘桥,2楼装修好，交通方便，出门就是蓝村路地铁口必看好房,255万,1室1厅 | 38.33平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uln1BP2DX_1.jpg.296x216.jpg
20201223,浦东,塘桥,优质大二房+房东自住装修+稀有户型+南北通必看好房,960万,2室2厅 | 121平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DXqo4CxPt_1.jpg.296x216.jpg
20201223,浦东,塘桥,低总价中间楼层房，位置安静，采光充足，欢迎看房必看好房,178万,1室0厅 | 28.8平米 | 南 | 简装 | 中楼层(共4层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lRCz20eTv_1.jpg.296x216.jpg
20201223,浦东,塘桥,04年商品房带会所、中 央空调+全屋地暖、看房方便必看好房,1088万,3室2厅 | 158.87平米 | 东北 | 精装 | 低楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nkuFZvrrS_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环内，临地铁4、6号线 采光好 税费各付必看好房,779万,2室2厅 | 135.67平米 | 南 西南 | 简装 | 低楼层(共29层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ZNAQItQxa_1.jpg.296x216.jpg
20201223,浦东,塘桥,塘东小区 2室1厅 南必看好房,335万,2室1厅 | 50.04平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u30ykLJQb_1.jpg.296x216.jpg
20201223,浦东,塘桥,文兰小区*92年2楼*满五唯一*1梯3户*随时签字必看好房,260万,1室1厅 | 41.33平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6fdc8aba-9f4c-4d8a-8ec1-8386a81fe61c_1000.jpg.296x216.jpg
20201223,浦东,塘桥,中间楼层朝南一室户，精装修，近地铁，诚意出售必看好房,230万,1室1厅 | 34.36平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EiKq0zRdn_1.jpg.296x216.jpg
20201223,浦东,塘桥,小区中xin位置，视野开阔，采光充足，户型方正必看好房,237万,1室0厅 | 37.47平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hBVHZ9hSR_2.jpg.296x216.jpg
20201223,浦东,塘桥,南北两房+南泉路菜市场+出行方便+满五年+诚意出售必看好房,330万,2室1厅 | 56.84平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5h7mTblJf_1.jpg.296x216.jpg
20201223,浦东,塘桥,精装修一楼带花园+业主诚意出售+有钥匙+看房方便必看好房,219万,2室1厅 | 31.31平米 | 南 | 精装 | 低楼层(共4层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5062f89-8383-48ae-b5db-c54e8c892760_1000.jpg.296x216.jpg
20201223,浦东,塘桥,满五唯一，户型好，南北通，面积大，业主很诚意必看好房,349万,2室1厅 | 54.95平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/779feda0-31d0-46bb-bcbd-abffb0039534_1000.jpg.296x216.jpg
20201223,浦东,塘桥,1992年小区，位置安静，近地铁，小区刚翻新过，全明必看好房,238万,1室1厅 | 40.71平米 | 南 西 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f0c5efc1-36bf-431b-9bf5-25464e5814d9_1000.jpg.296x216.jpg
20201223,浦东,塘桥,文兰小区*92年*1梯2户*南卧花园位置*边套全明*有钥匙必看好房,368万,2室1厅 | 51.67平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yDl1RbVzS.jpg.296x216.jpg
20201223,浦东,塘桥,南北电梯全明户型，出门蓝村路地铁，满5年唯一，安静必看好房,520万,2室1厅 | 77.24平米 | 东南 南 | 精装 | 低楼层(共18层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_pgf7npA8e_1.jpg.296x216.jpg
20201223,浦东,塘桥,文兰小区*92年*1梯3户*婚房装修*小区中间*置换急卖必看好房,359万,2室1厅 | 51.46平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4IANcaTpI_1.jpg.296x216.jpg
20201223,浦东,塘桥,地铁口，中间楼层，精装修，户型好必看好房,280万,1室1厅 | 41.24平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fqTuQ3RCu_1.jpg.296x216.jpg
20201223,浦东,塘桥,业主急售，地铁口，低楼层带花园，明厨明卫，看房方便必看好房,214万,1室1厅 | 33.5平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_II7iiAZCy_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环内 电梯南北两房 满5年唯一 税费少 小区出门地铁必看好房,550万,2室1厅 | 77.24平米 | 南 | 精装 | 中楼层(共18层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_osYghYnIB_2.jpg.296x216.jpg
20201223,浦东,塘桥,此房满五年唯一 朝南看 一线江景房主自荐,2200万,3室2厅 | 202.11平米 | 南 | 精装 | 中楼层(共35层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-14a153ef-228e-4d8b-8884-4288a592b72e.jpg.296x216.jpg
20201223,浦东,塘桥,总价低、楼下就是地铁4号线和巴黎春天、出行方便房主自荐,980万,3室2厅 | 151.63平米 | 南 | 精装 | 高楼层(共22层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YVCVGGmNi_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环内 |景观大平层| 满五唯一 有产权车位房主自荐,1685万,5室2厅 | 228.4平米 | 东南 | 精装 | 高楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-b872b1f3-59a3-4484-84de-d945c11285d2.png.296x216.jpg
20201223,浦东,塘桥,双南两房+一梯两户+小区安静位置+浦建路207弄好房房主自荐,405万,2室1厅 | 55.35平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ipR1YwbIX_1.jpg.296x216.jpg
20201223,浦东,塘桥,外地户口可以买用公司破购，看整条黄浦江没有住过人,3700万,4室2厅 | 238.4平米 | 南 | 精装 | 低楼层(共18层) | 2017年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_O67DKSBNg_2.jpg.296x216.jpg
20201223,浦东,塘桥,15年次新房︱客厅面宽11米︱一线永恒江景︱可看房,4000万,4室2厅 | 343.32平米 | 南 | 精装 | 中楼层(共31层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3B1NXbazE_1.jpg.296x216.jpg
20201223,浦东,塘桥,靠江顶楼复式 带2个露台 客厅挑空 新装修 业主诚意,8800万,6室3厅 | 708.87平米 | 南 | 精装 | 高楼层(共35层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/311e3a03-d6c4-4708-aa42-63ef5c11d8fd_1000.jpg.296x216.jpg
20201223,浦东,塘桥,国企高品质︱一线永恒江景︱︱客厅面宽11米︱随时看房,4750万,4室2厅 | 343.32平米 | 南 北 | 精装 | 中楼层(共31层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FCcGdAA3d_1.jpg.296x216.jpg
20201223,浦东,塘桥,2014年小区 一线江景房 7米面宽 落地玻璃 带全屋地暖,2650万,3室1厅 | 235.69平米 | 南 | 精装 | 高楼层(共35层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SrPGd7121_1.jpg.296x216.jpg
20201223,浦东,塘桥,满五唯一 近地铁 户型正 中间楼层房主自荐,1180万,4室2厅 | 191.63平米 | 南 北 | 简装 | 中楼层(共22层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HzlU5KUcN_1.jpg.296x216.jpg
20201223,浦东,塘桥,四六号线蓝村路站，塘桥品质小区，边套全明两房,360万,2室1厅 | 58.3平米 | 东南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kouaxdBE2_1.jpg.296x216.jpg
20201223,浦东,塘桥,看黄浦江景+带地下产权车位，看房方便 满五年唯一,830万,2室2厅 | 125.35平米 | 西北 | 精装 | 中楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-4766e233-a5e9-4097-aa11-675322c6ef94.jpg.296x216.jpg
20201223,浦东,塘桥,精装修一房一阳光房+有钥匙+塘桥地铁+看房方便+诚售,295万,1室1厅 | 43.91平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1IGjepjsA_1.jpg.296x216.jpg
20201223,浦东,塘桥,南泉小区 1室1厅 南新上,280万,1室1厅 | 47.34平米 | 南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qm86mLlzt.jpg.296x216.jpg
20201223,浦东,塘桥,儿童医学地铁口+税费少+南北透风+诚意出售,1580万,4室3厅 | 214.41平米 | 南 | 精装 | 高楼层(共13层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KYcJMo2f5_1.jpg.296x216.jpg
20201223,浦东,塘桥,此房户型方正，成交快，欢迎大家来带看房主自荐,880万,3室2厅 | 167.06平米 | 南 | 简装 | 高楼层(共18层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UwimLpGr6_1.jpg.296x216.jpg
20201223,浦东,塘桥,浦江映象 3室2厅 南,1030万,3室2厅 | 118.85平米 | 南 | 简装 | 高楼层(共28层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zo6A7ftJj_1.jpg.296x216.jpg
20201223,浦东,塘桥,陆家嘴豪.宅小区品质高，南北通5房 百里视野无遮挡,4100万,5室2厅 | 296平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2OD1jFfXH_1.jpg.296x216.jpg
20201223,浦东,塘桥,金浦小区(塘桥) 2室1厅 东,450万,2室1厅 | 58.3平米 | 东 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_suszzjygG_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环内高品质小区 高区江景房一室两厅 精装修 诚意卖,680万,1室2厅 | 78.73平米 | 西北 | 精装 | 高楼层(共29层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zQrUiz54G_1.jpg.296x216.jpg
20201223,浦东,塘桥,此房满五唯一，户型方正，大两房，看房方便，诚意售,760万,2室2厅 | 126.14平米 | 东南 | 精装 | 高楼层(共29层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Lc1SB4r3P_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环内品质小区，户型正气单价低，原始大两房诚意出售,760万,2室2厅 | 135.67平米 | 东南 | 简装 | 低楼层(共29层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Ugw38f7fo_1.jpg.296x216.jpg
20201223,浦东,塘桥,内环以内，精美居家装修，南北两室，户型正气,570万,2室2厅 | 87.66平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-8ef4dde9-7737-439a-a5d5-739a7c19fe97.png.296x216.jpg
20201223,浦东,塘桥,内环内+近地铁+安静+满五年唯一，近地铁,1390万,4室2厅 | 213.72平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K2z1NpgXH_1.jpg.296x216.jpg
