20201223,浦东,宣桥,精装婚房装修 宣桥三房装修best一套 房东诚心卖呢必看好房,240万,4室2厅 | 120.29平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/08a9b52c-8d7f-4711-9e50-125f5c640aa8_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣荷苑.二房.精装房东自住.可以马上过户房主自荐,197万,2室2厅 | 93.96平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da201a58-a5d5-4db0-9fe8-5c41b054263f_1000.jpg.296x216.jpg
20201223,浦东,宣桥,小兰子强烈推荐 单价低  大三房 户型南北正气房主自荐,226万,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6d8370b9-be6b-4118-8448-4b5947616b7b_1000.jpg.296x216.jpg
20201223,浦东,宣桥,总价低户型好 宣桥南北通两房 中间楼层 户型正气房主自荐,200万,2室2厅 | 94平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6fe2c581-1972-41be-a60c-8a215ca3d326_1000.jpg.296x216.jpg
20201223,浦东,宣桥,电梯房，中间楼层，沿河景观房，房型方正新上,153万,1室2厅 | 66.94平米 | 南 | 毛坯 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/941cbe7c-8918-45a9-8cac-ccabb04d7f3c_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣梅苑 两房 精装修 看房随时 次顶楼房主自荐,200万,2室1厅 | 94平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/99a5c5ee-3a20-4c1f-8ec8-b4c5c9d53208_1000.jpg.296x216.jpg
20201223,浦东,宣桥,本房满五唯一，精装修，靠河位置，适合刚需人群房主自荐,240万,3室2厅 | 122.02平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/57ebba2e-5bf4-43e2-83bb-2e15d3b5edb4_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣春苑电梯房 好楼层  南北通 中装两房 宜安家房主自荐,215万,2室2厅 | 95.29平米 | 南 | 其他 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f557d73-bb95-4785-b136-260d203a8510_1000.jpg.296x216.jpg
20201223,浦东,宣桥,好房加南北双阳台，房东诚意出售，精装修。房主自荐,204万,2室2厅 | 105.11平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-71ebdf48-2903-40f6-a36b-110ed300a3c9.jpg.296x216.jpg
20201223,浦东,宣桥,欣松苑两房，南北格局 采光通透，业主因置换诚心出售房主自荐,180万,2室2厅 | 93.97平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ea3636fb-fdd6-48b7-b7eb-9a6544dba1da_1000.jpg.296x216.jpg
20201223,浦东,宣桥,宣桥总价低2房，楼层佳，房东诚意出售，看房随时,175万,2室1厅 | 76.91平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/917cf01a-716a-4e56-ba15-8d7f94c89aa0_1000.jpg.296x216.jpg
