20201223,浦东,杨东,满五唯一，买入价高，税费少，位置安静，南北直通...必看好房,800万,2室2厅 | 94.91平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,
20201223,浦东,杨东,视野无遮挡，安静位置，满五唯一税费低，诚心售房必看好房,1270万,3室2厅 | 143.68平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCSrqRxG5_1.jpg.296x216.jpg
20201223,浦东,杨东,内环内 低总价 满五唯一 海桐+建平香梅 看房方便必看好房,795万,3室2厅 | 113.99平米 | 南 | 简装 | 低楼层(共8层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_93C5zCMnL_1.jpg.296x216.jpg
20201223,浦东,杨东,专属委托，2018年卖入满两年，税费低，单价低，有车位必看好房,2300万,4室3厅 | 283.28平米 | 南 北 | 精装 | 高楼层(共27层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9wUKYLYdF_1.jpg.296x216.jpg
20201223,浦东,杨东,顶楼带阁楼，阁楼使用面积大，满五年，普通住宅税费少必看好房,439万,1室1厅 | 53.55平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QZZYEUDdR_1.jpg.296x216.jpg
20201223,浦东,杨东,锦绣天第花园 2室2厅 南必看好房,1020万,2室2厅 | 106.8平米 | 南 | 简装 | 中楼层(共10层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VmRlDJjr5_1.jpg.296x216.jpg
20201223,浦东,杨东,精装修三房，实际使用面积大拎包入住必看好房,485万,3室2厅 | 54.86平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sqpft4MuK_1.jpg.296x216.jpg
20201223,浦东,杨东,海桐+建平  世纪公园  小区安静位置 精装修必看好房,613万,2室2厅 | 77.11平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FyJxJtIxf.jpg.296x216.jpg
20201223,浦东,杨东,海桐一手动迁，有阁楼面积大，满五唯一必看好房,620万,3室1厅 | 81.24平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZVoTLovTQ_1.jpg.296x216.jpg
20201223,浦东,杨东,内环以内海桐一房，一手动迁税费少，业主诚意出售。必看好房,360万,1室1厅 | 49.64平米 | 南 | 毛坯 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I61lnqtQH_1.jpg.296x216.jpg
20201223,浦东,杨东,下叠别墅带花园 满五唯一 保养好 拎包入住必看好房,1250万,4室2厅 | 158.86平米 | 南 北 | 精装 | 低楼层(共3层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gtzwSgT62_1.jpg.296x216.jpg
