20201223,浦东,源深,店长推荐，NEW出大三房，楼层位置好，税费低，诚售！必看好房,999万,3室1厅 | 104.83平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Bq4K3443_1.jpg.296x216.jpg
20201223,浦东,源深,唯一一套电梯在售大三房，高区视野采光好，诚意出售必看好房,1120万,3室1厅 | 125.26平米 | 南 北 | 简装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3fSYMLOpK_1.jpg.296x216.jpg
20201223,浦东,源深,坐拥主楼位置，俯瞰小区广场，福外总价蕞低商品房必看好房,1230万,2室2厅 | 102.1平米 | 南 | 精装 | 低楼层(共25层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1aMCJ0pyr_1.jpg.296x216.jpg
20201223,浦东,源深,全南户型 采光好 精装修 随时看房 居家必选必看好房,675万,3室1厅 | 116.56平米 | 南 | 精装 | 低楼层(共26层) | 1993年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-0ff0966e-f37b-48f2-8c70-f20c96c45424.jpg.296x216.jpg
20201223,浦东,源深,陆家嘴花园（一期）  双朝南  高层雅居必看好房,1265万,2室2厅 | 104.66平米 | 南 | 精装 | 高楼层(共27层) | 2000年建 | 板楼,
20201223,浦东,源深,店长推荐NEW，主楼景观大三房，位置安静视野好有车位房主自荐,2080万,3室2厅 | 150.54平米 | 南 | 精装 | 中楼层(共32层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b4ffc634-d761-4f54-ae54-6b1d4df598d7_1000.jpg.296x216.jpg
20201223,浦东,源深,高楼层光线好！美丽一房，精装保养好拎包住！房主自荐,830万,1室2厅 | 71.45平米 | 南 | 精装 | 高楼层(共20层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a8c90f28-acc3-4f5e-8bda-bee71df7c795_1000.jpg.296x216.jpg
20201223,浦东,源深,两年前装修飞机户型得房率高 前方无遮挡 看河南北直通新上,2050万,3室2厅 | 144.67平米 | 南 | 精装 | 低楼层(共25层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ifxzg4bDk_1.jpg.296x216.jpg
20201223,浦东,源深,双卫全明大两房 落地大窗景观好 价格低  诚意出售！！房主自荐,1250万,2室2厅 | 104.88平米 | 南 | 简装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y7QrJQqfo_2.jpg.296x216.jpg
20201223,浦东,源深,陆家嘴花园大3房单价低 满五年唯一 诚意出售房主自荐,1700万,3室2厅 | 168.46平米 | 南 北 | 精装 | 低楼层(共11层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C9GQC1GqH_1.jpg.296x216.jpg
20201223,浦东,源深,新装修，未住过，税费成本低，诚意在售3+1房,1480万,4室2厅 | 158.29平米 | 南 北 | 精装 | 低楼层(共19层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_apZlODnwh_1.jpg.296x216.jpg
20201223,浦东,源深,中间花园旁3房，满五唯一，新装修，看房方便房主自荐,1130万,3室2厅 | 102.66平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UHh9ffeOu_1.jpg.296x216.jpg
