20201223,浦东,张江,近轨交2号线+楼层好+房型正+满五唯一+精装修+诚意出售必看好房,1590万,3室2厅 | 123.2平米 | 南 | 精装 | 高楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0KJy4qSsp_2.jpg.296x216.jpg
20201223,浦东,张江,13年动迁小区房龄新环境好，户型通透总价低必看好房,346万,1室2厅 | 61.76平米 | 南 | 简装 | 高楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jhNclsIVb_3.jpg.296x216.jpg
20201223,浦东,张江,精装修，电梯房，房龄新，小区环境好必看好房,350万,1室2厅 | 60.64平米 | 南 | 精装 | 中楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nAtydmMVO_2.jpg.296x216.jpg
20201223,浦东,张江,张集美式高品质精装两房，地暖+中yang空调，带车位必看好房,1250万,2室2厅 | 89.9平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QJlAMD0EU_1.jpg.296x216.jpg
20201223,浦东,张江,小区中间位置，带大花园，精装小三房，业主诚意出售必看好房,410万,3室1厅 | 86.27平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zDQkmaDih_2.jpg.296x216.jpg
20201223,浦东,张江,一手动迁，满五唯一，税费少，精装修，中间位置必看好房,500万,3室1厅 | 84.25平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HQKh9TbJP_1.jpg.296x216.jpg
20201223,浦东,张江,新上房源位置佳自住装修产权清晰必看好房,380万,2室1厅 | 57.96平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ubXfj9QjS_1.jpg.296x216.jpg
20201223,浦东,张江,精心装修，诚意出售，户型方正，带产权车位必看好房,1270万,2室2厅 | 89.9平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SppxUhd4b_2.jpg.296x216.jpg
20201223,浦东,张江,张集精装复式，带花园可以种蔬菜必看好房,1210万,2室2厅 | 103.92平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MVsCijIoR_2.jpg.296x216.jpg
20201223,浦东,张江,标准三房，业主诚意出售，中间位置。随时看房。必看好房,500万,3室1厅 | 81.81平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IDYtjLBhM_1.jpg.296x216.jpg
20201223,浦东,张江,小区中间位置，户型好，采光充足。必看好房,680万,3室2厅 | 122.54平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2EV5fnn3Q_2.jpg.296x216.jpg
20201223,浦东,张江,税少，诚意出售，小区中间位置，景观楼层，看房方便必看好房,1958万,4室2厅 | 328.76平米 | 东南 南 | 精装 | 低楼层(共3层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g22fJ4gvw_1.jpg.296x216.jpg
20201223,浦东,张江,婚房装修，拎包入住，买进价格高税费少，满五年唯一必看好房,1980万,4室2厅 | 307.86平米 | 南 北 | 精装 | 低楼层(共3层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Aypqdr4Tk_2.jpg.296x216.jpg
20201223,浦东,张江,一手动迁，户型好，小区花园位置，诚意出售带大花园必看好房,498万,2室2厅 | 98.58平米 | 南 | 毛坯 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xKWt4BJod_2.jpg.296x216.jpg
20201223,浦东,张江,近地铁好房  楼层好  采光好必看好房,720万,2室2厅 | 107.45平米 | 南 北 | 其他 | 中楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b8150cYb2_2.jpg.296x216.jpg
20201223,浦东,张江,一手动迁+业主诚意出售+看房方便+紧靠地铁必看好房,495万,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tHJc0dXNI_1.jpg.296x216.jpg
20201223,浦东,张江,商品房+满五唯一+近地铁+可省增值税必看好房,319万,2室1厅 | 69.85平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sbdpEcOhu_2.jpg.296x216.jpg
20201223,浦东,张江,只此1套+楼层好位置佳+户型正气实用+诚意出售必看好房,420万,2室2厅 | 75.93平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_spOHJY6At_1.jpg.296x216.jpg
20201223,浦东,张江,小区中间位置，中间楼层，边套带窗，业主诚意出售必看好房,425万,2室2厅 | 88.14平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CcEMUN5RA_2.jpg.296x216.jpg
20201223,浦东,张江,2003年商品房+户型方正+中环内+业主急售必看好房,550万,3室2厅 | 123.11平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ClpVdXYhQ_3.jpg.296x216.jpg
20201223,浦东,张江,张江科学城+满五唯一+普通住房+精装自主小区中间位置必看好房,318万,1室1厅 | 61.04平米 | 南 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AAHxx9suo_2.jpg.296x216.jpg
