20201223,普陀,曹杨,曹杨九村 1室1厅 南必看好房,199万,1室1厅 | 36.12平米 | 南 | 精装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnf0RKIes_1.jpg.296x216.jpg
20201223,普陀,曹杨,带阁楼 有露台  动静分离  视野开阔  近地铁 业主置换必看好房,470万,2室1厅 | 65.68平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/93c5d141-436a-4614-87de-87d8a3438d22_1000.jpg.296x216.jpg
20201223,普陀,曹杨,电梯房，双阳台，全明户型，业主诚意出售，看房方便必看好房,538万,2室1厅 | 98.25平米 | 南 | 简装 | 低楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_frkyv4lmg_1.jpg.296x216.jpg
20201223,普陀,曹杨,11/14号线沿线曹杨板块，双南品质两房，质感装修必看好房,263万,2室1厅 | 53.66平米 | 南 | 精装 | 高楼层(共6层) | 1963年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gtaAI6HxA_1.jpg.296x216.jpg
20201223,普陀,曹杨,售后公房  小区位置好 全明户型 采光好必看好房,325万,2室1厅 | 51.34平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62c7106b-bc25-44c1-a543-1eead7f367d0_1000.jpg.296x216.jpg
20201223,普陀,曹杨,急急急，满五唯一，边套全明户型，采光好必看好房,275万,2室1厅 | 47.94平米 | 南 北 | 简装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f71c86a8-7ab6-45d1-845f-27128d5a55cd_1000.jpg.296x216.jpg
20201223,普陀,曹杨,带花园，满五年唯一，看房方便，随时可签，业主诚意！必看好房,265万,1室1厅 | 43.31平米 | 南 北 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/76325824-8e9b-4f62-8c1d-3b4755ddd5f6_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨板块超低价两房，看房方便，中间楼层，诚意出售必看好房,210万,2室0厅 | 42.64平米 | 南 | 毛坯 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iLdd754GQ_2.jpg.296x216.jpg
20201223,普陀,曹杨,双南两房 视野开阔  品质小区 交通便利,790万,2室2厅 | 87.07平米 | 南 | 精装 | 高楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N0pbQyT7G_1.jpg.296x216.jpg
20201223,普陀,曹杨,上海之春公寓 2室2厅 南新上,838万,2室2厅 | 97.32平米 | 南 | 简装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E8TsGcJxh_1.jpg.296x216.jpg
20201223,普陀,曹杨,小三房  近环球港 近地铁 交通便利 生活配套齐全,348万,3室1厅 | 61.88平米 | 南 北 | 精装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YdLBwQmTb_1.jpg.296x216.jpg
20201223,普陀,曹杨,到价钱字，出行便利，满五唯一无个税，南北通风三房新上,950万,3室2厅 | 127.33平米 | 南 北 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Itmw7Z6uM_1.jpg.296x216.jpg
20201223,普陀,曹杨,唯一住房 非顶楼  税费少 近公园 交通便捷 业主置换房主自荐,205万,1室1厅 | 30.78平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vjWODf7xP_1.jpg.296x216.jpg
20201223,普陀,曹杨,视野开阔 闹中取静 配套设施齐全 交通便利 房型正气,658万,3室1厅 | 111.42平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NlkMg2LUD.jpg.296x216.jpg
20201223,普陀,曹杨,楼层好闹中取静 配套设施齐全 交通便利 房型正气,678万,3室1厅 | 111.42平米 | 南 | 毛坯 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/17115fc7-de8e-4c5f-8b1c-fe93bbb6cf67_1000.jpg.296x216.jpg
20201223,普陀,曹杨,南北全明户型，不靠马路无遮挡，满五唯一产权户口清晰新上,240万,1室1厅 | 34.37平米 | 南 | 其他 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bgPC7dheP_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨六村(沙溪园) 2室1厅 南新上,250万,2室1厅 | 44.16平米 | 南 | 简装 | 高楼层(共6层) | 1972年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KP6lkVgSe_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装双南两房，近地铁，配套成熟，诚意出售新上,335万,2室1厅 | 58.64平米 | 南 | 毛坯 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lecpoRe60.jpg.296x216.jpg
20201223,普陀,曹杨,电梯房，满五不唯一，超大地下室，采光佳，近地铁,390万,2室1厅 | 68.5平米 | 南 | 简装 | 低楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SeBUo4tuT_1.jpg.296x216.jpg
20201223,普陀,曹杨,中间楼层，,老少皆宜，诚意出售，产权清晰。,249万,1室1厅 | 38.56平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F4TZ6Q7Q4_1.jpg.296x216.jpg
20201223,普陀,曹杨,采光好，小户型，不靠马路，诚意出售,225万,1室0厅 | 36.87平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K5mTkXXHo_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨九村 2室0厅 南 北,298万,2室0厅 | 46.12平米 | 南 北 | 精装 | 低楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oVEr5lz25_1.jpg.296x216.jpg
20201223,普陀,曹杨,梅岭苑电梯房次顶层景观房精装修目前空关满五唯一,500万,2室1厅 | 74.08平米 | 西南 | 简装 | 高楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/6703249c-81c2-4ab4-9586-806e7f500533_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满五1/2唯一  近地铁  户型正气   业主置换  看房方便,495万,3室1厅 | 85.22平米 | 南 | 简装 | 低楼层(共22层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/0ce8c1e8-be04-4370-b5ab-4650baa4909b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,南北通，视野很好，南北双阳台，价格可谈,980万,3室2厅 | 139.32平米 | 南 | 简装 | 高楼层(共21层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9aef591c-10ac-4cbc-9ff1-f736bb2d05ce_1000.jpg.296x216.jpg
