20201223,普陀,长寿路,上青佳园高品质一房，你值得拥有必看好房,598万,1室1厅 | 61.39平米 | 南 | 精装 | 低楼层(共9层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BvKFce7lh_1.jpg.296x216.jpg
20201223,普陀,长寿路,内环内大两房满五唯一税费少朝向好，正看长寿公园！必看好房,686万,2室1厅 | 93.58平米 | 东 南 | 精装 | 中楼层(共25层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YlyzCh9co_1.jpg.296x216.jpg
20201223,普陀,长寿路,内环内，精装修，全明户型，四轨交汇，户型端正必看好房,240万,1室1厅 | 35.59平米 | 南 | 精装 | 高楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tSwyOFxPS_1.jpg.296x216.jpg
20201223,普陀,长寿路,高区无遮挡舒适大两房满五年业主诚意出售 有车位另售必看好房,1030万,2室2厅 | 121.46平米 | 南 | 精装 | 高楼层(共33层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HNnOFMtYv_1.jpg.296x216.jpg
20201223,普陀,长寿路,有客厅的电梯一房  配套齐全  交通便利   诚意出售必看好房,330万,1室1厅 | 45.18平米 | 南 | 简装 | 低楼层(共26层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_VAVvvzvt2_1.jpg.296x216.jpg
20201223,普陀,长寿路,近地铁 双南大两房  楼下长寿公园  满五年唯一必看好房,698万,2室2厅 | 93.58平米 | 西南 | 精装 | 中楼层(共25层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_E4hmDRIAa_1.jpg.296x216.jpg
20201223,普陀,长寿路,内环内普宅 70年住宅 朝南一房满五税费少 租住皆宜必看好房,356万,1室1厅 | 49.35平米 | 南 | 精装 | 25层 | 2004年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_HcFfd383I_1.jpg.296x216.jpg
20201223,普陀,长寿路,南北边套全明+视野采光炒鸡好+地铁通勤优越+满五唯一必看好房,525万,2室1厅 | 82.79平米 | 南 西南 | 毛坯 | 中楼层(共21层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Me1URjdtl_1.jpg.296x216.jpg
20201223,普陀,长寿路,地铁7和13号线，次新小区,一卡一户，产权清晰安全必看好房,1110万,3室2厅 | 120.99平米 | 南 | 精装 | 低楼层(共25层) | 2012年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2f6ExNeOV_1.jpg.296x216.jpg
20201223,普陀,长寿路,房中貂蝉！户型方正 满五唯一+阳光足+交通便利+精装修必看好房,636万,2室2厅 | 93.01平米 | 东南 南 | 精装 | 低楼层(共20层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_nSK2Q5YHu_1.jpg.296x216.jpg
