20201223,普陀,长征,南北通透，视野采光好，精装修两房，税费低必看好房,340万,2室1厅 | 53.35平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u3HmAPJdC_1.jpg.296x216.jpg
20201223,普陀,长征,满五唯一精装修，三房朝南厅南北通透，高价买进税费少必看好房,1030万,3室2厅 | 138.8平米 | 南 北 | 精装 | 中楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J2sPXSxiN_1.jpg.296x216.jpg
20201223,普陀,长征,花园洋房 总高4楼的中间楼层，房源所在位置佳 有车位必看好房,870万,3室2厅 | 121.99平米 | 南 | 精装 | 中楼层(共4层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w7ZOpnblc_1.jpg.296x216.jpg
20201223,普陀,长征,无增值税/个税+位置好全明户型+交通出行方便！必看好房,375万,2室1厅 | 65.55平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o1s4pFvEZ_1.jpg.296x216.jpg
20201223,普陀,长征,满五唯一中环旁 地铁口 精装修南北大两房必看好房,820万,2室2厅 | 114.66平米 | 南 北 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7dpVfxAxx_1.jpg.296x216.jpg
20201223,普陀,长征,普陀区万景园电梯顶楼复式满五唯一必看好房,1270万,5室2厅 | 196.02平米 | 南 北 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fd2Pha3rR_1.jpg.296x216.jpg
20201223,普陀,长征,精装修+低楼层+中环百联+步行街+祥和公园必看好房,642万,3室2厅 | 110.56平米 | 南 北 | 精装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BUCuxGjPS_1.jpg.296x216.jpg
20201223,普陀,长征,新上房源，户型正气，满五税费少必看好房,385万,2室2厅 | 74.5平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0MiuLKsxe_1.jpg.296x216.jpg
20201223,普陀,长征,靠地铁，近中环！南北同户型 ，一梯两户，得房率高必看好房,815万,2室2厅 | 106.81平米 | 南 北 | 精装 | 中楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HY4P7nwOX_1.jpg.296x216.jpg
20201223,普陀,长征,中楼层，业主诚意出售，采光无遮挡，配套齐全必看好房,625万,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gSxvg3HhN_1.jpg.296x216.jpg
20201223,普陀,长征,中间位置楼层好，南北通视野采光佳，配套齐全交通便必看好房,430万,2室1厅 | 66.27平米 | 南 北 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tsXGuX39I_1.jpg.296x216.jpg
20201223,普陀,长征,红本满五唯一 税费少交易快 即买即可入住诚意出售必看好房,368万,2室1厅 | 72.55平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eIICWUztS_1.jpg.296x216.jpg
20201223,普陀,长征,精装六楼带阁楼，视野开阔位置好,南北通户型，诚意卖必看好房,551万,2室2厅 | 87.12平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XBjEHZ0GW_1.jpg.296x216.jpg
20201223,普陀,长征,满五年+近中环百联+全明户型+位置好不临街必看好房,427万,2室1厅 | 62.7平米 | 东 东南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c3a058a1-9d99-4c18-b504-8c3ea7a7fa60_1000.jpg.296x216.jpg
20201223,普陀,长征,普陀区精致装修两居室，双南且通透，一梯两户，百联旁必看好房,350万,2室1厅 | 70.3平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TGK0fBO8q_1.jpg.296x216.jpg
20201223,普陀,长征,4复5带阁楼 南北全明户型 适宜三代同堂 单价低必看好房,1180万,6室3厅 | 201.16平米 | 南 北 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2006a57e907bee9731bc303768e0e184-076.jpg.296x216.jpg
20201223,普陀,长征,新上电梯3房，满五不唯一，产权清晰，业主诚意卖房必看好房,786万,3室2厅 | 112.26平米 | 南 北 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58a6fe3357f1de481117eaf6ea017031-015.jpg.296x216.jpg
20201223,普陀,长征,中环边，双南电梯两房，近地铁13号线真北路站必看好房,718万,2室2厅 | 98.89平米 | 南 | 简装 | 中楼层(共26层) | 2005年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170314/fd0d6d24-5ce6-4cc9-b235-ca2c3c62da32.jpg.296x216.jpg
20201223,普陀,长征,两房朝南 包含固定车位  一梯两户 中间楼层 全明户型必看好房,945万,3室2厅 | 131.3平米 | 南 北 | 精装 | 中楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/10880422-29f5-4875-9b30-d9f17912b3bf.jpg_600x450.jpg.296x216.jpg
20201223,普陀,长征,普陀三房，中间楼层，采光充足，满五唯一，近地铁,530万,3室2厅 | 114.39平米 | 东 南 西 | 简装 | 中楼层(共5层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FjR1mmYha_1.jpg.296x216.jpg
20201223,普陀,长征,中间楼层 13号线地铁口  南北通 宜三代同堂,710万,3室2厅 | 128.49平米 | 南 北 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I5NTmu7gq_1.jpg.296x216.jpg
20201223,普陀,长征,泾阳家园一房+小区中间位置+交通方便+配套齐全新上,290万,2室1厅 | 52.45平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hyColhqmx_1.jpg.296x216.jpg
20201223,普陀,长征,金沙雅苑(四期) 2室2厅 南新上,828万,2室2厅 | 107.84平米 | 南 | 精装 | 中楼层(共18层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mKV1NZKhi_1.jpg.296x216.jpg
20201223,普陀,长征,近天然氧吧+中间楼层给你一个温暖舒适的家！新上,548万,2室1厅 | 87.72平米 | 南 北 | 精装 | 中楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XMLtGqYov_1.jpg.296x216.jpg
20201223,普陀,长征,东旺大三房 位置佳 出门百联 户型方正双阳台 采光棒房主自荐,670万,3室2厅 | 111.92平米 | 南 北 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZGsKOt6eq_1.jpg.296x216.jpg
20201223,普陀,长征,地铁大三房，户型好采光佳，业主急售房主自荐,710万,3室2厅 | 133.67平米 | 南 北 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jfaX6v6uL_1.jpg.296x216.jpg
20201223,普陀,长征,满五年+保养好+采光无遮挡，楼层好业主诚意出售房主自荐,500万,2室1厅 | 83.79平米 | 南 北 | 精装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T4qspTfKu_1.jpg.296x216.jpg
20201223,普陀,长征,三期南北通大三房+高区位置好+配套成熟+地铁口,960万,3室2厅 | 136.08平米 | 南 北 | 简装 | 中楼层(共24层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZI2rZdEMe_1.jpg.296x216.jpg
20201223,普陀,长征,位置安静+精装修全屋地暖+大金空调+带有固定的车位房主自荐,978万,3室2厅 | 134平米 | 南 北 | 精装 | 低楼层(共24层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uFRLfkxui_1.jpg.296x216.jpg
20201223,普陀,长征,南北通透，满五唯一，位置安静，诚意出售，配套齐全房主自荐,790万,2室2厅 | 103.32平米 | 南 北 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vd4QobilE_1.jpg.296x216.jpg
20201223,普陀,长征,中间楼层，户型方正，全南两房，诚意出售,399万,2室1厅 | 66.54平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4B26ksNXa_1.jpg.296x216.jpg
20201223,普陀,长征,嘉云苑这套房子满五唯一，产权清晰，业主卖房诚意房主自荐,355万,2室1厅 | 60.49平米 | 南 北 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2PskXlN15_1.jpg.296x216.jpg
20201223,普陀,长征,满五唯一，近地铁，配套成熟，生活方便房主自荐,898万,4室2厅 | 163.4平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SH1etY59o_1.jpg.296x216.jpg
20201223,普陀,长征,大平层+满五唯一+户型好+业主诚意售房主自荐,795万,3室2厅 | 151.61平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LoygmA0Kk_1.jpg.296x216.jpg
20201223,普陀,长征,牡丹苑顶层复式，带电梯和车位，近地铁，满五唯一房主自荐,980万,3室2厅 | 141.36平米 | 南 北 | 精装 | 高楼层(共10层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LJeu2pmYR.jpg.296x216.jpg
20201223,普陀,长征,地铁200米祁连山南路站，中间楼层，有钥匙看房方便房主自荐,320万,2室1厅 | 57.52平米 | 东南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zOPStjLtM_1.jpg.296x216.jpg
20201223,普陀,长征,满五唯一，叠加复式诚意出售 情系苏州河畔房主自荐,1040万,4室2厅 | 159.13平米 | 南 北 | 简装 | 上叠(共4层) | 2000年建 | 板楼 | 叠拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_0aNTghpXu_1.jpg.296x216.jpg
20201223,普陀,长征,中环大平层，国企上海地产开发，精装交付，人车分流。房主自荐,1800万,4室2厅 | 230.31平米 | 南 北 | 精装 | 低楼层(共12层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zTm64RIOW_1.jpg.296x216.jpg
20201223,普陀,长征,满五唯一，厅南北通，四开间朝南，采光无遮挡,988万,3室2厅 | 138.73平米 | 南 北 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FLprZvkZU_1.jpg.296x216.jpg
20201223,普陀,长征,户型方正+看房方便+价格合适+业主诚售+税费少！,285万,2室1厅 | 60.21平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AVSm2MV2G_1.jpg.296x216.jpg
20201223,普陀,长征,精装大三房，两房朝南，一房朝北，两卫全明户型,716万,3室2厅 | 123.51平米 | 南 | 精装 | 高楼层(共7层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iXRmq6rPy_1.jpg.296x216.jpg
20201223,普陀,长征,14/15号、楼层好，视野宽阔采光充足，配套设施齐全,330万,1室1厅 | 44.37平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SMjDgiqMQ_1.jpg.296x216.jpg
20201223,普陀,长征,13号线地铁150米 南北户型采光好 带露台带阁楼 位置好,545万,2室2厅 | 78.61平米 | 南 北 | 简装 | 高楼层(共7层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WLmonvxX2_1.jpg.296x216.jpg
20201223,普陀,长征,牡丹上叠别墅 满五唯一 带阁楼露台 看房方便房主自荐,1180万,4室2厅 | 201.46平米 | 南 北 | 精装 | 低楼层(共3层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1ZDHxvR9I_1.jpg.296x216.jpg
20201223,普陀,长征,真源三期正规复式2000年竣工，看天蓝，闻花香，听鸟语房主自荐,950万,5室2厅 | 197.09平米 | 南 北 | 简装 | 高楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tAIbKa5wf_1.jpg.296x216.jpg
20201223,普陀,长征,苏州河畔精装修2房，带17平地下室，诚意出售房主自荐,538万,2室2厅 | 93.42平米 | 北 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gxpLUUhtH_1.jpg.296x216.jpg
20201223,普陀,长征,双南双阳台，健身楼层，一梯一户得房率高房主自荐,530万,2室2厅 | 87.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-55f57c7d-1141-42dc-8467-ccf101e7d263.jpg.296x216.jpg
20201223,普陀,长征,五年唯一税少+近地铁+次新小区+户型正气+采光好！！房主自荐,725万,2室2厅 | 110.41平米 | 南 北 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_WERIKXYA1_1.jpg.296x216.jpg
20201223,普陀,长征,三期带花园+南北户型+位置佳+诚意出售房主自荐,575万,2室2厅 | 96.49平米 | 南 | 简装 | 低楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eHURS4D98_1.jpg.296x216.jpg
20201223,普陀,长征,祥和新上南北大三房+保养好+位置佳+诚意出售房主自荐,675万,3室2厅 | 118.24平米 | 南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w1KDa5dLU_1.jpg.296x216.jpg
20201223,普陀,长征,13号线祁连山南站地铁600米+总价低+税费少+诚意出售房主自荐,368万,2室1厅 | 73.38平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c9c041d5-b1db-43d1-ae7c-376a06f4eb22_1000.jpg.296x216.jpg
20201223,普陀,长征,13号线地铁口550米 精装修全明两房  二手买进税费少房主自荐,482万,2室1厅 | 82.45平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0bgNMxOAT_1.jpg.296x216.jpg
20201223,普陀,长征,苏州河畔+南北通透+采光好+两房厅全朝南+看房方便房主自荐,577万,2室2厅 | 109.09平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NFXK4UFGa_1.jpg.296x216.jpg
20201223,普陀,长征,近地铁，精装修，满五唯一，增阁楼和露台,555万,2室2厅 | 69.51平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8sxIZQtOI_1.jpg.296x216.jpg
20201223,普陀,长征,双南两房 近地铁700米 税费低 诚意出售 看房方便房主自荐,395万,2室1厅 | 71.25平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_95B6XkD2u_1.jpg.296x216.jpg
20201223,普陀,长征,精装修+买进价高+普通住宅+实体两房+南北通透房主自荐,336万,2室1厅 | 56.14平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ORWSNco8_1.jpg.296x216.jpg
20201223,普陀,长征,二街坊高区两房 ＋视野开阔＋满五唯一+看房方便,375万,2室1厅 | 65.44平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0xu8dGUig_1.jpg.296x216.jpg
20201223,普陀,长征,楼层好，视野宽阔采光充足，配套设施齐全，精装修,355万,1室1厅 | 42平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d2f75232-4017-43af-810e-07dbb9451d08_1000.jpg.296x216.jpg
20201223,普陀,长征,近地铁，苏州河畔，配套齐全，飞机户型大三房房主自荐,575万,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S6f5Fjdi9_1.jpg.296x216.jpg
