20201223,普陀,甘泉宜川,近地铁，房龄新+售后公房+满五唯一+精装两室+采光好必看好房,312万,2室1厅 | 63.08平米 | 南 | 精装 | 中楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qA94lCnDY_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,双南两室一厅  精装修 诚心出售必看好房,358万,2室1厅 | 59.85平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ywtBjZNO_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,边套全明一室半，全明户型，看房方便。。。。。。必看好房,179万,1室1厅 | 35.14平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3xCma8RPz_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,层高3米3，中间楼层一门关，总价低一室户必看好房,165万,1室0厅 | 33.99平米 | 东 | 简装 | 中楼层(共5层) | 1956年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TpZlfz2cr_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁，精装修，可拎包入住，看中可谈，边套全明户型必看好房,255万,2室1厅 | 52.29平米 | 南 | 简装 | 高楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F4daWP03D_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,延长小区中间楼层一室一厅，满五唯一，小区环境佳必看好房,236万,1室1厅 | 40.5平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GQcRSDhiZ_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,双南双天井，配套齐全，地段成熟，环境好，诚意出售必看好房,270万,2室2厅 | 44.25平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w873L9b0X_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,内环边上，低楼层，满五年唯一，近地铁3/4号线必看好房,183万,1室0厅 | 34.04平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2uvNqUGkt_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,南北  两室一厅 带天井 诚心出售 看房方便必看好房,285万,2室1厅 | 50.99平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_It3Y31m3R_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,全明户型 精装修 近地铁 业主诚售必看好房,226万,1室2厅 | 48.92平米 | 南 北 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnK6hNUoe_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中间楼层，视野宽阔，采光充足，业主诚意出售必看好房,198万,1室0厅 | 39.16平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PiAqSK1Wc_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,边套全明两房 客厅有窗，中间楼层  满五唯一必看好房,318万,2室1厅 | 51.6平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCiEekJOy_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,低总价，88年房龄，朝南一室户，采光通风好。必看好房,165万,1室1厅 | 29.49平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ycyiiLRgX_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,东边套全明 非顶楼 视野采光佳 产权清晰干净 诚心出售必看好房,215万,1室1厅 | 41.32平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7s06x9mZE_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,一楼带天井 不靠马路 户型正气 配套成熟 近地铁必看好房,234万,1室1厅 | 39.37平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F5fuFhscy_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,低区有天井  业主诚意出售 适合老人居住必看好房,240万,1室1厅 | 39.37平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_akiLUGcUF_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,户型正气 边套全明 满五年唯一 采光充足 业主诚意出售必看好房,316万,2室1厅 | 61.45平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KmXxqgqCH_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,朝南一室户 小区中间位置 靠地铁 随时看房必看好房,174万,1室1厅 | 34.85平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8mJrmCSsR_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,高楼层视野开阔，通风采光效果好，户型正气诚意出售必看好房,145万,1室0厅 | 31.31平米 | 西 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1jLfX2wts_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,精装修一室户，中楼层，采光良好，小区配套设施齐全必看好房,215万,1室0厅 | 38.58平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1jnJuQxav_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,楼层好 地段佳 近地铁 客厅有窗 完整一室户必看好房,209万,1室1厅 | 43.04平米 | 南 | 简装 | 中楼层(共6层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AFbB04iGz_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,单价低楼层好 全明一房 小区环境好 生活便利 看房随时必看好房,205万,1室1厅 | 43.82平米 | 南 | 毛坯 | 低楼层(共6层) | 1973年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j57WA30Xm_1.jpg.296x216.jpg
