20201223,普陀,光新,近3/4/7号线+电梯三房+诚意出售必看好房,850万,3室2厅 | 105.84平米 | 南 | 简装 | 低楼层(共28层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4wHIUVOrB_1.jpg.296x216.jpg
20201223,普陀,光新,岚皋路地铁站，内环边，配套成熟，加装电梯必看好房,227万,1室1厅 | 40.11平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L5esKfBdO_1.jpg.296x216.jpg
20201223,普陀,光新,【店推力推】【小两房】 【全明户型】 【视野开阔】必看好房,648万,2室1厅 | 79.85平米 | 南 | 精装 | 中楼层(共25层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CjUiRwsej_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一税费少+两房一厅全明+高区视野采光无遮挡必看好房,430万,2室1厅 | 69.36平米 | 东 | 简装 | 中楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_EeJsBSju3_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一 低总价 近地铁 南北两房户型好必看好房,273万,2室1厅 | 51.01平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1BSh4wuaX_1.jpg.296x216.jpg
20201223,普陀,光新,此房边套全明，价格可谈，通勤便利，满五唯一必看好房,240万,1室1厅 | 41.53平米 | 南 北 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RGbIQfSLR_1.jpg.296x216.jpg
20201223,普陀,光新,边套全明户型，满五年税少，高楼层景观房，诚意出售必看好房,478万,2室1厅 | 89.48平米 | 东南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_l88nzgXib_1.jpg.296x216.jpg
20201223,普陀,光新,业主急卖  看房方便 诚意出售 近地铁3.4.7号线必看好房,180万,1室1厅 | 35.27平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DE8PVzaXR_1.jpg.296x216.jpg
20201223,普陀,光新,观景房全明带窗，前后无遮挡，满五唯一税费少,1150万,3室2厅 | 139.54平米 | 南 北 | 简装 | 低楼层(共30层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dX1R5wW8h_1.jpg.296x216.jpg
20201223,普陀,光新,精装修拎包入住+采光佳视野好+两房一厅房主自荐,375万,2室1厅 | 56.63平米 | 西南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B0CJyE5Bj_1.jpg.296x216.jpg
20201223,普陀,光新,南北通户型 总价低的秋月小两房，买入价格高，税费少,730万,2室1厅 | 88.61平米 | 南 | 简装 | 中楼层(共25层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-778bc3c3-fd93-4e6e-b958-ce2a9d78a9ab.png.296x216.jpg
20201223,普陀,光新,小区中信位置，飞机户型，两南一北，客厅南北通。。。,1130万,3室2厅 | 135.29平米 | 南 | 简装 | 中楼层(共30层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sJqgA2NI1_1.jpg.296x216.jpg
20201223,普陀,光新,房子是南北通三房，小区出售，精装修保养好，诚意出售,1760万,3室2厅 | 179.22平米 | 南 | 精装 | 中楼层(共18层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rAnJWGieE_1.jpg.296x216.jpg
20201223,普陀,光新,大户型一室一厅 *西边套全明南北通风精装修 满五唯一,265万,1室1厅 | 44.76平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-dc466e4b-e387-4f51-aef4-a6812477794e.png.296x216.jpg
20201223,普陀,光新,石泉苑 2室2厅 东南新上,500万,2室2厅 | 89.48平米 | 东南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YTZIBpKv7_1.jpg.296x216.jpg
20201223,普陀,光新,岚皋大楼 2室1厅 东新上,460万,2室1厅 | 69.36平米 | 东 | 简装 | 高楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8Ykmh6rrk_1.jpg.296x216.jpg
