20201223,普陀,桃浦,新杨和苑 2室2厅 南必看好房,334万,2室2厅 | 92.86平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Fw1bFBzo_1.jpg.296x216.jpg
20201223,普陀,桃浦,户型方正，位置好，采光好，业主诚心出售必看好房,235万,2室1厅 | 61.63平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/40deac0c-f8cf-4c8a-b0a6-bbe6051e879f_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦新村+精装修+楼层好+诚意出售+好房不要错过哦必看好房,215万,2室1厅 | 48.44平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_75BNPuJ1Q.jpg.296x216.jpg
20201223,普陀,桃浦,COME AND SEE!!!地铁全明户型，配套完善必看好房,270万,2室1厅 | 64.6平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/04acda8f-ce46-4a9a-9d56-246747c9acd0_1000.jpg.296x216.jpg
20201223,普陀,桃浦,地铁边，南北通大三房，小区中间位置，随时可看必看好房,826万,3室2厅 | 127.41平米 | 南 北 | 精装 | 中楼层(共15层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AhCv3syv2_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，税费少，位置优，视野好。必看好房,640万,2室2厅 | 100.11平米 | 南 北 | 精装 | 高楼层(共5层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hf5773hiZ_1.jpg.296x216.jpg
20201223,普陀,桃浦,五星标准社区 高区精装修 视野好 采光无遮挡 空中花园必看好房,898万,3室2厅 | 103.31平米 | 南 北 | 精装 | 高楼层(共33层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WiwTKpL1a_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一河景两房 桃浦安家好选择必看好房,199万,2室1厅 | 57.05平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4qNOgEiOv.jpg.296x216.jpg
20201223,普陀,桃浦,四村精装，南北两房，满五唯一，低税费，看房方便必看好房,218万,2室1厅 | 54平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af33a078-50b7-4ca5-8df9-601d601ddb4c_1000.jpg.296x216.jpg
20201223,普陀,桃浦,动迁房 税少 小区中间位置 户型好的一房 很好的楼层必看好房,175万,1室1厅 | 40.89平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3429b959-a3e9-4842-8865-2a3a1f500c85_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 南必看好房,235万,2室1厅 | 58.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dbcee85f-b760-4808-ac70-d3f9332c34db_1000.jpg.296x216.jpg
