20201223,普陀,武宁,总价超低+14号线地铁口+五轨交汇+钥匙房必看好房,145万,1室0厅 | 17.77平米 | 西北 | 毛坯 | 低楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5e97043-f028-43dc-8127-868fc3adf885_1000.jpg.296x216.jpg
20201223,普陀,武宁,苏州河畔精品2房，近环球港中山公园2.3.4.13必看好房,310万,2室1厅 | 56.53平米 | 南 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2ca47998-57f2-4ff9-8ddd-4ab6155ba4c4.jpg.296x216.jpg
20201223,普陀,武宁,靠河，位置安静，环境优雅，出行方便必看好房,598万,1室2厅 | 60.09平米 | 南 | 精装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fBO2o177R_1.jpg.296x216.jpg
20201223,普陀,武宁,《店长推荐》超正户型，满五年，南北通两房，房龄新！必看好房,880万,2室2厅 | 104.22平米 | 东 南 | 精装 | 32层 | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JtF3PLfsG_1.jpg.296x216.jpg
20201223,普陀,武宁,此房满二年，朝南全明户型，采光充足必看好房,278万,1室1厅 | 38.09平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ZSu9W4Qv_1.jpg.296x216.jpg
20201223,普陀,武宁,内环出小区门口就是环球港+金沙路地铁+钥匙房视野开阔必看好房,390万,2室1厅 | 60.3平米 | 西南 | 简装 | 中楼层(共17层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BsZZYLADV_1.jpg.296x216.jpg
20201223,普陀,武宁,沿河小复式 一景观  拎包入住，有固定车位 来电即看必看好房,1780万,4室2厅 | 195.07平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UdN8oCeNk_1.jpg.296x216.jpg
20201223,普陀,武宁,朝南一房+楼层好+采光好+自住出租两相宜必看好房,240万,1室1厅 | 39.25平米 | 南 | 精装 | 中楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RZbA1mwOu_1.jpg.296x216.jpg
20201223,普陀,武宁,内环08年品质小区，满五唯一税费低，南北格局通透必看好房,1150万,3室2厅 | 134.46平米 | 南 | 精装 | 低楼层(共37层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RNxKNSJNf_1.jpg.296x216.jpg
20201223,普陀,武宁,新湖明珠城（一二期） 3室2厅 南必看好房,1178万,3室2厅 | 131.08平米 | 南 | 毛坯 | 29层 | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f1bae921-45f3-46fc-a027-885ca37f6ec5_1000.jpg.296x216.jpg
20201223,普陀,武宁,内环内电梯房+交通便利格局好+中间楼层+面积大可 改造必看好房,648万,2室2厅 | 113.77平米 | 南 | 精装 | 中楼层(共18层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_dJQc47frN_1.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一+两房朝南+精装修+拎包入住必看好房,288万,2室0厅 | 45.38平米 | 南 | 精装 | 中楼层(共5层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ScQPtzjh7_1.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一，采光好，交通便利，配套成熟必看好房,440万,2室1厅 | 60.71平米 | 西 南 | 精装 | 低楼层(共22层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_c9VefUyGV_1.jpg.296x216.jpg
20201223,普陀,武宁,内环内近地铁，全明安静，电梯高层，看房方便，诚售必看好房,299万,1室1厅 | 45.47平米 | 南 | 简装 | 中楼层(共17层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_lbzY7x6WV_1.jpg.296x216.jpg
20201223,普陀,武宁,温馨舒适电梯两室一厅，四轨交汇，近地铁，业主诚意必看好房,408万,2室1厅 | 60.3平米 | 东南 | 精装 | 低楼层(共17层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_0UifF4bLS_1.jpg.296x216.jpg
20201223,普陀,武宁,全明户型，税少，近地铁，视野开阔，电梯房交通方便必看好房,280万,1室1厅 | 45.47平米 | 西南 | 精装 | 低楼层(共17层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_cvfovG3Y7_1.jpg.296x216.jpg
20201223,普陀,武宁,五轨交纵，交通便利，视野开阔，人车分流，配套齐全。必看好房,185万,1室0厅 | 34.76平米 | 西 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tyCVDpITm_1.jpg.296x216.jpg
20201223,普陀,武宁,普陀二村 2室1厅 南 北必看好房,345万,2室1厅 | 51.14平米 | 南 北 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_afQxDk3h7_1.jpg.296x216.jpg
20201223,普陀,武宁,三房户型，精心装修，无浪费空间，诚心出售新上,1020万,3室2厅 | 123.04平米 | 南 北 | 精装 | 低楼层(共34层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03e89794-1dc3-491a-a4a7-a10decf6db6f_1000.jpg.296x216.jpg
20201223,普陀,武宁,高品质人车分流 精致小户型 整体西南朝向房主自荐,820万,2室1厅 | 84.06平米 | 西南 | 精装 | 高楼层(共29层)  | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_QsKAkihg9_1.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一、南北通透、精装修、楼层好、交通方便新上,678万,2室2厅 | 72.06平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_weKAp0LEn_1.jpg.296x216.jpg
20201223,普陀,武宁,此房满五唯一，2005年建成，近曹杨路地铁，可拎包入住新上,568万,1室1厅 | 57.01平米 | 南 | 其他 | 28层 | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9a6cb2a9-b13b-4dc0-8d05-46108862e8f3_1000.jpg.296x216.jpg
20201223,普陀,武宁,新湖三期+2008年品质小区+全南2房+视野开阔+环看苏河,1150万,2室2厅 | 120.35平米 | 南 | 毛坯 | 33层 | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-aabd8d73-8306-44b8-a22d-d22160f79609.png.296x216.jpg
20201223,普陀,武宁,内环内，高区大三房，视野开阔，采光佳新上,1280万,3室2厅 | 130.26平米 | 南 北 | 简装 | 高楼层(共15层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b86ac790-c172-4346-8dda-ce9c230c680f_1000.jpg.296x216.jpg
20201223,普陀,武宁,南北通两房改三房，交通便利，满五唯一新上,400万,3室1厅 | 60.36平米 | 南 北 | 精装 | 12层 | 1986年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_hL5TIpMEV_1.jpg.296x216.jpg
20201223,普陀,武宁,内环内 地铁口 苏州河畔 无增值税 无个税 南北通户型,688万,3室2厅 | 91.53平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GsYqo1SAT_1.jpg.296x216.jpg
20201223,普陀,武宁,内环内/近地铁/五轨交汇/交通便利/电梯房,348万,1室1厅 | 58.93平米 | 南 | 简装 | 中楼层(共34层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_WE29zty5L_1.jpg.296x216.jpg
20201223,普陀,武宁,小户型+内环内+地铁口+高区景观+视野开阔+满五税少新上,425万,1室1厅 | 39.67平米 | 南 | 精装 | 高楼层(共34层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vb5DxKl0q.jpg.296x216.jpg
20201223,普陀,武宁,-新湖明珠城，内环内6轨交汇，河流公园上—南北通2房新上,970万,2室2厅 | 97.54平米 | 南 北 | 精装 | 32层  | 板楼,http://image1.ljcdn.com/110000-inspection/3fcf097a-c2b9-49f1-ac68-2d0195b5e096_1000.jpg.296x216.jpg
20201223,普陀,武宁,2005年内环内，少有3房2卫户型，全明格局，看房随时,1215万,3室2厅 | 149.39平米 | 南 北 | 精装 | 28层 | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-9d3b17f6-1399-4597-a79e-aa1193e231e7.png.296x216.jpg
20201223,普陀,武宁,内环内18年小区满两年，精装修中Yang地暖，看房方便,2380万,4室2厅 | 270.71平米 | 南 北 | 精装 | 14层  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ofbO7KN09_1.jpg.296x216.jpg
20201223,普陀,武宁,南北通两房，拎包入住，近环球港，3/4/11/13/14号线房主自荐,352万,2室1厅 | 59.43平米 | 南 | 简装 | 中楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_odzBxma5M_1.jpg.296x216.jpg
20201223,普陀,武宁,西谈家渡路81弄 2室1厅 南,416万,2室1厅 | 53.41平米 | 南 | 其他 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_njgHc3sGn_1.jpg.296x216.jpg
20201223,普陀,武宁,此房满五年，买进价格高，朝向好，户型方正，赞赞赞,2300万,5室2厅 | 224.55平米 | 东南 南 | 精装 | 低楼层(共12层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-86aa9432-cb25-4a4a-8ae5-19a5f20fbb14.png.296x216.jpg
20201223,普陀,武宁,内环内，满五唯一，采光好，无遮挡，交通便利房主自荐,420万,2室1厅 | 66.24平米 | 东 北 | 简装 | 12层 | 1987年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_C1z8wlW23_1.jpg.296x216.jpg
20201223,普陀,武宁,品牌家具家电！南北两房，中间楼层，地铁3/4/7号线！,306万,2室1厅 | 47.42平米 | 南 北 | 精装 | 中楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uwGYtWymb_1.jpg.296x216.jpg
20201223,普陀,武宁,新湖复式+环看苏州河+有露台花园+仅有3套+采光视野好,2220万,5室3厅 | 259.11平米 | 南 北 | 精装 | 24层 | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/82c5f5d6-5d94-444c-93f7-8046b19bb73a_1000.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一 南北户型+高区视野+人车分流+品质会所+交通,1365万,3室2厅 | 156.32平米 | 东 东南 | 精装 | 高楼层(共31层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z4ctYlSSA_1.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一 户型方正 朝南 诚意出售,338万,1室1厅 | 47.5平米 | 南 北 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2a1ada7f-91d7-4423-8f6b-54e04ab91bbc_1000.jpg.296x216.jpg
20201223,普陀,武宁,达丰新村 1室1厅 南 北,260万,1室1厅 | 40.91平米 | 南 北 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dXHlB2peA_1.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一税费少，双房朝南户型好，得房率高，看房方便房主自荐,470万,2室1厅 | 66.48平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/46cc5483-1734-41c8-beca-1ec46e365072_1000.jpg.296x216.jpg
20201223,普陀,武宁,满五唯一南北直通边套全明户型靠小区里面位置,470万,2室1厅 | 65.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mBC8U8mwx_1.jpg.296x216.jpg
20201223,普陀,武宁,一房的价格买两房，超大拐角阳台，业主诚意出售房主自荐,275万,2室0厅 | 48.16平米 | 南 | 精装 | 高楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h1zITKiRR_1.jpg.296x216.jpg
20201223,普陀,武宁,苏河首排一线中山公园景观，两套诚意高区三房出售！,1720万,3室2厅 | 141平米 | 南 | 精装 | 22层 | 2016年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e0cce1d4-f95f-4d5b-86ce-4a1c0cb42fbb.jpg.296x216.jpg
20201223,普陀,武宁,全明户型，中楼层，此房采光无遮挡，内环内交通便利,499万,3室1厅 | 84.82平米 | 东 西 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yVngPMx9b_1.jpg.296x216.jpg
20201223,普陀,武宁,高得房率+内环内5条轨交+停车方便+中区+采光好视野棒,1180万,3室2厅 | 135.42平米 | 南 北 | 简装 | 低楼层(共31层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lVY67PwcF_1.jpg.296x216.jpg
20201223,普陀,武宁,手枪户型，中间楼层，采光充足，配套齐全新上,270万,2室0厅 | 40.56平米 | 南 | 简装 | 中楼层(共6层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O2obUnSaX_1.jpg.296x216.jpg
20201223,普陀,武宁,顺达公寓 3室2厅 南,708万,3室2厅 | 118.58平米 | 南 | 简装 | 中楼层(共18层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/c1665dc3-d9dd-4247-8076-0b0464833487_1000.jpg.296x216.jpg
20201223,普陀,武宁,精装修朝南大2房，带餐厅带阳台，诚意出售，看房方便房主自荐,380万,2室1厅 | 60.75平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-831f9b2b-a662-4a65-a759-6b3e8b5beb73.jpg.296x216.jpg
