20201223,普陀,真光,此房满五年唯一，楼层低采光充足，适合老人居住 。必看好房,255万,1室1厅 | 49.8平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1faO9rPU_1.jpg.296x216.jpg
20201223,普陀,真光,全朝南户型，简单装修、诚意出售，看房随时必看好房,345万,1室2厅 | 64.56平米 | 南 | 简装 | 低楼层(共20层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aEfGg1E0a_1.jpg.296x216.jpg
20201223,普陀,真光,南北通+双阳台+高楼层+地铁14号线+户型正气+满五唯一必看好房,677万,3室2厅 | 125.76平米 | 南 北 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tQl1pJgmH_1.jpg.296x216.jpg
20201223,普陀,真光,高区房源，东南西北都有窗的房子，满五年唯一，税费少必看好房,455万,2室2厅 | 90.49平米 | 南 | 简装 | 高楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A6YtO8Y4J_1.jpg.296x216.jpg
20201223,普陀,真光,业主急售 精装修三房 户型正气 诚意出售 电梯房必看好房,660万,3室2厅 | 129.18平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e1umpFfAj_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一 电梯房 采光好 楼层好，单价低，总价低必看好房,535万,3室2厅 | 116.57平米 | 东南 南 | 简装 | 低楼层(共24层) | 2009年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_DpfFqe9eh_1.jpg.296x216.jpg
20201223,普陀,真光,房东诚意置换 南北通透全明户型 一梯两户小区环境优美必看好房,298万,2室1厅 | 67.83平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b0d46453-c8c9-4a3f-a6a1-b0be3415249c_1000.jpg.296x216.jpg
20201223,普陀,真光,精装三房两卫   满五二分之一 看房方便   诚心出售必看好房,685万,3室2厅 | 128.82平米 | 南 北 | 精装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bab819ee-62f9-473e-b5d4-5b01b22c57c2_1000.jpg.296x216.jpg
20201223,普陀,真光,清涧八街坊  中间楼层  精装双南两房 满五税少必看好房,296万,2室1厅 | 61.42平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5AGfmZP4I_1.jpg.296x216.jpg
20201223,普陀,真光,中间楼层，精装修两房，近地铁近百联必看好房,340万,2室1厅 | 57.95平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1p9iJJ9J6_1.jpg.296x216.jpg
20201223,普陀,真光,真新新村站地铁口14号线，高层可看东方明珠 随时看房必看好房,387万,2室1厅 | 74.68平米 | 东南 | 精装 | 中楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NDOUNyzq2_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一+采光好+诚意出售+户型优质必看好房,310万,2室1厅 | 64.8平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/50057cfd-6565-4bc3-8dec-8419efec1294_1000.jpg.296x216.jpg
20201223,普陀,真光,：满五年唯一 小区位置棒，户型格局舒服  业主诚售必看好房,370万,2室1厅 | 70.86平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XYIoHdX0s_1.jpg.296x216.jpg
