20201223,普陀,真如,少有复式+大落地窗+4房2卫+近地铁7号11号14号线必看好房,720万,4室1厅 | 130.49平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d4303aec-742a-4ea4-a912-097f979f587d_1000.jpg.296x216.jpg
20201223,普陀,真如,地铁400m！19年精装修！钥匙房！中间楼层 1980年必看好房,215万,1室1厅 | 41.98平米 | 南 | 精装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/545032fe-e56d-4c3f-981a-57f4e62db6c0_1000.jpg.296x216.jpg
20201223,普陀,真如,带产权车位！！！南北直通，高区景观房必看好房,652万,2室2厅 | 95.62平米 | 南 | 毛坯 | 高楼层(共26层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/176975e3-2de2-4d92-8bba-f97a24093ef9_1000.jpg.296x216.jpg
20201223,普陀,真如,交通便利 小区门口是11和15号线上海西站 双南两房必看好房,390万,2室1厅 | 71.63平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9578d588-842a-4b83-8a71-eba81fc644ec_1000.jpg.296x216.jpg
20201223,普陀,真如,无增值税，个税一个点，双南户型，楼层好。必看好房,495万,2室1厅 | 73.18平米 | 南 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7445b564-83cf-4865-bdc4-a6a6d5e28f7a_1000.jpg.296x216.jpg
20201223,普陀,真如,有钥匙+电梯中区，房东诚心出售，税费少！必看好房,359.9万,1室1厅 | 67.85平米 | 南 | 毛坯 | 中楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_EfyuwaDb7_1.jpg.296x216.jpg
20201223,普陀,真如,花园洋房,国企开发,品质小区,全南户型,采光好,620万,2室2厅 | 94.5平米 | 南 | 精装 | 低楼层(共24层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/23c94291-fc30-4112-84b2-f18b9331fb6b_1000.jpg.296x216.jpg
20201223,普陀,真如,洋房 观景房 次新房 采光好 南北通透 得房率85%房主自荐,1320万,3室2厅 | 117.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,http://image1.ljcdn.com/110000-inspection/f10bfceb-5f64-4da5-91ec-7b1002639cf7_1000.jpg.296x216.jpg
20201223,普陀,真如,地铁门口电梯一房，采光无遮挡，配套成熟,270万,1室1厅 | 52平米 | 南 | 简装 | 低楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/e1317cc3-3453-4122-a2da-6f462bf43396_1000.jpg.296x216.jpg
20201223,普陀,真如,近地铁+近公园+东边套两房，区政府旁+房东诚意出售,380万,2室1厅 | 67.04平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4VfOrmHDj_1.jpg.296x216.jpg
