20201223,普陀,中远两湾城,诚售！内环06年+楼层高区+50精装拎包入住+超低税费必看好房,900万,2室2厅 | 111.93平米 | 南 | 精装 | 高楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/99112943-82ce-4c1f-a41f-2f9b9250a095_1000.jpg.296x216.jpg
20201223,普陀,中远两湾城,中间楼层+3+1户型+正南正北通风+3个外阳台+税费极低必看好房,1098万,3室2厅 | 142.55平米 | 南 | 精装 | 中楼层(共35层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4L5JKICvm_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,位置安静，满五唯一，全南户型阳光全天，视野开阔必看好房,810万,2室2厅 | 97.62平米 | 南 | 精装 | 低楼层(共35层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ea720c3-a132-47ab-ae44-4f5a86088671_1000.jpg.296x216.jpg
20201223,普陀,中远两湾城,大三期高区2房，苏州河亲水景观，视野直击东方明珠！必看好房,950万,2室1厅 | 117.8平米 | 东 东南 | 精装 | 高楼层(共33层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3n7EJSr89_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,满五唯一+豪横河景+品质楼栋+24h安保管理必看好房,690万,2室2厅 | 88.91平米 | 西南 | 精装 | 低楼层(共33层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7sok6FvqU_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,高区南北通 满五唯一税少 正看小区花园位置 诚意出售新上,555万,1室2厅 | 62.76平米 | 南 | 精装 | 高楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d5bcb9f2-7da7-47a2-89ec-af9d40418a9a_1000.jpg.296x216.jpg
20201223,普陀,中远两湾城,南北双阳台 位置安静 看房方便 边套全明 拎包住新上,954万,2室2厅 | 119.29平米 | 南 | 精装 | 低楼层(共34层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a7dcf4e5-9c10-4fad-a5d3-2fb3994897f5_1000.jpg.296x216.jpg
20201223,普陀,中远两湾城,直观梦清园和苏州河景观+24H安保管理+有钥匙，随时看,1344万,3室2厅 | 168.57平米 | 西南 | 简装 | 高楼层(共32层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Mb7aDKXTX_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,唯y南北直通大一房+25平阳光露台+85得房率!房主自荐,725万,1室2厅 | 77.32平米 | 南 | 精装 | 低楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cQVS3jbVf_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,内环内 全南全明户型 近小区口 交通便利 诚意卖,850万,2室2厅 | 102.79平米 | 南 | 精装 | 中楼层(共33层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kI6CxHvRK_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,中高区+看梦清园和苏州河景观+大1房+精装修+诚意售新上,750万,1室2厅 | 90.72平米 | 西南 | 精装 | 中楼层(共32层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_s8BotDsLK_1.jpg.296x216.jpg
